CODMUNOCOR,SUICIDES
110001,3
110002,10
110004,14
110005,1
110006,2
110009,2
110010,5
110011,3
110012,3
110014,1
110015,3
110018,4
110020,36
110025,1
110028,6
110030,6
110033,2
110037,1
110040,1
110050,1
110060,1
110070,2
110080,2
110092,1
110094,1
110149,1
110160,1
120013,2
120020,6
120025,2
120030,4
120033,1
120034,5
120040,29
120045,1
120050,6
120060,4
120070,3
120080,1
130002,1
130006,4
130014,2
130020,4
130040,2
130050,1
130060,10
130068,1
130070,2
130100,2
130115,1
130120,1
130140,7
130150,2
130160,1
130170,2
130180,2
130185,2
130190,2
130195,2
130210,1
130220,1
130230,2
130240,2
130250,3
130260,90
130290,1
130310,2
130340,5
130353,1
130360,1
130370,6
130380,20
130390,1
130406,14
130410,2
130420,3
130430,1
140002,5
140005,3
140010,24
140015,4
140017,2
140030,5
140045,2
140047,1
140060,2
140070,2
150010,3
150040,1
150050,3
150060,16
150080,13
150090,1
150095,1
150120,1
150130,3
150140,41
150145,1
150170,3
150172,2
150178,2
150180,6
150195,1
150210,6
150215,2
150220,1
150240,11
150270,3
150280,1
150285,1
150293,2
150295,3
150304,2
150320,2
150345,1
150350,1
150360,13
150375,1
150380,2
150390,3
150405,1
150420,21
150440,2
150442,5
150460,3
150470,1
150480,3
150495,4
150500,1
150503,3
150506,2
150520,3
150530,1
150543,1
150548,1
150550,2
150553,8
150560,1
150565,1
150580,1
150613,5
150616,2
150618,2
150650,9
150660,1
150670,1
150680,23
150710,2
150715,1
150720,1
150730,4
150740,2
150745,1
150747,1
150760,4
150795,4
150797,1
150803,2
150805,1
150808,1
150810,7
150812,2
150815,4
150820,1
150830,1
160015,2
160027,2
160030,32
160040,2
160050,1
160053,1
160060,5
170100,3
170130,1
170200,1
170210,16
170215,1
170240,2
170290,1
170610,2
170650,1
170700,1
170710,2
170740,1
170820,1
170830,2
170900,1
170930,2
170950,13
171050,1
171070,1
171090,1
171190,3
171195,1
171320,1
171330,1
171395,1
171420,3
171510,1
171515,1
171575,1
171610,8
171620,1
171650,1
171750,3
171820,4
171875,2
171886,1
171890,1
172000,1
172025,1
172030,1
172049,2
172100,19
172120,2
172208,1
210005,3
210030,1
210043,1
210050,1
210060,1
210070,1
210095,2
210120,4
210125,1
210130,1
210140,4
210150,4
210160,5
210200,2
210203,1
210210,3
210215,1
210220,2
210230,4
210232,1
210240,1
210255,1
210275,1
210280,2
210290,1
210300,9
210310,1
210312,2
210320,2
210330,6
210340,1
210350,1
210360,4
210370,1
210375,2
210380,2
210400,2
210405,1
210407,2
210409,2
210420,1
210440,1
210455,2
210467,1
210480,6
210520,1
210530,21
210535,2
210540,2
210542,3
210547,2
210560,3
210570,2
210580,1
210590,1
210594,1
210598,1
210637,2
210650,1
210660,1
210670,1
210675,1
210700,3
210730,1
210735,1
210740,3
210745,1
210750,5
210760,2
210770,4
210800,1
210820,5
210825,2
210845,2
210850,2
210860,2
210870,1
210880,1
210910,2
210923,1
210927,2
210930,1
210950,4
210955,2
210960,2
210970,2
210980,4
210990,5
211000,2
211003,1
211020,1
211050,1
211060,2
211070,2
211080,1
211100,1
211107,1
211110,4
211120,10
211130,40
211140,3
211150,2
211170,2
211210,1
211220,13
211223,1
211227,1
211230,1
211240,2
211260,2
211270,1
211280,1
211290,3
211300,5
211400,6
220010,1
220020,1
220030,2
220040,6
220050,6
220090,1
220105,1
220110,1
220115,1
220120,2
220160,1
220170,1
220177,1
220190,2
220198,1
220200,1
220202,1
220210,1
220211,1
220217,1
220220,13
220225,1
220230,5
220245,1
220253,1
220260,4
220273,1
220275,1
220280,1
220290,2
220300,1
220320,1
220325,1
220340,2
220345,1
220350,1
220360,1
220370,7
220390,6
220455,1
220465,1
220470,5
220480,1
220490,4
220520,1
220527,1
220530,1
220550,4
220556,2
220580,2
220600,1
220620,2
220630,1
220650,2
220660,2
220672,3
220700,3
220720,1
220730,1
220750,1
220770,7
220780,2
220785,1
220790,6
220793,1
220795,2
220800,19
220810,1
220820,2
220830,4
220840,8
220865,3
220870,1
220900,1
220910,1
220920,3
220935,2
220940,1
220975,1
220987,1
220990,3
220995,1
221000,2
221005,1
221020,3
221030,1
221035,1
221040,1
221050,1
221060,8
221062,1
221070,2
221080,2
221090,1
221093,1
221100,92
221110,1
221120,3
221130,2
221150,1
230020,9
230030,2
230040,1
230060,1
230070,1
230075,2
230080,1
230090,4
230100,5
230110,5
230130,1
230160,2
230170,1
230190,8
230195,2
230200,3
230205,4
230220,2
230240,5
230250,2
230260,3
230280,14
230290,1
230320,2
230330,2
230350,3
230365,2
230370,20
230380,1
230390,1
230393,1
230395,3
230410,6
230420,5
230423,2
230425,1
230426,2
230427,1
230428,5
230430,1
230440,153
230445,2
230450,2
230470,6
230490,2
230495,1
230500,5
230520,1
230523,8
230526,1
230530,2
230533,3
230535,2
230540,4
230550,9
230560,4
230570,1
230580,6
230590,1
230600,1
230610,2
230620,2
230625,2
230630,6
230640,6
230655,2
230660,2
230670,1
230690,3
230700,1
230710,1
230725,1
230730,28
230740,1
230750,1
230760,5
230763,2
230765,19
230770,6
230780,2
230790,1
230800,4
230810,5
230820,1
230830,1
230835,2
230837,1
230840,3
230850,2
230860,1
230870,4
230910,2
230930,1
230940,4
230950,1
230960,2
230970,1
231000,3
231010,2
231020,4
231030,5
231040,1
231050,1
231060,1
231070,6
231080,7
231085,2
231095,1
231110,1
231123,1
231126,2
231130,5
231135,1
231140,7
231150,2
231160,1
231180,6
231190,1
231195,3
231200,2
231210,2
231220,1
231230,4
231240,4
231250,1
231260,2
231270,6
231290,42
231300,1
231310,1
231320,3
231330,8
231335,1
231340,4
231350,5
231355,1
231360,1
231375,1
231380,1
231390,2
231395,1
231400,1
231410,6
240020,2
240080,1
240100,6
240120,1
240130,3
240145,1
240200,9
240230,5
240260,3
240310,2
240325,11
240330,1
240350,1
240360,1
240380,2
240410,1
240430,1
240440,1
240450,1
240470,1
240480,1
240510,1
240520,1
240570,1
240600,3
240610,3
240615,1
240620,1
240650,1
240670,1
240700,1
240710,2
240720,3
240725,2
240730,1
240760,1
240790,1
240800,17
240810,35
240820,2
240880,1
240890,4
240895,1
240910,1
240920,1
240930,5
240940,8
241040,1
241105,1
241120,3
241190,1
241200,2
241210,1
241220,4
241250,3
241270,1
241330,1
241340,2
241355,1
241410,1
241415,1
241450,1
241490,1
250010,1
250030,2
250060,2
250073,1
250080,2
250100,3
250110,4
250130,2
250135,1
250140,1
250150,1
250157,1
250180,4
250190,1
250200,1
250205,1
250210,1
250240,2
250320,4
250330,1
250355,1
250370,6
250375,1
250380,1
250390,1
250400,20
250430,3
250440,1
250450,2
250460,3
250500,1
250523,3
250527,1
250530,1
250540,2
250580,1
250590,1
250600,5
250620,1
250630,5
250640,1
250650,2
250660,1
250690,2
250700,1
250710,2
250740,1
250750,39
250760,2
250770,3
250810,1
250880,2
250890,2
250910,2
250940,1
250960,1
250970,3
251010,1
251020,3
251080,18
251090,1
251100,2
251110,1
251120,2
251130,3
251150,1
251170,1
251210,3
251220,1
251250,3
251270,3
251300,1
251330,1
251335,2
251390,3
251398,2
251400,2
251430,1
251440,1
251450,3
251510,2
251530,7
251550,1
251560,1
251590,1
251600,2
251615,1
251620,7
251640,1
251650,2
251660,3
251670,1
260005,2
260020,2
260050,5
260060,1
260070,3
260090,1
260110,4
260120,4
260160,3
260170,6
260180,1
260190,4
260200,4
260210,3
260220,1
260230,3
260260,1
260270,2
260280,4
260290,10
260300,3
260310,1
260340,1
260345,7
260360,1
260370,2
260390,1
260400,2
260410,12
260415,1
260430,2
260450,1
260460,1
260480,1
260490,1
260510,1
260520,3
260530,1
260545,1
260550,2
260560,4
260570,1
260600,11
260620,1
260640,8
260650,2
260680,5
260720,4
260730,1
260750,1
260765,2
260770,3
260790,25
260795,3
260805,4
260810,2
260820,1
260830,2
260840,2
260860,2
260870,1
260875,2
260880,2
260890,5
260900,5
260920,1
260940,3
260960,14
260990,5
261000,6
261030,1
261050,2
261060,1
261070,18
261090,2
261110,16
261130,1
261160,95
261180,1
261210,1
261220,7
261240,2
261250,2
261255,1
261260,5
261300,3
261310,1
261320,1
261350,5
261360,3
261370,5
261380,1
261390,6
261410,4
261420,2
261430,1
261450,1
261460,2
261500,1
261510,1
261530,2
261560,1
261580,1
261610,2
261630,1
261640,4
270030,18
270050,1
270060,1
270070,1
270080,1
270130,1
270140,2
270230,2
270240,1
270250,1
270255,1
270260,1
270290,6
270320,1
270330,1
270400,2
270410,2
270430,30
270440,3
270460,1
270470,2
270570,2
270580,1
270630,4
270644,1
270710,2
270750,1
270760,1
270770,1
270800,2
270840,1
270850,2
270860,1
270880,1
270915,1
270930,3
270940,1
280020,3
280030,37
280067,2
280100,2
280120,2
280130,3
280140,2
280210,3
280240,1
280260,1
280290,10
280300,1
280320,1
280330,1
280340,2
280350,7
280360,2
280370,1
280380,1
280390,1
280430,1
280440,1
280445,1
280450,2
280460,2
280480,3
280490,1
280530,1
280540,4
280550,1
280560,1
280570,5
280620,1
280670,5
280680,3
280710,7
280740,2
280760,1
290010,2
290020,1
290030,1
290035,1
290050,1
290070,14
290100,4
290110,2
290120,1
290130,2
290140,1
290190,1
290200,3
290260,1
290270,2
290280,2
290290,1
290320,9
290323,3
290327,1
290330,1
290360,2
290370,1
290380,2
290390,5
290410,1
290420,1
290430,1
290440,1
290450,2
290460,2
290475,2
290490,2
290510,1
290520,3
290530,1
290540,1
290560,1
290570,6
290580,1
290590,4
290600,2
290610,2
290620,1
290630,1
290640,1
290650,7
290660,1
290670,1
290682,1
290687,3
290690,1
290710,3
290720,3
290730,2
290750,3
290755,1
290760,2
290790,1
290800,2
290830,1
290840,1
290850,1
290860,1
290910,4
290930,1
290940,2
290950,1
290960,1
290980,4
290990,3
291005,5
291010,1
291040,1
291050,1
291060,1
291070,5
291072,6
291075,1
291080,11
291085,1
291100,1
291110,2
291130,1
291160,1
291170,12
291180,1
291190,2
291220,1
291250,2
291270,1
291290,1
291300,2
291310,3
291350,2
291360,6
291400,4
291440,1
291460,5
291470,6
291480,15
291500,2
291520,1
291530,1
291535,2
291550,1
291560,2
291580,2
291600,1
291610,1
291630,1
291640,2
291650,2
291670,1
291680,1
291690,1
291750,6
291760,3
291770,2
291780,1
291800,10
291810,2
291820,1
291830,1
291840,14
291870,1
291900,1
291905,1
291915,2
291920,4
291930,2
291950,2
291980,3
292010,1
292020,1
292050,1
292060,3
292100,1
292110,1
292120,2
292130,1
292140,1
292150,1
292200,1
292225,1
292230,1
292240,3
292280,1
292285,1
292303,1
292305,1
292320,2
292330,1
292340,4
292360,1
292370,1
292390,1
292400,5
292405,1
292420,1
292430,2
292440,1
292460,2
292490,1
292500,1
292510,2
292530,5
292550,1
292575,1
292590,1
292593,1
292600,7
292620,2
292630,1
292640,2
292650,2
292670,1
292700,1
292720,1
292730,1
292740,82
292750,1
292760,2
292770,1
292800,1
292805,2
292810,1
292820,3
292840,1
292870,11
292880,1
292890,1
292900,1
292910,2
292925,1
292937,1
292940,1
292950,2
292960,1
292970,2
292975,1
292990,3
293010,6
293015,2
293020,3
293050,4
293060,1
293070,5
293076,1
293080,1
293135,3
293180,1
293190,1
293200,1
293220,2
293230,1
293240,1
293245,1
293280,1
293290,3
293300,2
293305,1
293315,1
293320,3
293325,1
293330,24
293360,5
310010,3
310020,4
310050,1
310060,2
310090,1
310100,1
310150,1
310160,15
310200,1
310210,2
310240,1
310260,6
310270,1
310290,2
310340,1
310350,1
310360,1
310370,2
310400,9
310420,6
310430,2
310440,1
310450,1
310480,2
310490,3
310500,2
310510,6
310520,1
310530,2
310540,1
310560,10
310570,1
310620,185
310630,1
310650,2
310670,11
310710,1
310740,4
310750,3
310780,1
310800,1
310825,1
310840,1
310860,4
310880,1
310890,1
310910,1
310920,1
310930,3
310950,2
310960,1
310970,2
310990,1
311000,1
311030,2
311040,1
311050,1
311060,5
311070,1
311100,3
311120,4
311130,2
311150,2
311160,1
311200,1
311210,1
311260,1
311280,2
311290,1
311320,1
311330,1
311340,8
311350,1
311360,1
311380,1
311410,1
311420,5
311430,8
311450,2
311455,1
311460,3
311480,1
311530,8
311547,1
311550,1
311570,1
311580,2
311615,1
311630,2
311660,4
311670,1
311730,1
311760,1
311770,1
311790,1
311800,4
311810,2
311820,1
311830,9
311860,32
311880,2
311910,1
311920,1
311930,3
311940,6
311960,2
312020,2
312030,1
312040,1
312050,1
312080,4
312090,8
312110,2
312140,2
312160,2
312200,2
312210,2
312220,2
312230,25
312247,1
312260,1
312320,4
312330,2
312340,1
312352,1
312360,7
312390,2
312400,3
312410,3
312430,1
312450,1
312470,1
312490,2
312510,1
312540,1
312595,1
312610,12
312650,1
312670,3
312710,3
312733,4
312738,3
312740,1
312760,2
312770,19
312790,1
312800,6
312810,1
312830,2
312840,2
312850,1
312860,1
312870,4
312950,1
312980,8
313010,1
313020,3
313030,1
313050,3
313090,1
313100,1
313110,1
313115,1
313120,2
313130,19
313160,1
313170,9
313190,4
313200,1
313210,1
313220,1
313240,12
313300,2
313350,7
313360,2
313370,1
313380,18
313420,5
313440,2
313450,1
313460,3
313470,1
313480,1
313490,2
313505,1
313510,4
313520,4
313530,2
313540,1
313545,1
313550,1
313560,1
313570,2
313590,1
313600,1
313610,2
313630,6
313655,1
313670,31
313695,1
313700,1
313720,1
313730,1
313740,3
313750,4
313753,1
313770,1
313780,3
313820,12
313830,1
313840,3
313860,2
313862,2
313865,1
313870,3
313880,1
313890,1
313900,1
313910,2
313920,1
313925,1
313940,6
313950,1
313960,1
313990,1
314000,6
314050,3
314053,2
314070,1
314110,1
314140,1
314150,1
314160,1
314180,3
314200,2
314220,1
314225,1
314230,2
314260,1
314270,2
314290,1
314300,4
314310,1
314330,13
314340,1
314345,2
314350,1
314380,1
314390,6
314400,1
314410,3
314460,2
314470,1
314480,10
314505,1
314510,4
314520,10
314530,3
314537,1
314550,1
314560,9
314585,1
314590,4
314600,1
314610,1
314640,2
314650,1
314690,3
314700,8
314710,15
314720,6
314730,5
314740,2
314750,1
314760,1
314770,1
314790,12
314800,26
314810,11
314860,2
314870,1
314875,1
314880,1
314910,2
314930,2
314980,3
314990,2
315030,1
315050,2
315060,2
315070,1
315080,2
315100,3
315120,2
315130,1
315140,3
315150,2
315170,3
315180,15
315200,4
315210,4
315217,1
315220,3
315240,1
315250,10
315260,1
315270,1
315280,5
315310,1
315330,1
315340,8
315360,4
315380,1
315400,3
315430,1
315440,1
315445,2
315460,13
315470,2
315490,1
315540,1
315560,2
315570,1
315580,4
315610,2
315640,1
315670,3
315680,1
315700,4
