,Feature,Importance
335,RS,5.4384458028618266
97,OUTRAS_NEOPLASIAS_MALIGNAS_DA_PELE,2.8989173951058866
318,CE,2.3719641891518894
336,SC,2.194447076693898
269,DIARRÉIA_E_GASTROENTERITE_ORIGEM_INFECC_PRESUMÍVEL,2.145281592476284
182,LUXAÇÕES_ENTORSE_DISTENSÃO_REG_ESP_E_MÚLTIP_CORPO,1.9493784022621936
172,MICOSES,1.9275560365075568
134,OUTRAS_DOENÇAS_DOS_INTESTINOS_E_PERITÔNIO,1.9154392615552838
329,PI,1.8353882341515375
18,TRANST_MENTAIS_COMPORT_DEV_USO_OUTR_SUBST_PSICOAT,1.8209251196399407
306,AMEBÍASE,1.788059922424652
152,NEOPLASIA_MALIGNA_DO_PÂNCREAS,1.741882266798724
20,TRANST_DISCAIS_CERVIC_E_OUTR_TRANST_DISC_INTERVERT,1.6263344407365457
293,BRONQUITE_ENFISEMA_E_OUTR_DOENÇ_PULM_OBSTR_CRÔNIC,1.6240909336506408
225,FETO_E_REC-NASC_AFET_FAT_MAT_E_COMPL_GRAV_E_PARTO,1.593046869472109
284,COLELITÍASE_E_COLECISTITE,1.5861238998878324
59,PROLAPSO_GENITAL_FEMININO,1.5029722533578767
158,NEOPLASIA_MALIGNA_DO_CÓLON,1.4951373463716275
124,OUTRAS_DOENÇAS_DO_OLHO_E_ANEXOS,1.4693958248812558
114,OUTRAS_DOENÇAS_SIST_OSTEOMUSCULAR_E_TEC_CONJUNTIVO,1.4643562654542999
246,EMBOLIA_PULMONAR,1.380194383493737
112,OUTRAS_DORSOPATIAS,1.2770154326737007
26,TRANSTORNOS_DA_REFRAÇÃO_E_DA_ACOMODAÇÃO,1.2724766123795443
324,MS,1.2629561315781797
65,PESSOAS_EM_CONTATO_COM_SERV_SAÚDE_EXAME_E_INVESTIG,1.2620581833193025
278,DEFORMIDADES_ADQUIRIDAS_DAS_ARTICULAÇÕES,1.2613515471057053
243,ENVENENAMENTO_POR_DROGAS_E_SUBSTÂNCIAS_BIOLÓGICAS,1.25540771931234
261,DOENÇA_ALCOÓLICA_DO_FÍGADO,1.2528469063714829
90,OUTRAS_SÍFILIS,1.2508552267765325
266,DOENÇAS_DO_APÊNDICE,1.2207162759537045
87,OUTROS_TRANSTORNOS_DA_PRÓSTATA,1.2112873718895636
203,INFARTO_CEREBRAL,1.2078924290254633
30,TRABALHO_DE_PARTO_OBSTRUÍDO,1.1878913969837104
210,HIDROCELE_E_ESPERMATOCELE,1.1742799342436963
15,TRANST_NÃO-INFLAM_OVÁRIO_TROMP_FALÓPIO_LIGAM_LARGO,1.1692591982470262
304,ANEMIA_POR_DEFICIÊNCIA_DE_FERRO,1.1657690652541315
260,DOENÇA_DE_ALZHEIMER,1.1035926424044942
330,PR,1.04106176329471
185,LESÕES_ESMAG_AMPUT_TRAUMÁT_REG_ESP_E_MÚLTIP_CORPO,1.0405939139324298
3,UROLITÍASE,1.0221826708640793
61,PNEUMONIA,1.0180284616070272
171,NASCIDOS_VIVOS_SEGUNDO_O_LOCAL_DE_NASCIMENTO,1.0099294265151455
50,RETARDO_MENTAL,0.9805165018754655
247,EMBOLIA_E_TROMBOSE_ARTERIAIS,0.9694133339454163
205,ILEO_PARALÍTICO_E_OBSTRUÇÃO_INTESTINAL_SEM_HÉRNIA,0.9649189075408121
31,TIREOTOXICOSE,0.9541938336648254
25,TRANSTORNOS_DE_CONDUÇÃO_E_ARRITMIAS_CARDÍACAS,0.917125313905433
4,TÉTANO_NEONATAL,0.9058475312290099
101,OUTRAS_MALFORMAÇÕES_CONGÊNITAS,0.892368961770435
180,MALÁRIA_NÃO_ESPECIFICADA,0.8806630488727174
139,OUTRAS_COMPLICAÇÕES_DA_GRAVIDEZ_E_DO_PARTO,0.8760652409062628
212,HEMORRÓIDAS,0.8605565910005549
121,OUTRAS_DOENÇAS_DO_TRATO_RESPIRATÓRIO_SUPERIOR,0.8565978556650415
88,OUTROS_EFEITOS_E_NÃO_ESPEC_DE_CAUSAS_EXTERNAS,0.8497486623490651
219,FRATURA_DO_FÊMUR,0.8422473120246704
195,INSUFICIÊNCIA_CARDÍACA,0.840851516988016
323,MG,0.8393042652549988
184,LEUCEMIA,0.8328957418874798
19,TRANST_MENOPÁUSICOS_E_OUTR_TRANST_PERIMENOPÁUSICOS,0.8266222980106658
148,NEOPL_MALIG_JUNÇÃO_RETOSSIGM_RETO_ÂNUS_CANAL_ANAL,0.8261846166137423
137,OUTRAS_DOENÇAS_CEREBROVASCULARES,0.8250505469387445
223,FLEBITE_TROMBOFLEBITE_EMBOLIA_E_TROMBOSE_VENOSA,0.7967902798317116
24,TRANSTORNOS_DE_HUMOR_[AFETIVOS],0.7945617837376122
43,SEQÜELAS_DE_DESNUTRIÇÃO_E_DE_OUTRAS_DEFIC_NUTRIC,0.7831035737397315
123,OUTRAS_DOENÇAS_DO_OUVIDO_E_DA_APÓFISE_MASTÓIDE,0.7745404258634664
151,NEOPL_BENIG_ENCÉFALO_E_OUTR_PART_SIST_NERV_CENTRAL,0.7618084523040073
53,RESTANTE_DE_OUTRAS_TUBERCULOSES,0.746746013430018
