"CID10","OPC","CAT","SUBCAT","DESCR","RESTRSEXO"
"A00","","S","N","A00   Colera","5"
"A000","","N","S","A00.0 Colera dev Vibrio cholerae 01 biot cholerae","5"
"A001","","N","S","A00.1 Colera dev Vibrio cholerae 01 biot El Tor","5"
"A009","","N","S","A00.9 Colera NE","5"
"A01","","S","N","A01   Febres tifoide e paratifoide","5"
"A010","","N","S","A01.0 Febre tifoide","5"
"A011","","N","S","A01.1 Febre paratifoide A","5"
"A012","","N","S","A01.2 Febre paratifoide B","5"
"A013","","N","S","A01.3 Febre paratifoide C","5"
"A014","","N","S","A01.4 Febre paratifoide NE","5"
"A02","","S","N","A02   Outr infecc p/Salmonella","5"
"A020","","N","S","A02.0 Enterite p/salmonela","5"
"A021","","N","S","A02.1 Septicemia p/salmonela","5"
"A022","+","N","S","A02.2 Infecc localizadas p/salmonela","5"
"A028","","N","S","A02.8 Outr infecc espec p/salmonela","5"
"A029","","N","S","A02.9 Infecc NE p/salmonela","5"
"A03","","S","N","A03   Shiguelose","5"
"A030","","N","S","A03.0 Shiguelose dev Shigella dysenteriae","5"
"A031","","N","S","A03.1 Shiguelose dev Shigella flexneri","5"
"A032","","N","S","A03.2 Shiguelose dev Shigella boydii","5"
"A033","","N","S","A03.3 Shiguelose dev Shigella sonnei","5"
"A038","","N","S","A03.8 Outr shigueloses","5"
"A039","","N","S","A03.9 Shiguelose NE","5"
"A04","","S","N","A04   Outr infecc intestinais bacter","5"
"A040","","N","S","A04.0 Infecc p/Escherichia coli enteropatogenica","5"
"A041","","N","S","A04.1 Infecc p/Escherichia coli enterotoxigenica","5"
"A042","","N","S","A04.2 Infecc p/Escherichia coli enteroinvasiva","5"
"A043","","N","S","A04.3 Infecc p/Escherichia coli enterohemorragica","5"
"A044","","N","S","A04.4 Outr infecc intestinais p/Escherichia coli","5"
"A045","","N","S","A04.5 Enterite p/Campylobacter","5"
"A046","","N","S","A04.6 Enterite dev Yersinia enterocolitica","5"
"A047","","N","S","A04.7 Enterocolite dev Clostridium difficile","5"
"A048","","N","S","A04.8 Outr infecc bacter intestinais espec","5"
"A049","","N","S","A04.9 Infecc intestinal bacter NE","5"
"A05","","S","N","A05   Outr intox alimentares bacter","5"
"A050","","N","S","A05.0 Intox alimentar estafilococica","5"
"A051","","N","S","A05.1 Botulismo","5"
"A052","","N","S","A05.2 Intox alimentar dev Clostridium perfringens","5"
"A053","","N","S","A05.3 Intox alimentar dev Vibrio parahemolyticus","5"
"A054","","N","S","A05.4 Intox alimentar dev Bacillus cereus","5"
"A058","","N","S","A05.8 Outr intox alimentares bacter espec","5"
"A059","","N","S","A05.9 Intox alimentar bacter NE","5"
"A06","","S","N","A06   Amebiase","5"
"A060","","N","S","A06.0 Disenteria amebiana aguda","5"
"A061","","N","S","A06.1 Amebiase intestinal cronica","5"
"A062","","N","S","A06.2 Colite amebiana nao-disenterica","5"
"A063","","N","S","A06.3 Ameboma intestinal","5"
"A064","","N","S","A06.4 Abscesso amebiano do figado","5"
"A065","+","N","S","A06.5 Abscesso amebiano do pulmao","5"
"A066","+","N","S","A06.6 Abscesso amebiano do cerebro","5"
"A067","","N","S","A06.7 Amebiase cutanea","5"
"A068","","N","S","A06.8 Infecc amebiana de outr localiz","5"
"A069","","N","S","A06.9 Amebiase NE","5"
"A07","","S","N","A07   Outr doenc intestinais p/protozoarios","5"
"A070","","N","S","A07.0 Balantidiase","5"
"A071","","N","S","A07.1 Giardiase","5"
"A072","","N","S","A07.2 Criptosporidiose","5"
"A073","","N","S","A07.3 Isosporiase","5"
"A078","","N","S","A07.8 Outr doenc intestinais espec p/protozoarios","5"
"A079","","N","S","A07.9 Doenc intestinal NE p/protozoarios","5"
"A08","","S","N","A08   Infecc intestinais virais outr e as NE","5"
"A080","","N","S","A08.0 Enterite p/rotavirus","5"
"A081","","N","S","A08.1 Gastroenteropatia aguda p/agente de Norwalk","5"
"A082","","N","S","A08.2 Enterite p/adenovirus","5"
"A083","","N","S","A08.3 Outr enterites virais","5"
"A084","","N","S","A08.4 Infecc intestinal dev virus NE","5"
"A085","","N","S","A08.5 Outr infecc intestinais espec","5"
"A09","","S","S","A09   Diarreia e gastroenterite orig infecc presum","5"
"A15","","S","N","A15   Tuberc respirat c/conf bacteriol e histolog","5"
"A150","","N","S","A15.0 Tuberc pulm c/conf p/ex micr expec c/s/cult","5"
"A151","","N","S","A15.1 Tuberc pulmonar c/conf somente p/cultura","5"
"A152","","N","S","A15.2 Tuberc pulmonar c/conf histolog","5"
"A153","","N","S","A15.3 Tuberc pulmonar c/conf p/meio NE","5"
"A154","","N","S","A15.4 Tuberc gangl intrator c/conf bacter e histol","5"
"A155","","N","S","A15.5 Tuberc laring traq bronq c/conf bact e hist","5"
"A156","","N","S","A15.6 Pleuris tuberc c/conf bacteriol e histolog","5"
"A157","","N","S","A15.7 Tuberc prim vias respir c/conf bact e histol","5"
"A158","","N","S","A15.8 Outr form tuberc via resp c/conf bact hist","5"
"A159","","N","S","A15.9 Tuberc NE vias respir c/conf bacter histol","5"
"A16","","S","N","A16   Tuberc vias respirat s/conf bacter histol","5"
"A160","","N","S","A16.0 Tuberc pulmonar c/exames bact e hist negat","5"
"A161","","N","S","A16.1 Tuberc pulmonar s/exame bacter ou histolog","5"
"A162","","N","S","A16.2 Tuberc pulmonar s/menc conf bact ou hist","5"
"A163","","N","S","A16.3 Tuberc gangl intrat s/menc conf bact hist","5"
"A164","","N","S","A16.4 Tuberc laring traq bronq s/menc bact hist","5"
"A165","","N","S","A16.5 Pleurisia tuberc s/menc conf bact ou histol","5"
"A167","","N","S","A16.7 Tuberc respir prim s/menc conf bact ou hist","5"
"A168","","N","S","A16.8 Outr tuber via resp s/menc conf bact hist","5"
"A169","","N","S","A16.9 Tuberc respirat NE s/menc conf bact ou hist","5"
"A17","+","S","N","A17   Tuberc do sist nervoso","5"
"A170","+","N","S","A17.0 Meningite tuberc","5"
"A171","+","N","S","A17.1 Tuberculoma meningeo","5"
"A178","+","N","S","A17.8 Outr tuberc do sist nervoso","5"
"A179","+","N","S","A17.9 Tuberc NE do sist nervoso","5"
"A18","","S","N","A18   Tuberc de outr orgaos","5"
"A180","+","N","S","A18.0 Tuberc ossea e das articulacoes","5"
"A181","","N","S","A18.1 Tuberc do aparelho geniturinario","5"
"A182","","N","S","A18.2 Linfadenopatia tuberc periferica","5"
"A183","","N","S","A18.3 Tuberc intestino peritonio gangl mesenter","5"
"A184","","N","S","A18.4 Tuberc de pele e tec celular subcutaneo","5"
"A185","+","N","S","A18.5 Tuberc do olho","5"
"A186","+","N","S","A18.6 Tuberc do ouvido","5"
"A187","+","N","S","A18.7 Tuberc das supra-renais","5"
"A188","+","N","S","A18.8 Tuberc de outr orgaos espec","5"
"A19","","S","N","A19   Tuberc miliar","5"
"A190","","N","S","A19.0 Tuberc miliar aguda de localiz unica espec","5"
"A191","","N","S","A19.1 Tuberc miliar aguda de mult localiz","5"
"A192","","N","S","A19.2 Tuberc miliar aguda NE","5"
"A198","","N","S","A19.8 Outr tuberc miliares","5"
"A199","","N","S","A19.9 Tuberc miliar NE","5"
"A20","","S","N","A20   Peste","5"
"A200","","N","S","A20.0 Peste bubonica","5"
"A201","","N","S","A20.1 Peste celulocutanea","5"
"A202","","N","S","A20.2 Peste pneumonica","5"
"A203","","N","S","A20.3 Peste meningea","5"
"A207","","N","S","A20.7 Peste septicemica","5"
"A208","","N","S","A20.8 Outr form de peste","5"
"A209","","N","S","A20.9 Peste form NE","5"
"A21","","S","N","A21   Tularemia","5"
"A210","","N","S","A21.0 Tularemia ulceroglandular","5"
"A211","","N","S","A21.1 Tularemia oculoglandular","5"
"A212","","N","S","A21.2 Tularemia pulmonar","5"
"A213","","N","S","A21.3 Tularemia gastrointestinal","5"
"A217","","N","S","A21.7 Tularemia generalizada","5"
"A218","","N","S","A21.8 Outr form de tularemia","5"
"A219","","N","S","A21.9 Tularemia form NE","5"
"A22","","S","N","A22   Carbunculo","5"
"A220","","N","S","A22.0 Carbunculo cutaneo","5"
"A221","","N","S","A22.1 Carbunculo pulmonar","5"
"A222","","N","S","A22.2 Carbunculo gastrointestinal","5"
"A227","","N","S","A22.7 Septicemia carbunculosa","5"
"A228","","N","S","A22.8 Outr form de carbunculo","5"
"A229","","N","S","A22.9 Carbunculo form NE","5"
"A23","","S","N","A23   Brucelose","5"
"A230","","N","S","A23.0 Brucelose p/Brucella melitensis","5"
"A231","","N","S","A23.1 Brucelose p/Brucella abortus","5"
"A232","","N","S","A23.2 Brucelose p/Brucella suis","5"
"A233","","N","S","A23.3 Brucelose p/Brucella canis","5"
"A238","","N","S","A23.8 Outr bruceloses","5"
"A239","","N","S","A23.9 Brucelose NE","5"
"A24","","S","N","A24   Mormo e melioidose","5"
"A240","","N","S","A24.0 Mormo","5"
"A241","","N","S","A24.1 Melioidose aguda e fulminante","5"
