,Feature,Importance
84,OUTROS_TRANSTORNOS_MENTAIS_E_COMPORTAMENTAIS,1.7282508083796637
248,EFEITOS_TÓXICOS_SUBST_ORIGEM_PRINC_NÃO-MEDICINAL,1.102968305977908
50,RETARDO_MENTAL,1.0712239642140136
6,TUBERCULOSE_ÓSSEA_E_DAS_ARTICULAÇÕES,0.9537814419729943
180,MALÁRIA_NÃO_ESPECIFICADA,0.9420530120767912
275,DEMÊNCIA,0.8806821129942888
20,TRANST_DISCAIS_CERVIC_E_OUTR_TRANST_DISC_INTERVERT,0.8721271669234338
39,SEQÜEL_TRAUM_ENVEN_E_OUTR_CONSEQ_CAUSAS_EXTERNAS,0.8715098276113569
172,MICOSES,0.8707725275290275
108,OUTRAS_HELMINTÍASES,0.8702096426285869
230,FEBRE_AMARELA,0.8701619312258922
193,LARINGITE_E_TRAQUEÍTE_AGUDAS,0.8338018094680018
97,OUTRAS_NEOPLASIAS_MALIGNAS_DA_PELE,0.7513107998575675
54,RESTANTE_DE_OUTRAS_DOENÇAS_VIRAIS,0.6972666289359681
179,MALÁRIA_POR_PLASMODIUM_FALCIPARUM,0.6905929275924073
334,RR,0.6813440538940709
167,NEOPLASIA_BENIGNA_DOS_ÓRGÃOS_URINÁRIOS,0.6642989073528898
284,COLELITÍASE_E_COLECISTITE,0.6453399260385089
269,DIARRÉIA_E_GASTROENTERITE_ORIGEM_INFECC_PRESUMÍVEL,0.5976098045362533
310,ACID_VASCULAR_CEREBR_ISQUÊM_TRANSIT_E_SÍNDR_CORREL,0.5904295890504003
87,OUTROS_TRANSTORNOS_DA_PRÓSTATA,0.5721147660563554
235,ESTADO_INFEC_ASSINT_VÍRUS_DA_IMUNODEF_HUMANA_[HIV],0.557252163529209
246,EMBOLIA_PULMONAR,0.5418775938336323
86,OUTROS_TRANSTORNOS_DENTES_E_ESTRUTURAS_DE_SUPORTE,0.5408311349812254
122,OUTRAS_DOENÇAS_DO_SISTEMA_NERVOSO,0.5149364011689018
128,OUTRAS_DOENÇAS_DO_CORAÇÃO,0.5082114163448795
148,NEOPL_MALIG_JUNÇÃO_RETOSSIGM_RETO_ÂNUS_CANAL_ANAL,0.5041462050929373
25,TRANSTORNOS_DE_CONDUÇÃO_E_ARRITMIAS_CARDÍACAS,0.49597018944038224
245,ENCEFALITE_VIRAL,0.48768162386142716
335,RS,0.4867379505600173
124,OUTRAS_DOENÇAS_DO_OLHO_E_ANEXOS,0.47618160121124625
329,PI,0.4516436848772814
138,OUTRAS_DEFICIÊNCIAS_VITAMÍNICAS,0.4473608824012342
134,OUTRAS_DOENÇAS_DOS_INTESTINOS_E_PERITÔNIO,0.4309656991259643
43,SEQÜELAS_DE_DESNUTRIÇÃO_E_DE_OUTRAS_DEFIC_NUTRIC,0.43009588396615006
247,EMBOLIA_E_TROMBOSE_ARTERIAIS,0.4273611941711939
216,GLAUCOMA,0.42521927684131405
296,AUSÊNCIA_ATRESIA_E_ESTENOSE_DO_INTESTINO_DELGADO,0.41954209510714113
110,OUTRAS_FORMAS_MALÁRIA_CONF_EXAMES_PARASITOLÓG,0.4195354531845695
237,ESQUISTOSSOMOSE,0.4172606862188697
229,FEBRE_DE_ORIGEM_DESCONHECIDA,0.4159346166887097
191,LEISHMANIOSE_CUTÂNEA,0.4072774290223851
52,RESTANTE_DE_OUTR_FEBR_ARBOVÍRUS_FEBR_HEMOR_VÍRUS,0.4032677125309878
152,NEOPLASIA_MALIGNA_DO_PÂNCREAS,0.3984577433815266
336,SC,0.39635274670820964
318,CE,0.39253521780529166
4,TÉTANO_NEONATAL,0.38558741262250534
158,NEOPLASIA_MALIGNA_DO_CÓLON,0.38460105434105807
59,PROLAPSO_GENITAL_FEMININO,0.37624959420230614
26,TRANSTORNOS_DA_REFRAÇÃO_E_DA_ACOMODAÇÃO,0.37571381129636333
29,TRANSTORNOS_DA_DENSIDADE_E_DA_ESTRUTURA_ÓSSEAS,0.3725135524102637
339,TO,0.36404517801653996
15,TRANST_NÃO-INFLAM_OVÁRIO_TROMP_FALÓPIO_LIGAM_LARGO,0.36186882536351206
