,Feature,Importance
248,EFEITOS_TÓXICOS_SUBST_ORIGEM_PRINC_NÃO-MEDICINAL,1.7520078347886971
20,TRANST_DISCAIS_CERVIC_E_OUTR_TRANST_DISC_INTERVERT,1.5869392611514475
84,OUTROS_TRANSTORNOS_MENTAIS_E_COMPORTAMENTAIS,1.4856583873822125
284,COLELITÍASE_E_COLECISTITE,1.3233465349577154
97,OUTRAS_NEOPLASIAS_MALIGNAS_DA_PELE,1.318705889420756
335,RS,1.3091225249597989
39,SEQÜEL_TRAUM_ENVEN_E_OUTR_CONSEQ_CAUSAS_EXTERNAS,1.2429470844793375
310,ACID_VASCULAR_CEREBR_ISQUÊM_TRANSIT_E_SÍNDR_CORREL,1.2334337633872154
193,LARINGITE_E_TRAQUEÍTE_AGUDAS,1.2097651395529918
269,DIARRÉIA_E_GASTROENTERITE_ORIGEM_INFECC_PRESUMÍVEL,1.2062559426587045
275,DEMÊNCIA,1.176642048134142
167,NEOPLASIA_BENIGNA_DOS_ÓRGÃOS_URINÁRIOS,1.1650545816976905
148,NEOPL_MALIG_JUNÇÃO_RETOSSIGM_RETO_ÂNUS_CANAL_ANAL,1.1201195609034744
246,EMBOLIA_PULMONAR,1.1044010795561132
6,TUBERCULOSE_ÓSSEA_E_DAS_ARTICULAÇÕES,1.0733687689228393
334,RR,1.003287251867712
329,PI,0.9776980916559458
50,RETARDO_MENTAL,0.9697518800826148
158,NEOPLASIA_MALIGNA_DO_CÓLON,0.9679773517850733
172,MICOSES,0.9514682085138918
54,RESTANTE_DE_OUTRAS_DOENÇAS_VIRAIS,0.9511079803755941
87,OUTROS_TRANSTORNOS_DA_PRÓSTATA,0.9345891276296429
336,SC,0.9124522134696986
134,OUTRAS_DOENÇAS_DOS_INTESTINOS_E_PERITÔNIO,0.887489664536694
318,CE,0.8871943850132782
122,OUTRAS_DOENÇAS_DO_SISTEMA_NERVOSO,0.8843668934858819
180,MALÁRIA_NÃO_ESPECIFICADA,0.8709085751481895
29,TRANSTORNOS_DA_DENSIDADE_E_DA_ESTRUTURA_ÓSSEAS,0.8108371912092719
25,TRANSTORNOS_DE_CONDUÇÃO_E_ARRITMIAS_CARDÍACAS,0.8007211382389015
247,EMBOLIA_E_TROMBOSE_ARTERIAIS,0.7996982267783295
152,NEOPLASIA_MALIGNA_DO_PÂNCREAS,0.7866354394366238
179,MALÁRIA_POR_PLASMODIUM_FALCIPARUM,0.7738113744922573
204,INFARTO_AGUDO_DO_MIOCÁRDIO,0.769190008166258
26,TRANSTORNOS_DA_REFRAÇÃO_E_DA_ACOMODAÇÃO,0.7682151907930108
219,FRATURA_DO_FÊMUR,0.7584101329049846
146,NEOPL_MALIG_OUTR_LOCALIZ_MAL_DEF_SECUN_E_NÃO_ESPEC,0.7548255958074821
312,ABORTO_ESPONTÂNEO,0.7545226327378609
216,GLAUCOMA,0.725019494124968
59,PROLAPSO_GENITAL_FEMININO,0.715466749279772
339,TO,0.7133779888482022
128,OUTRAS_DOENÇAS_DO_CORAÇÃO,0.7113165291583491
324,MS,0.7024964125229048
226,FENDA_LABIAL_E_FENDA_PALATINA,0.6823076641997892
237,ESQUISTOSSOMOSE,0.6812900954547562
100,OUTRAS_MALFORMAÇÕES_CONGÊNITAS_APARELHO_DIGESTIVO,0.6591054613059587
191,LEISHMANIOSE_CUTÂNEA,0.6549757621251906
15,TRANST_NÃO-INFLAM_OVÁRIO_TROMP_FALÓPIO_LIGAM_LARGO,0.6537448973557086
124,OUTRAS_DOENÇAS_DO_OLHO_E_ANEXOS,0.6460512813209092
110,OUTRAS_FORMAS_MALÁRIA_CONF_EXAMES_PARASITOLÓG,0.6436906898962926
176,MENINGITE_BACTERIANA_NÃO_CLASSIF_OUTRA_PARTE,0.6405823683507127
266,DOENÇAS_DO_APÊNDICE,0.632084630229296
185,LESÕES_ESMAG_AMPUT_TRAUMÁT_REG_ESP_E_MÚLTIP_CORPO,0.6260660858018763
230,FEBRE_AMARELA,0.6091837863470166
235,ESTADO_INFEC_ASSINT_VÍRUS_DA_IMUNODEF_HUMANA_[HIV],0.6018516429800261
212,HEMORRÓIDAS,0.5853039159789243
210,HIDROCELE_E_ESPERMATOCELE,0.5841766842664499
271,DESNUTRIÇÃO,0.5832341413738197
