"Município";"Internações"
"150619 Rurópolis";56
"150620 Salinópolis";19
"150630 Salvaterra";3
"150635 Santa Bárbara do Pará";8
"150650 Santa Izabel do Pará";22
"150655 Santa Luzia do Pará";3
"150658 Santa Maria das Barreiras";6
"150660 Santa Maria do Pará";21
"150670 Santana do Araguaia";45
"150680 Santarém";199
"150690 Santarém Novo";2
"150700 Santo Antônio do Tauá";16
"150710 São Caetano de Odivelas";1
"150715 São Domingos do Araguaia";15
"150720 São Domingos do Capim";12
"150730 São Félix do Xingu";180
"150740 São Francisco do Pará";2
"150745 São Geraldo do Araguaia";19
"150747 São João de Pirabas";5
"150750 São João do Araguaia";8
"150760 São Miguel do Guamá";26
"150770 São Sebastião da Boa Vista";10
"150775 Sapucaia";1
"150780 Senador José Porfírio";15
"150790 Soure";22
"150795 Tailândia";51
"150796 Terra Alta";1
"150797 Terra Santa";20
"150800 Tomé-Açu";27
"150803 Tracuateua";8
"150805 Trairão";7
"150808 Tucumã";83
"150810 Tucuruí";41
"150812 Ulianópolis";93
"150815 Uruará";36
"150820 Vigia";17
"150830 Viseu";19
"150835 Vitória do Xingu";18
"150840 Xinguara";72
"160010 Amapá";2
"160020 Calçoene";2
"160023 Ferreira Gomes";1
"160025 Itaubal";2
"160027 Laranjal do Jari";41
"160030 Macapá";67
"160040 Mazagão";4
"160050 Oiapoque";3
"160053 Porto Grande";1
"160055 Pracuúba";1
"160060 Santana";6
"160080 Vitória do Jari";6
"170025 Abreulândia";1
"170030 Aguiarnópolis";3
"170035 Aliança do Tocantins";4
"170040 Almas";2
"170070 Alvorada";10
"170100 Ananás";7
"170105 Angico";2
"170130 Aragominas";5
"170190 Araguacema";2
"170210 Araguaína";149
"170215 Araguanã";2
"170220 Araguatins";14
"170230 Arapoema";10
"170240 Arraias";3
"170255 Augustinópolis";13
"170270 Aurora do Tocantins";1
"170290 Axixá do Tocantins";4
"170300 Babaçulândia";3
"170305 Bandeirantes do Tocantins";3
"170307 Barra do Ouro";3
"170310 Barrolândia";3
"170320 Bernardo Sayão";3
"170330 Bom Jesus do Tocantins";1
"170360 Brasilândia do Tocantins";5
"170370 Brejinho de Nazaré";4
"170380 Buriti do Tocantins";10
"170384 Campos Lindos";6
"170386 Cariri do Tocantins";1
"170388 Carmolândia";2
"170389 Carrasco Bonito";1
"170390 Caseara";2
"170550 Colinas do Tocantins";17
"171670 Colméia";8
"170555 Combinado";3
"170600 Couto Magalhães";2
"170610 Cristalândia";2
"170650 Darcinópolis";5
"170700 Dianópolis";5
"170710 Divinópolis do Tocantins";1
"170720 Dois Irmãos do Tocantins";2
"170730 Dueré";2
"170740 Esperantina";3
"170755 Fátima";4
"170765 Figueirópolis";6
"170770 Filadélfia";7
"170820 Formoso do Araguaia";8
"170825 Fortaleza do Tabocão";2
"170830 Goianorte";3
"170900 Goiatins";7
"170930 Guaraí";15
"170950 Gurupi";62
"170980 Ipueiras";1
"171050 Itacajá";4
"171070 Itaguatins";2
"171090 Itapiratins";2
"171110 Itaporã do Tocantins";2
"171150 Jaú do Tocantins";1
"171180 Juarina";1
"171190 Lagoa da Confusão";17
"171200 Lajeado";6
"171215 Lavandeira";1
"171240 Lizarda";1
"171245 Luzinópolis";2
"171250 Marianópolis do Tocantins";1
"171270 Mateiros";2
"171320 Miracema do Tocantins";10
"171330 Miranorte";7
"171360 Monte do Carmo";2
"171395 Muricilândia";4
"171420 Natividade";2
"171488 Nova Olinda";7
"171550 Oliveira de Fátima";1
"172100 Palmas";101
"171570 Palmeirante";2
"171380 Palmeiras do Tocantins";2
"171575 Palmeirópolis";5
"171610 Paraíso do Tocantins";25
"171620 Paranã";6
"171630 Pau D'Arco";3
"171650 Pedro Afonso";8
"171660 Peixe";7
"171665 Pequizeiro";2
"171700 Pindorama do Tocantins";2
"171720 Piraquê";2
"171750 Pium";7
"171780 Ponte Alta do Bom Jesus";5
"171790 Ponte Alta do Tocantins";2
"171800 Porto Alegre do Tocantins";1
"171820 Porto Nacional";18
"171830 Praia Norte";3
"171840 Presidente Kennedy";1
"171855 Riachinho";2
"171865 Rio da Conceição";1
"171870 Rio dos Bois";3
"171875 Rio Sono";3
"171884 Sandolândia";1
"171886 Santa Fé do Araguaia";4
"171888 Santa Maria do Tocantins";3
"171889 Santa Rita do Tocantins";1
"171890 Santa Rosa do Tocantins";2
"172000 Santa Terezinha do Tocantins";2
"172010 São Bento do Tocantins";3
"172015 São Félix do Tocantins";1
"172020 São Miguel do Tocantins";3
"172049 São Valério";4
"172065 Silvanópolis";2
"172080 Sítio Novo do Tocantins";5
"172085 Sucupira";3
"172090 Taguatinga";4
"172093 Taipas do Tocantins";1
"172097 Talismã";1
"172110 Tocantínia";4
"172120 Tocantinópolis";7
"172125 Tupirama";1
"172208 Wanderlândia";6
"172210 Xambioá";8
"210005 Açailândia";59
"210015 Água Doce do Maranhão";8
"210020 Alcântara";11
"210030 Aldeias Altas";1
"210040 Altamira do Maranhão";2
"210043 Alto Alegre do Maranhão";11
"210047 Alto Alegre do Pindaré";16
"210050 Alto Parnaíba";6
"210055 Amapá do Maranhão";10
"210060 Amarante do Maranhão";39
"210070 Anajatuba";9
"210080 Anapurus";8
"210083 Apicum-Açu";11
"210087 Araguanã";4
"210090 Araioses";30
"210095 Arame";26
"210100 Arari";8
"210110 Axixá";6
"210120 Bacabal";44
"210125 Bacabeira";8
"210130 Bacuri";17
"210140 Balsas";71
"210150 Barão de Grajaú";11
"210160 Barra do Corda";30
"210170 Barreirinhas";18
"210177 Bela Vista do Maranhão";6
"210173 Belágua";3
"210180 Benedito Leite";3
"210190 Bequimão";14
"210193 Bernardo do Mearim";2
"210197 Boa Vista do Gurupi";4
"210200 Bom Jardim";12
"210203 Bom Jesus das Selvas";51
"210207 Bom Lugar";3
"210210 Brejo";12
"210215 Brejo de Areia";8
"210220 Buriti";7
"210230 Buriti Bravo";51
"210232 Buriticupu";95
"210235 Buritirana";14
"210237 Cachoeira Grande";1
"210240 Cajapió";6
"210250 Cajari";2
"210255 Campestre do Maranhão";11
"210260 Cândido Mendes";4
"210270 Cantanhede";10
"210275 Capinzal do Norte";10
"210280 Carolina";17
"210290 Carutapera";2
"210300 Caxias";41
"210310 Cedral";11
"210312 Central do Maranhão";4
"210315 Centro do Guilherme";7
"210317 Centro Novo do Maranhão";20
"210320 Chapadinha";49
"210325 Cidelândia";14
"210330 Codó";73
"210340 Coelho Neto";6
"210350 Colinas";51
"210355 Conceição do Lago-Açu";1
"210360 Coroatá";23
"210370 Cururupu";48
"210375 Davinópolis";8
"210380 Dom Pedro";17
"210390 Duque Bacelar";5
"210400 Esperantinópolis";12
"210405 Estreito";23
"210407 Feira Nova do Maranhão";9
"210408 Fernando Falcão";7
"210409 Formosa da Serra Negra";12
"210410 Fortaleza dos Nogueiras";4
"210420 Fortuna";15
"210430 Godofredo Viana";3
"210440 Gonçalves Dias";10
"210450 Governador Archer";7
"210455 Governador Edison Lobão";10
"210460 Governador Eugênio Barros";16
"210462 Governador Luiz Rocha";3
"210465 Governador Newton Bello";3
"210467 Governador Nunes Freire";27
"210470 Graça Aranha";3
"210480 Grajaú";65
"210490 Guimarães";5
"210500 Humberto de Campos";6
"210510 Icatu";6
"210515 Igarapé do Meio";7
"210520 Igarapé Grande";4
"210530 Imperatriz";265
"210535 Itaipava do Grajaú";15
"210540 Itapecuru Mirim";30
"210542 Itinga do Maranhão";26
"210545 Jatobá";7
"210547 Jenipapo dos Vieiras";18
"210550 João Lisboa";21
"210560 Joselândia";17
"210565 Junco do Maranhão";8
"210570 Lago da Pedra";33
"210580 Lago do Junco";8
"210594 Lago dos Rodrigues";6
"210590 Lago Verde";2
"210592 Lagoa do Mato";3
"210596 Lagoa Grande do Maranhão";4
"210598 Lajeado Novo";5
"210600 Lima Campos";4
"210610 Loreto";4
"210620 Luís Domingues";2
"210630 Magalhães de Almeida";9
"210632 Maracaçumé";13
"210635 Marajá do Sena";1
"210637 Maranhãozinho";6
"210640 Mata Roma";6
"210650 Matinha";12
"210660 Matões";18
"210670 Mirador";7
"210675 Miranda do Norte";9
"210680 Mirinzal";20
"210690 Monção";12
"210700 Montes Altos";8
"210710 Morros";7
"210720 Nina Rodrigues";3
"210725 Nova Colinas";2
"210730 Nova Iorque";3
"210735 Nova Olinda do Maranhão";8
"210740 Olho d'Água das Cunhãs";3
"210745 Olinda Nova do Maranhão";6
"210750 Paço do Lumiar";37
"210760 Palmeirândia";9
"210770 Paraibano";12
"210780 Parnarama";19
"210790 Passagem Franca";8
"210800 Pastos Bons";18
"210805 Paulino Neves";3
"210810 Paulo Ramos";4
"210820 Pedreiras";33
"210825 Pedro do Rosário";6
"210830 Penalva";7
"210840 Peri Mirim";13
"210845 Peritoró";29
"210850 Pindaré-Mirim";6
"210860 Pinheiro";72
"210870 Pio XII";11
"210880 Pirapemas";4
"210890 Poção de Pedras";18
"210900 Porto Franco";30
"210905 Porto Rico do Maranhão";4
"210910 Presidente Dutra";42
"210920 Presidente Juscelino";6
"210923 Presidente Médici";2
"210927 Presidente Sarney";4
"210930 Presidente Vargas";3
"210940 Primeira Cruz";2
"210945 Raposa";13
"210950 Riachão";14
"210955 Ribamar Fiquene";6
"210960 Rosário";13
"210970 Sambaíba";7
"210975 Santa Filomena do Maranhão";6
"210980 Santa Helena";12
"210990 Santa Inês";71
"211000 Santa Luzia";62
"211003 Santa Luzia do Paruá";18
"211010 Santa Quitéria do Maranhão";12
"211020 Santa Rita";10
"211023 Santana do Maranhão";6
"211027 Santo Amaro do Maranhão";2
"211030 Santo Antônio dos Lopes";11
"211040 São Benedito do Rio Preto";2
"211050 São Bento";13
"211060 São Bernardo";17
"211065 São Domingos do Azeitão";5
"211070 São Domingos do Maranhão";26
"211080 São Félix de Balsas";2
"211085 São Francisco do Brejão";5
"211090 São Francisco do Maranhão";4
"211100 São João Batista";8
"211102 São João do Carú";2
"211105 São João do Paraíso";8
"211107 São João do Soter";1
"211110 São João dos Patos";24
"211120 São José de Ribamar";30
"211125 São José dos Basílios";6
"211130 São Luís";400
"211140 São Luís Gonzaga do Maranhão";7
"211150 São Mateus do Maranhão";24
"211153 São Pedro da Água Branca";5
"211157 São Pedro dos Crentes";3
"211160 São Raimundo das Mangabeiras";14
"211163 São Raimundo do Doca Bezerra";6
"211167 São Roberto";3
"211170 São Vicente Ferrer";30
"211172 Satubinha";2
"211176 Senador La Rocque";18
"211178 Serrano do Maranhão";13
"211180 Sítio Novo";11
"211190 Sucupira do Norte";6
"211195 Sucupira do Riachão";12
"211200 Tasso Fragoso";3
"211210 Timbiras";52
"211220 Timon";116
"211223 Trizidela do Vale";12
"211227 Tufilândia";9
"211230 Tuntum";24
"211240 Turiaçu";8
"211245 Turilândia";5
"211250 Tutóia";22
"211260 Urbano Santos";10
"211270 Vargem Grande";18
"211280 Viana";18
"211285 Vila Nova dos Martírios";10
"211290 Vitória do Mearim";10
"211300 Vitorino Freire";25
"211400 Zé Doca";26
"220005 Acauã";1
"220010 Agricolândia";6
"220020 Água Branca";20
"220025 Alagoinha do Piauí";6
"220027 Alegrete do Piauí";2
"220030 Alto Longá";7
"220040 Altos";33
"220045 Alvorada do Gurguéia";2
"220050 Amarante";8
"220060 Angical do Piauí";4
"220070 Anísio de Abreu";7
"220080 Antônio Almeida";1
"220090 Aroazes";2
"220100 Arraial";1
"220105 Assunção do Piauí";5
"220110 Avelino Lopes";9
"220115 Baixa Grande do Ribeiro";2
"220117 Barra D'Alcântara";2
"220120 Barras";25
"220140 Barro Duro";5
"220150 Batalha";8
"220155 Bela Vista do Piauí";3
"220160 Beneditinos";4
"220170 Bertolínia";12
"220173 Betânia do Piauí";3
"220177 Boa Hora";7
"220180 Bocaina";1
"220190 Bom Jesus";9
"220191 Bom Princípio do Piauí";11
"220192 Bonfim do Piauí";1
"220194 Boqueirão do Piauí";8
"220196 Brasileira";1
"220198 Brejo do Piauí";1
"220200 Buriti dos Lopes";32
"220202 Buriti dos Montes";2
"220205 Cabeceiras do Piauí";8
"220207 Cajazeiras do Piauí";2
"220208 Cajueiro da Praia";9
"220210 Campinas do Piauí";2
"220211 Campo Alegre do Fidalgo";2
"220213 Campo Grande do Piauí";10
"220217 Campo Largo do Piauí";3
"220220 Campo Maior";29
"220225 Canavieira";2
"220230 Canto do Buriti";11
"220240 Capitão de Campos";2
"220245 Capitão Gervásio Oliveira";4
"220250 Caracol";5
"220253 Caraúbas do Piauí";4
"220255 Caridade do Piauí";5
"220260 Castelo do Piauí";17
"220265 Caxingó";9
"220270 Cocal";37
"220271 Cocal de Telha";2
"220273 Coivaras";4
"220277 Colônia do Piauí";3
"220280 Conceição do Canindé";1
"220285 Coronel José Dias";1
"220290 Corrente";13
"220310 Cristino Castro";2
"220320 Curimatá";8
"220323 Currais";2
"220327 Curral Novo do Piauí";1
"220325 Curralinhos";3
"220330 Demerval Lobão";11
"220335 Dirceu Arcoverde";3
"220345 Dom Inocêncio";3
"220342 Domingos Mourão";4
"220350 Elesbão Veloso";8
"220360 Eliseu Martins";2
"220370 Esperantina";34
"220375 Fartura do Piauí";4
"220385 Floresta do Piauí";1
"220390 Floriano";46
"220400 Francinópolis";5
"220410 Francisco Ayres";4
"220420 Francisco Santos";4
"220430 Fronteiras";6
"220435 Geminiano";3
"220440 Gilbués";1
"220450 Guadalupe";11
"220455 Guaribas";1
"220460 Hugo Napoleão";3
"220465 Ilha Grande";21
"220470 Inhuma";3
"220480 Ipiranga do Piauí";3
"220490 Isaías Coelho";5
"220500 Itainópolis";5
"220510 Itaueira";7
"220515 Jacobina do Piauí";4
"220520 Jaicós";5
"220525 Jardim do Mulato";5
"220527 Jatobá do Piauí";3
"220530 Jerumenha";3
"220535 João Costa";2
"220540 Joaquim Pires";8
"220545 Joca Marques";3
"220550 José de Freitas";23
"220551 Juazeiro do Piauí";3
"220552 Júlio Borges";3
"220553 Jurema";2
"220555 Lagoa Alegre";5
"220557 Lagoa de São Francisco";1
"220556 Lagoa do Barro do Piauí";1
"220558 Lagoa do Piauí";5
"220559 Lagoa do Sítio";5
"220554 Lagoinha do Piauí";3
"220560 Landri Sales";3
"220570 Luís Correia";47
"220580 Luzilândia";26
"220590 Manoel Emídio";3
"220595 Marcolândia";4
"220600 Marcos Parente";2
"220605 Massapê do Piauí";4
"220610 Matias Olímpio";3
"220620 Miguel Alves";31
"220630 Miguel Leão";2
"220635 Milton Brandão";7
"220640 Monsenhor Gil";7
"220650 Monsenhor Hipólito";5
"220660 Monte Alegre do Piauí";4
"220665 Morro Cabeça no Tempo";3
"220667 Morro do Chapéu do Piauí";1
"220669 Murici dos Portelas";4
"220670 Nazaré do Piauí";1
"220672 Nazária";10
"220675 Nossa Senhora de Nazaré";3
"220680 Nossa Senhora dos Remédios";4
"220795 Nova Santa Rita";1
"220690 Novo Oriente do Piauí";6
"220695 Novo Santo Antônio";7
"220700 Oeiras";32
"220710 Olho D'Água do Piauí";1
"220720 Padre Marcos";1
"220730 Paes Landim";3
"220740 Palmeira do Piauí";1
"220750 Palmeirais";16
"220755 Paquetá";3
"220760 Parnaguá";27
"220770 Parnaíba";258
"220775 Passagem Franca do Piauí";2
"220777 Patos do Piauí";4
"220779 Pau D'Arco do Piauí";3
"220780 Paulistana";23
"220790 Pedro II";21
"220800 Picos";57
"220810 Pimenteiras";2
"220820 Pio IX";10
"220830 Piracuruca";19
"220840 Piripiri";42
"220850 Porto";7
"220855 Porto Alegre do Piauí";3
"220860 Prata do Piauí";4
"220865 Queimada Nova";3
"220870 Redenção do Gurguéia";1
"220880 Regeneração";8
"220887 Ribeira do Piauí";1
"220890 Ribeiro Gonçalves";2
"220900 Rio Grande do Piauí";1
"220910 Santa Cruz do Piauí";2
"220915 Santa Cruz dos Milagres";2
"220920 Santa Filomena";2
"220930 Santa Luz";5
"220937 Santa Rosa do Piauí";2
"220940 Santo Antônio de Lisboa";2
"220950 Santo Inácio do Piauí";2
"220965 São Francisco de Assis do Piauí";2
"220970 São Francisco do Piauí";5
"220975 São Gonçalo do Gurguéia";1
"220980 São Gonçalo do Piauí";7
"220985 São João da Canabrava";2
"220990 São João da Serra";10
"220995 São João da Varjota";2
"220997 São João do Arraial";8
"221000 São João do Piauí";6
"221005 São José do Divino";4
"221010 São José do Peixe";1
"221020 São José do Piauí";2
"221030 São Julião";1
"221035 São Lourenço do Piauí";4
"221037 São Luis do Piauí";1
"221039 São Miguel do Fidalgo";2
"221040 São Miguel do Tapuio";14
"221050 São Pedro do Piauí";16
"221060 São Raimundo Nonato";26
"221063 Sebastião Leal";1
"221065 Sigefredo Pacheco";9
"221070 Simões";5
"221080 Simplício Mendes";6
"221090 Socorro do Piauí";2
"221093 Sussuapara";5
"221100 Teresina";651
"221110 União";40
"221120 Uruçuí";31
"221130 Valença do Piauí";11
"221135 Várzea Branca";3
"221140 Várzea Grande";1
"221150 Vera Mendes";1
"221170 Wall Ferraz";2
"230010 Abaiara";12
"230015 Acarape";6
"230020 Acaraú";32
"230030 Acopiara";39
"230040 Aiuaba";9
"230050 Alcântaras";6
"230060 Altaneira";15
"230070 Alto Santo";12
"230075 Amontada";32
"230080 Antonina do Norte";16
"230090 Apuiarés";12
"230100 Aquiraz";36
"230110 Aracati";27
"230120 Aracoiaba";23
"230125 Ararendá";4
"230130 Araripe";46
"230140 Aratuba";10
"230150 Arneiroz";1
"230160 Assaré";45
"230170 Aurora";32
"230180 Baixio";10
"230185 Banabuiú";10
"230190 Barbalha";604
"230195 Barreira";13
"230200 Barro";23
"230205 Barroquinha";3
"230210 Baturité";13
"230220 Beberibe";15
"230230 Bela Cruz";13
"230240 Boa Viagem";39
"230250 Brejo Santo";60
"230260 Camocim";55
"230270 Campos Sales";41
"230280 Canindé";41
"230290 Capistrano";9
"230300 Caridade";9
"230310 Cariré";15
"230320 Caririaçu";86
"230330 Cariús";37
"230340 Carnaubal";12
"230350 Cascavel";37
"230360 Catarina";13
"230365 Catunda";3
"230370 Caucaia";137
"230380 Cedro";32
"230390 Chaval";6
"230393 Choró";6
"230395 Chorozinho";14
"230400 Coreaú";13
"230410 Crateús";38
"230420 Crato";319
"230423 Croatá";10
"230425 Cruz";19
"230426 Deputado Irapuan Pinheiro";5
"230427 Ererê";10
"230428 Eusébio";24
"230430 Farias Brito";44
"230435 Forquilha";12
"230440 Fortaleza";1468
"230445 Fortim";9
"230450 Frecheirinha";6
"230460 General Sampaio";1
"230465 Graça";8
"230470 Granja";26
"230480 Granjeiro";7
"230490 Groaíras";7
"230495 Guaiúba";17
"230500 Guaraciaba do Norte";11
"230510 Guaramiranga";6
"230520 Hidrolândia";5
"230523 Horizonte";32
"230526 Ibaretama";9
"230530 Ibiapina";12
"230533 Ibicuitinga";9
"230535 Icapuí";18
"230540 Icó";50
"230550 Iguatu";75
"230560 Independência";14
"230565 Ipaporanga";8
"230570 Ipaumirim";10
"230580 Ipu";16
"230590 Ipueiras";20
"230600 Iracema";11
"230610 Irauçuba";8
"230620 Itaiçaba";2
"230625 Itaitinga";15
"230630 Itapagé";23
"230640 Itapipoca";61
"230650 Itapiúna";12
"230655 Itarema";13
"230660 Itatira";15
"230670 Jaguaretama";14
"230680 Jaguaribara";12
"230690 Jaguaribe";17
"230700 Jaguaruana";22
"230710 Jardim";140
"230720 Jati";15
"230725 Jijoca de Jericoacoara";9
"230730 Juazeiro do Norte";408
"230740 Jucás";8
"230750 Lavras da Mangabeira";28
"230760 Limoeiro do Norte";64
"230763 Madalena";8
"230765 Maracanaú";84
"230770 Maranguape";51
"230780 Marco";15
"230790 Martinópole";1
"230800 Massapê";20
"230810 Mauriti";79
"230820 Meruoca";4
"230830 Milagres";40
"230835 Milhã";12
"230837 Miraíma";6
"230840 Missão Velha";138
"230850 Mombaça";39
"230860 Monsenhor Tabosa";12
"230870 Morada Nova";52
"230880 Moraújo";3
"230890 Morrinhos";13
"230900 Mucambo";8
"230910 Mulungu";6
"230920 Nova Olinda";53
"230930 Nova Russas";10
"230940 Novo Oriente";18
"230945 Ocara";9
"230950 Orós";22
"230960 Pacajus";26
"230970 Pacatuba";27
"230980 Pacoti";5
"231010 Palmácia";7
"231020 Paracuru";21
"231025 Paraipaba";20
"231030 Parambu";29
"231040 Paramoti";8
"231050 Pedra Branca";46
"231060 Penaforte";24
"231070 Pentecoste";20
"231080 Pereiro";6
"231085 Pindoretama";21
"231090 Piquet Carneiro";11
"231095 Pires Ferreira";3
"231100 Poranga";3
"231110 Porteiras";43
"231120 Potengi";15
"231126 Quiterianópolis";7
"231130 Quixadá";37
"231135 Quixelô";9
"231140 Quixeramobim";51
"231150 Quixeré";30
"231160 Redenção";11
"231170 Reriutaba";12
"231180 Russas";83
"231190 Saboeiro";11
"231195 Salitre";24
"231220 Santa Quitéria";19
"231200 Santana do Acaraú";8
"231210 Santana do Cariri";42
"231230 São Benedito";23
"231240 São Gonçalo do Amarante";19
"231250 São João do Jaguaribe";4
"231260 São Luís do Curu";7
"231270 Senador Pompeu";27
"231280 Senador Sá";3
"231290 Sobral";84
"231300 Solonópole";15
"231310 Tabuleiro do Norte";27
"231320 Tamboril";7
"231325 Tarrafas";22
"231330 Tauá";51
"231335 Tejuçuoca";4
"231340 Tianguá";26
"231350 Trairi";32
"231355 Tururu";7
"231360 Ubajara";15
"231370 Umari";4
"231375 Umirim";7
"231380 Uruburetama";10
"231390 Uruoca";3
"231395 Varjota";10
"231400 Várzea Alegre";41
"231410 Viçosa do Ceará";26
