"Município da residência";"2015";"2016";"2017";" Total"
"110140 MONTE NEGRO                                                                                         ";"5";"7";"10";"22"
"110143 NOVA UNIAO                                                                                          ";"5";"2";"2";"9"
"110145 PARECIS                                                                                             ";"3";"4";"2";"9"
"110146 PIMENTEIRAS DO OESTE                                                                                ";"0";"3";"3";"6"
"110147 PRIMAVERA DE RONDONIA                                                                               ";"4";"4";"1";"9"
"110148 SAO FELIPE D\'OESTE                                                                                  ";"3";"2";"6";"11"
"110149 SAO FRANCISCO DO GUAPORE                                                                            ";"6";"13";"6";"25"
"110150 SERINGUEIRAS                                                                                        ";"13";"9";"4";"26"
"110155 TEIXEIROPOLIS                                                                                       ";"1";"5";"4";"10"
"110160 THEOBROMA                                                                                           ";"10";"2";"5";"17"
"110170 URUPA                                                                                               ";"9";"3";"10";"22"
"110175 VALE DO ANARI                                                                                       ";"1";"5";"6";"12"
"110180 VALE DO PARAISO                                                                                     ";"8";"2";"3";"13"
"120001 ACRELANDIA                                                                                          ";"6";"2";"4";"12"
"120005 ASSIS BRASIL                                                                                        ";"0";"1";"2";"3"
"120010 BRASILEIA                                                                                           ";"7";"11";"7";"25"
"120013 BUJARI                                                                                              ";"3";"1";"3";"7"
"120017 CAPIXABA                                                                                            ";"5";"0";"4";"9"
"120020 CRUZEIRO DO SUL                                                                                     ";"19";"26";"24";"69"
"120025 EPITACIOLANDIA                                                                                      ";"9";"6";"7";"22"
"120030 FEIJO                                                                                               ";"7";"4";"12";"23"
"120032 JORDAO                                                                                              ";"2";"0";"1";"3"
"120033 MANCIO LIMA                                                                                         ";"1";"6";"4";"11"
"120034 MANOEL URBANO                                                                                       ";"4";"4";"6";"14"
"120035 MARECHAL THAUMATURGO                                                                                ";"3";"2";"0";"5"
"120038 PLACIDO DE CASTRO                                                                                   ";"10";"11";"8";"29"
"120039 PORTO WALTER                                                                                        ";"3";"0";"2";"5"
"120040 RIO BRANCO                                                                                          ";"263";"240";"239";"742"
"120042 RODRIGUES ALVES                                                                                     ";"3";"1";"3";"7"
"120043 SANTA ROSA DO PURUS                                                                                 ";"1";"0";"0";"1"
"120045 SENADOR GUIOMARD                                                                                    ";"5";"6";"8";"19"
"120050 SENA MADUREIRA                                                                                      ";"13";"9";"12";"34"
"120060 TARAUACA                                                                                            ";"15";"9";"26";"50"
"120070 XAPURI                                                                                              ";"9";"6";"4";"19"
"120080 PORTO ACRE                                                                                          ";"4";"6";"7";"17"
"130002 ALVARAES                                                                                            ";"1";"0";"0";"1"
"130008 ANAMA                                                                                               ";"2";"1";"2";"5"
"130010 ANORI                                                                                               ";"0";"1";"3";"4"
"130014 APUI                                                                                                ";"4";"4";"6";"14"
"130020 ATALAIA DO NORTE                                                                                    ";"0";"1";"0";"1"
"130030 AUTAZES                                                                                             ";"2";"5";"3";"10"
"130040 BARCELOS                                                                                            ";"1";"1";"1";"3"
"130050 BARREIRINHA                                                                                         ";"1";"0";"2";"3"
"130060 BENJAMIN CONSTANT                                                                                   ";"1";"2";"3";"6"
"130063 BERURI                                                                                              ";"1";"1";"0";"2"
"130068 BOA VISTA DO RAMOS                                                                                  ";"1";"2";"2";"5"
"130070 BOCA DO ACRE                                                                                        ";"12";"6";"4";"22"
"130080 BORBA                                                                                               ";"3";"1";"5";"9"
"130083 CAAPIRANGA                                                                                          ";"1";"0";"0";"1"
"130090 CANUTAMA                                                                                            ";"0";"1";"1";"2"
"130100 CARAUARI                                                                                            ";"3";"3";"3";"9"
"130110 CAREIRO                                                                                             ";"5";"2";"0";"7"
"130115 CAREIRO DA VARZEA                                                                                   ";"2";"2";"1";"5"
"130120 COARI                                                                                               ";"9";"5";"2";"16"
"130130 CODAJAS                                                                                             ";"3";"2";"1";"6"
"130140 EIRUNEPE                                                                                            ";"3";"2";"1";"6"
"130150 ENVIRA                                                                                              ";"1";"1";"2";"4"
"130160 FONTE BOA                                                                                           ";"1";"1";"3";"5"
"130165 GUAJARA                                                                                             ";"3";"0";"1";"4"
"130170 HUMAITA                                                                                             ";"15";"8";"15";"38"
"130180 IPIXUNA                                                                                             ";"4";"1";"1";"6"
"130185 IRANDUBA                                                                                            ";"6";"6";"6";"18"
"130190 ITACOATIARA                                                                                         ";"9";"12";"10";"31"
"130200 ITAPIRANGA                                                                                          ";"1";"1";"1";"3"
"130210 JAPURA                                                                                              ";"0";"2";"1";"3"
"130220 JURUA                                                                                               ";"1";"0";"0";"1"
"130230 JUTAI                                                                                               ";"2";"0";"1";"3"
"130240 LABREA                                                                                              ";"1";"3";"3";"7"
"130250 MANACAPURU                                                                                          ";"17";"15";"12";"44"
"130255 MANAQUIRI                                                                                           ";"1";"2";"3";"6"
"130260 MANAUS                                                                                              ";"1419";"1537";"1587";"4543"
"130270 MANICORE                                                                                            ";"3";"4";"1";"8"
"130280 MARAA                                                                                               ";"1";"0";"0";"1"
"130290 MAUES                                                                                               ";"5";"2";"1";"8"
"130310 NOVA OLINDA DO NORTE                                                                                ";"1";"4";"1";"6"
"130320 NOVO AIRAO                                                                                          ";"1";"4";"3";"8"
"130330 NOVO ARIPUANA                                                                                       ";"0";"2";"2";"4"
"130340 PARINTINS                                                                                           ";"2";"5";"4";"11"
"130350 PAUINI                                                                                              ";"3";"1";"1";"5"
"130353 PRESIDENTE FIGUEIREDO                                                                               ";"6";"6";"2";"14"
"130356 RIO PRETO DA EVA                                                                                    ";"4";"2";"2";"8"
"130370 SANTO ANTONIO DO ICA                                                                                ";"1";"1";"1";"3"
"130380 SAO GABRIEL DA CACHOEIRA                                                                            ";"2";"1";"3";"6"
"130390 SAO PAULO DE OLIVENCA                                                                               ";"0";"1";"0";"1"
"130395 SAO SEBASTIAO DO UATUMA                                                                             ";"0";"1";"2";"3"
"130406 TABATINGA                                                                                           ";"0";"0";"3";"3"
"130410 TAPAUA                                                                                              ";"0";"0";"1";"1"
"130420 TEFE                                                                                                ";"6";"5";"3";"14"
"130430 URUCARA                                                                                             ";"1";"0";"1";"2"
"130440 URUCURITUBA                                                                                         ";"0";"0";"1";"1"
"140005 ALTO ALEGRE                                                                                         ";"2";"0";"3";"5"
"140010 BOA VISTA                                                                                           ";"142";"132";"134";"408"
"140015 BONFIM                                                                                              ";"1";"1";"0";"2"
"140017 CANTA                                                                                               ";"3";"1";"1";"5"
"140020 CARACARAI                                                                                           ";"0";"6";"1";"7"
"140023 CAROEBE                                                                                             ";"1";"2";"0";"3"
"140028 IRACEMA                                                                                             ";"1";"0";"0";"1"
"140030 MUCAJAI                                                                                             ";"5";"3";"5";"13"
"140040 NORMANDIA                                                                                           ";"0";"0";"1";"1"
"140045 PACARAIMA                                                                                           ";"1";"1";"1";"3"
"140047 RORAINOPOLIS                                                                                        ";"6";"4";"3";"13"
"140050 SAO JOAO DA BALIZA                                                                                  ";"1";"0";"1";"2"
"140060 SAO LUIZ                                                                                            ";"3";"1";"1";"5"
"140070 UIRAMUTA                                                                                            ";"1";"0";"0";"1"
"150010 ABAETETUBA                                                                                          ";"50";"46";"43";"139"
"150013 ABEL FIGUEIREDO                                                                                     ";"1";"0";"0";"1"
"150020 ACARA                                                                                               ";"10";"10";"12";"32"
"150034 AGUA AZUL DO NORTE                                                                                  ";"0";"3";"2";"5"
"150040 ALENQUER                                                                                            ";"17";"20";"20";"57"
"150050 ALMEIRIM                                                                                            ";"6";"9";"19";"34"
"150060 ALTAMIRA                                                                                            ";"21";"32";"38";"91"
"150070 ANAJAS                                                                                              ";"5";"2";"2";"9"
"150080 ANANINDEUA                                                                                          ";"180";"220";"181";"581"
"150085 ANAPU                                                                                               ";"4";"3";"3";"10"
"150090 AUGUSTO CORREA                                                                                      ";"9";"5";"9";"23"
"150095 AURORA DO PARA                                                                                      ";"8";"4";"3";"15"
"150100 AVEIRO                                                                                              ";"4";"3";"3";"10"
"150110 BAGRE                                                                                               ";"5";"1";"1";"7"
"150120 BAIAO                                                                                               ";"7";"3";"6";"16"
"150125 BANNACH                                                                                             ";"1";"3";"1";"5"
"150130 BARCARENA                                                                                           ";"26";"33";"35";"94"
"150140 BELEM                                                                                               ";"895";"1054";"1056";"3005"
"150145 BELTERRA                                                                                            ";"9";"10";"9";"28"
"150150 BENEVIDES                                                                                           ";"11";"17";"26";"54"
"150157 BOM JESUS DO TOCANTINS                                                                              ";"1";"3";"5";"9"
"150160 BONITO                                                                                              ";"2";"1";"5";"8"
"150170 BRAGANCA                                                                                            ";"22";"29";"33";"84"
"150172 BRASIL NOVO                                                                                         ";"6";"3";"3";"12"
"150175 BREJO GRANDE DO ARAGUAIA                                                                            ";"1";"2";"0";"3"
"150178 BREU BRANCO                                                                                         ";"6";"6";"8";"20"
"150180 BREVES                                                                                              ";"13";"18";"10";"41"
"150190 BUJARU                                                                                              ";"6";"10";"2";"18"
"150195 CACHOEIRA DO PIRIA                                                                                  ";"0";"3";"2";"5"
"150200 CACHOEIRA DO ARARI                                                                                  ";"4";"6";"4";"14"
"150210 CAMETA                                                                                              ";"23";"19";"23";"65"
"150215 CANAA DOS CARAJAS                                                                                   ";"8";"6";"8";"22"
"150220 CAPANEMA                                                                                            ";"21";"22";"16";"59"
"150230 CAPITAO POCO                                                                                        ";"14";"10";"13";"37"
"150240 CASTANHAL                                                                                           ";"50";"71";"65";"186"
"150250 CHAVES                                                                                              ";"0";"1";"3";"4"
"150260 COLARES                                                                                             ";"6";"2";"1";"9"
"150270 CONCEICAO DO ARAGUAIA                                                                               ";"10";"15";"17";"42"
"150275 CONCORDIA DO PARA                                                                                   ";"12";"7";"4";"23"
"150276 CUMARU DO NORTE                                                                                     ";"1";"0";"0";"1"
"150277 CURIONOPOLIS                                                                                        ";"5";"2";"2";"9"
"150280 CURRALINHO                                                                                          ";"2";"3";"3";"8"
"150285 CURUA                                                                                               ";"3";"2";"12";"17"
"150290 CURUCA                                                                                              ";"5";"7";"7";"19"
"150293 DOM ELISEU                                                                                          ";"8";"2";"5";"15"
"150295 ELDORADO DOS CARAJAS                                                                                ";"2";"5";"2";"9"
"150300 FARO                                                                                                ";"1";"0";"0";"1"
"150304 FLORESTA DO ARAGUAIA                                                                                ";"4";"3";"1";"8"
"150307 GARRAFAO DO NORTE                                                                                   ";"4";"7";"6";"17"
"150309 GOIANESIA DO PARA                                                                                   ";"5";"6";"13";"24"
"150310 GURUPA                                                                                              ";"3";"5";"3";"11"
"150320 IGARAPE-ACU                                                                                         ";"7";"18";"13";"38"
"150330 IGARAPE-MIRI                                                                                        ";"11";"10";"15";"36"
"150340 INHANGAPI                                                                                           ";"2";"1";"0";"3"
"150345 IPIXUNA DO PARA                                                                                     ";"6";"11";"3";"20"
"150350 IRITUIA                                                                                             ";"8";"9";"5";"22"
"150360 ITAITUBA                                                                                            ";"26";"38";"29";"93"
"150370 ITUPIRANGA                                                                                          ";"6";"3";"10";"19"
"150375 JACAREACANGA                                                                                        ";"3";"1";"4";"8"
"150380 JACUNDA                                                                                             ";"5";"11";"9";"25"
"150390 JURUTI                                                                                              ";"6";"15";"8";"29"
"150400 LIMOEIRO DO AJURU                                                                                   ";"4";"5";"7";"16"
"150405 MAE DO RIO                                                                                          ";"11";"12";"13";"36"
"150410 MAGALHAES BARATA                                                                                    ";"2";"1";"2";"5"
"150420 MARABA                                                                                              ";"35";"33";"49";"117"
"150430 MARACANA                                                                                            ";"4";"11";"5";"20"
"150440 MARAPANIM                                                                                           ";"3";"10";"7";"20"
"150442 MARITUBA                                                                                            ";"30";"25";"46";"101"
"150445 MEDICILANDIA                                                                                        ";"3";"3";"6";"12"
"150450 MELGACO                                                                                             ";"0";"2";"2";"4"
"150460 MOCAJUBA                                                                                            ";"6";"6";"2";"14"
"150470 MOJU                                                                                                ";"13";"12";"9";"34"
"150475 MOJUI DOS CAMPOS                                                                                    ";"3";"15";"10";"28"
"150480 MONTE ALEGRE                                                                                        ";"31";"30";"30";"91"
"150490 MUANA                                                                                               ";"9";"8";"7";"24"
"150495 NOVA ESPERANCA DO PIRIA                                                                             ";"2";"4";"4";"10"
"150497 NOVA IPIXUNA                                                                                        ";"6";"3";"4";"13"
"150500 NOVA TIMBOTEUA                                                                                      ";"4";"4";"6";"14"
"150503 NOVO PROGRESSO                                                                                      ";"11";"3";"7";"21"
"150506 NOVO REPARTIMENTO                                                                                   ";"13";"6";"16";"35"
"150510 OBIDOS                                                                                              ";"10";"17";"20";"47"
"150520 OEIRAS DO PARA                                                                                      ";"3";"1";"0";"4"
"150530 ORIXIMINA                                                                                           ";"14";"26";"30";"70"
"150540 OUREM                                                                                               ";"2";"2";"5";"9"
"150543 OURILANDIA DO NORTE                                                                                 ";"0";"3";"8";"11"
"150548 PACAJA                                                                                              ";"2";"3";"6";"11"
"150549 PALESTINA DO PARA                                                                                   ";"0";"1";"0";"1"
"150550 PARAGOMINAS                                                                                         ";"24";"37";"35";"96"
"150553 PARAUAPEBAS                                                                                         ";"28";"24";"32";"84"
"150555 PAU D\'ARCO                                                                                          ";"1";"0";"0";"1"
"150560 PEIXE-BOI                                                                                           ";"1";"2";"0";"3"
"150563 PICARRA                                                                                             ";"1";"4";"2";"7"
"150565 PLACAS                                                                                              ";"9";"17";"8";"34"
"150570 PONTA DE PEDRAS                                                                                     ";"5";"7";"3";"15"
"150580 PORTEL                                                                                              ";"4";"4";"6";"14"
"150590 PORTO DE MOZ                                                                                        ";"4";"5";"2";"11"
"150600 PRAINHA                                                                                             ";"7";"19";"7";"33"
"150610 PRIMAVERA                                                                                           ";"3";"0";"4";"7"
"150611 QUATIPURU                                                                                           ";"4";"1";"2";"7"
"150613 REDENCAO                                                                                            ";"22";"28";"32";"82"
"150616 RIO MARIA                                                                                           ";"6";"3";"4";"13"
"150618 RONDON DO PARA                                                                                      ";"4";"6";"6";"16"
"150619 RUROPOLIS                                                                                           ";"11";"13";"9";"33"
"150620 SALINOPOLIS                                                                                         ";"11";"9";"14";"34"
"150630 SALVATERRA                                                                                          ";"6";"7";"5";"18"
"150635 SANTA BARBARA DO PARA                                                                               ";"4";"4";"8";"16"
"150640 SANTA CRUZ DO ARARI                                                                                 ";"1";"2";"2";"5"
"150650 SANTA IZABEL DO PARA                                                                                ";"14";"28";"30";"72"
"150655 SANTA LUZIA DO PARA                                                                                 ";"4";"1";"4";"9"
"150658 SANTA MARIA DAS BARREIRAS                                                                           ";"0";"3";"0";"3"
"150660 SANTA MARIA DO PARA                                                                                 ";"2";"7";"15";"24"
"150670 SANTANA DO ARAGUAIA                                                                                 ";"3";"7";"7";"17"
"150680 SANTAREM                                                                                            ";"309";"346";"306";"961"
"150690 SANTAREM NOVO                                                                                       ";"2";"2";"5";"9"
"150700 SANTO ANTONIO DO TAUA                                                                               ";"6";"5";"13";"24"
"150710 SAO CAETANO DE ODIVELAS                                                                             ";"7";"4";"5";"16"
"150715 SAO DOMINGOS DO ARAGUAIA                                                                            ";"3";"2";"5";"10"
"150720 SAO DOMINGOS DO CAPIM                                                                               ";"7";"4";"9";"20"
"150730 SAO FELIX DO XINGU                                                                                  ";"5";"5";"5";"15"
"150740 SAO FRANCISCO DO PARA                                                                               ";"3";"7";"5";"15"
"150745 SAO GERALDO DO ARAGUAIA                                                                             ";"1";"2";"7";"10"
"150746 SAO JOAO DA PONTA                                                                                   ";"0";"0";"2";"2"
"150747 SAO JOAO DE PIRABAS                                                                                 ";"5";"3";"10";"18"
"150750 SAO JOAO DO ARAGUAIA                                                                                ";"0";"2";"1";"3"
"150760 SAO MIGUEL DO GUAMA                                                                                 ";"8";"14";"14";"36"
"150770 SAO SEBASTIAO DA BOA VISTA                                                                          ";"1";"8";"4";"13"
"150775 SAPUCAIA                                                                                            ";"2";"1";"0";"3"
"150780 SENADOR JOSE PORFIRIO                                                                               ";"1";"2";"1";"4"
"150790 SOURE                                                                                               ";"3";"7";"9";"19"
"150795 TAILANDIA                                                                                           ";"11";"6";"25";"42"
"150796 TERRA ALTA                                                                                          ";"6";"3";"2";"11"
"150797 TERRA SANTA                                                                                         ";"0";"2";"3";"5"
"150800 TOME-ACU                                                                                            ";"10";"13";"20";"43"
"150803 TRACUATEUA                                                                                          ";"4";"10";"9";"23"
"150805 TRAIRAO                                                                                             ";"3";"5";"2";"10"
"150808 TUCUMA                                                                                              ";"8";"8";"14";"30"
"150810 TUCURUI                                                                                             ";"27";"25";"28";"80"
"150812 ULIANOPOLIS                                                                                         ";"3";"3";"5";"11"
"150815 URUARA                                                                                              ";"1";"7";"9";"17"
"150820 VIGIA                                                                                               ";"19";"21";"18";"58"
"150830 VISEU                                                                                               ";"8";"6";"7";"21"
"150835 VITORIA DO XINGU                                                                                    ";"5";"0";"6";"11"
"150840 XINGUARA                                                                                            ";"13";"14";"16";"43"
"160010 AMAPA                                                                                               ";"9";"3";"3";"15"
"160015 PEDRA BRANCA DO AMAPARI                                                                             ";"4";"1";"1";"6"
"160020 CALCOENE                                                                                            ";"2";"2";"0";"4"
"160021 CUTIAS                                                                                              ";"0";"0";"1";"1"
"160023 FERREIRA GOMES                                                                                      ";"2";"0";"1";"3"
"160025 ITAUBAL                                                                                             ";"0";"1";"0";"1"
"160027 LARANJAL DO JARI                                                                                    ";"5";"2";"6";"13"
"160030 MACAPA                                                                                              ";"171";"195";"221";"587"
"160040 MAZAGAO                                                                                             ";"0";"1";"0";"1"
"160050 OIAPOQUE                                                                                            ";"0";"1";"1";"2"
"160053 PORTO GRANDE                                                                                        ";"2";"3";"6";"11"
"160060 SANTANA                                                                                             ";"22";"28";"25";"75"
"160070 TARTARUGALZINHO                                                                                     ";"0";"2";"1";"3"
"160080 VITORIA DO JARI                                                                                     ";"2";"0";"0";"2"
"170025 ABREULANDIA                                                                                         ";"1";"1";"0";"2"
"170030 AGUIARNOPOLIS                                                                                       ";"2";"1";"4";"7"
"170035 ALIANCA DO TOCANTINS                                                                                ";"4";"1";"4";"9"
"170040 ALMAS                                                                                               ";"1";"3";"3";"7"
"170070 ALVORADA                                                                                            ";"1";"2";"2";"5"
"170100 ANANAS                                                                                              ";"7";"3";"6";"16"
"170105 ANGICO                                                                                              ";"0";"0";"4";"4"
"170110 APARECIDA DO RIO NEGRO                                                                              ";"1";"0";"0";"1"
"170130 ARAGOMINAS                                                                                          ";"3";"5";"1";"9"
"170190 ARAGUACEMA                                                                                          ";"1";"1";"1";"3"
"170200 ARAGUACU                                                                                            ";"2";"2";"0";"4"
"170210 ARAGUAINA                                                                                           ";"190";"195";"178";"563"
"170215 ARAGUANA                                                                                            ";"1";"1";"5";"7"
"170220 ARAGUATINS                                                                                          ";"15";"8";"5";"28"
"170230 ARAPOEMA                                                                                            ";"1";"4";"4";"9"
"170240 ARRAIAS                                                                                             ";"1";"3";"3";"7"
"170255 AUGUSTINOPOLIS                                                                                      ";"10";"4";"16";"30"
"170290 AXIXA DO TOCANTINS                                                                                  ";"2";"3";"0";"5"
"170300 BABACULANDIA                                                                                        ";"4";"2";"5";"11"
"170305 BANDEIRANTES DO TOCANTINS                                                                           ";"0";"1";"1";"2"
"170307 BARRA DO OURO                                                                                       ";"1";"2";"2";"5"
"170310 BARROLANDIA                                                                                         ";"1";"3";"3";"7"
"170320 BERNARDO SAYAO                                                                                      ";"2";"2";"1";"5"
"170330 BOM JESUS DO TOCANTINS                                                                              ";"0";"0";"2";"2"
"170360 BRASILANDIA DO TOCANTINS                                                                            ";"2";"0";"1";"3"
"170370 BREJINHO DE NAZARE                                                                                  ";"1";"6";"3";"10"
"170380 BURITI DO TOCANTINS                                                                                 ";"0";"6";"8";"14"
"170382 CACHOEIRINHA                                                                                        ";"0";"3";"0";"3"
"170384 CAMPOS LINDOS                                                                                       ";"3";"3";"3";"9"
"170386 CARIRI DO TOCANTINS                                                                                 ";"1";"3";"2";"6"
"170388 CARMOLANDIA                                                                                         ";"2";"0";"2";"4"
"170389 CARRASCO BONITO                                                                                     ";"1";"2";"1";"4"
"170390 CASEARA                                                                                             ";"1";"0";"0";"1"
"170460 CHAPADA DE AREIA                                                                                    ";"1";"0";"0";"1"
"170510 CHAPADA DA NATIVIDADE                                                                               ";"0";"1";"0";"1"
"170550 COLINAS DO TOCANTINS                                                                                ";"12";"16";"19";"47"
"170555 COMBINADO                                                                                           ";"1";"1";"1";"3"
"170560 CONCEICAO DO TOCANTINS                                                                              ";"1";"2";"0";"3"
"170600 COUTO MAGALHAES                                                                                     ";"1";"1";"3";"5"
"170610 CRISTALANDIA                                                                                        ";"3";"7";"3";"13"
"170625 CRIXAS DO TOCANTINS                                                                                 ";"1";"2";"0";"3"
"170650 DARCINOPOLIS                                                                                        ";"3";"1";"3";"7"
"170700 DIANOPOLIS                                                                                          ";"5";"4";"5";"14"
"170710 DIVINOPOLIS DO TOCANTINS                                                                            ";"2";"2";"2";"6"
"170720 DOIS IRMAOS DO TOCANTINS                                                                            ";"2";"2";"1";"5"
"170730 DUERE                                                                                               ";"0";"3";"3";"6"
"170740 ESPERANTINA                                                                                         ";"1";"5";"2";"8"
"170755 FATIMA                                                                                              ";"0";"1";"0";"1"
"170765 FIGUEIROPOLIS                                                                                       ";"1";"2";"2";"5"
"170770 FILADELFIA                                                                                          ";"2";"4";"5";"11"
"170820 FORMOSO DO ARAGUAIA                                                                                 ";"5";"3";"8";"16"
"170825 FORTALEZA DO TABOCAO                                                                                ";"0";"1";"1";"2"
"170830 GOIANORTE                                                                                           ";"2";"0";"3";"5"
