"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"110001 Alta Floresta D'Oeste";-;1;-;-;-;-;-;-;-;-;-;-;1
"110037 Alto Alegre dos Parecis";-;-;-;1;-;-;-;-;-;-;-;-;1
"110002 Ariquemes";1;1;1;1;-;-;1;-;-;-;-;-;5
"110045 Buritis";-;-;-;2;2;-;-;1;-;-;-;-;5
"110060 Cacaulândia";-;-;1;-;-;-;-;-;-;-;-;-;1
"110004 Cacoal";-;-;1;-;-;-;2;-;-;2;-;-;5
"110080 Candeias do Jamari";1;1;-;-;1;-;-;-;-;-;-;-;3
"110006 Colorado do Oeste";-;-;-;1;-;-;-;-;-;-;-;-;1
"110009 Espigão D'Oeste";-;-;-;-;-;-;-;-;-;1;-;1;2
"110010 Guajará-Mirim";-;-;-;-;-;-;1;-;-;-;-;-;1
"110011 Jaru";1;1;-;-;-;-;-;-;-;-;-;-;2
"110013 Machadinho D'Oeste";1;-;-;-;-;-;-;-;-;-;-;-;1
"110014 Nova Brasilândia D'Oeste";-;-;1;-;-;-;1;-;-;-;-;1;3
"110033 Nova Mamoré";-;-;-;1;-;-;-;-;-;-;-;-;1
"110050 Novo Horizonte do Oeste";-;1;-;-;-;-;-;-;-;-;-;-;1
"110015 Ouro Preto do Oeste";-;-;-;-;-;-;-;1;-;-;-;-;1
"110018 Pimenta Bueno";-;-;-;1;1;-;-;-;1;-;-;-;3
"110020 Porto Velho";2;2;2;4;4;4;4;6;1;2;2;2;35
"110025 Presidente Médici";-;-;-;-;1;-;-;-;-;-;-;-;1
"110028 Rolim de Moura";-;-;-;-;1;-;1;-;-;-;2;1;5
"110029 Santa Luzia D'Oeste";-;-;-;-;-;-;-;-;-;1;-;-;1
"110149 São Francisco do Guaporé";-;-;-;-;-;-;-;1;-;-;-;-;1
"110032 São Miguel do Guaporé";-;-;-;-;-;1;-;-;-;-;-;-;1
"110155 Teixeirópolis";-;-;-;-;-;-;-;1;-;-;-;-;1
"110030 Vilhena";-;-;1;-;-;-;-;-;1;-;-;-;2
"120005 Assis Brasil";-;-;-;-;-;-;-;-;-;-;-;1;1
"120013 Bujari";-;-;-;-;-;-;-;-;-;-;1;1;2
"120020 Cruzeiro do Sul";-;-;1;-;-;2;-;-;1;-;2;-;6
"120025 Epitaciolândia";-;1;-;-;-;-;-;-;1;-;-;-;2
