"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"110001 Alta Floresta D'Oeste";-;1;-;1;-;-;-;-;-;-;-;1;3
"110037 Alto Alegre dos Parecis";-;-;-;-;-;1;-;-;-;-;-;-;1
"110040 Alto Paraíso";-;-;1;-;-;-;-;-;-;-;-;-;1
"110002 Ariquemes";-;1;2;-;-;-;1;1;2;-;2;1;10
"110045 Buritis";-;-;-;-;-;-;-;-;1;-;-;-;1
"110060 Cacaulândia";-;-;-;-;-;-;-;-;-;-;-;1;1
"110004 Cacoal";-;-;-;1;-;1;-;1;1;1;-;-;5
"110070 Campo Novo de Rondônia";-;-;1;-;-;-;-;1;-;-;-;-;2
"110080 Candeias do Jamari";-;-;1;1;-;-;-;-;-;-;-;-;2
"110005 Cerejeiras";-;-;-;-;-;-;-;1;-;-;-;-;1
"110092 Chupinguaia";-;-;-;-;-;-;-;-;-;1;-;-;1
"110006 Colorado do Oeste";-;-;-;1;1;-;-;-;-;-;-;-;2
"110094 Cujubim";-;-;-;-;-;1;-;-;-;-;-;-;1
"110009 Espigão D'Oeste";-;-;-;-;1;1;-;-;1;-;-;-;3
"110010 Guajará-Mirim";-;-;-;-;-;-;1;1;-;1;-;1;4
"110011 Jaru";-;1;-;-;-;1;-;-;1;2;-;-;5
"110012 Ji-Paraná";-;-;-;1;-;1;-;2;-;-;1;-;5
"110013 Machadinho D'Oeste";-;-;-;-;-;1;-;-;-;-;-;-;1
"110130 Mirante da Serra";1;-;-;-;-;-;-;-;-;-;-;-;1
"110140 Monte Negro";-;1;-;-;-;-;-;-;-;-;-;-;1
"110014 Nova Brasilândia D'Oeste";-;-;-;-;-;-;-;-;-;-;1;-;1
"110033 Nova Mamoré";-;2;-;-;-;-;-;-;-;-;-;-;2
"110050 Novo Horizonte do Oeste";-;1;-;-;-;-;-;-;-;1;-;-;2
"110015 Ouro Preto do Oeste";-;1;-;1;-;-;-;-;-;-;1;-;3
"110018 Pimenta Bueno";-;2;1;-;-;1;-;-;1;-;-;-;5
"110020 Porto Velho";2;3;3;4;1;-;1;2;3;5;3;5;32
"110025 Presidente Médici";-;-;-;-;-;-;-;1;-;-;-;-;1
"110028 Rolim de Moura";-;-;-;1;1;-;-;-;1;1;1;1;6
"110149 São Francisco do Guaporé";-;-;-;-;-;1;-;-;-;-;-;-;1
"110032 São Miguel do Guaporé";-;-;-;-;-;1;-;-;-;-;-;-;1
"110155 Teixeirópolis";-;-;-;-;-;-;-;-;-;-;1;-;1
"110160 Theobroma";-;-;-;-;-;-;-;-;-;-;-;1;1
"110170 Urupá";-;-;1;-;-;-;-;-;-;-;-;-;1
"110030 Vilhena";-;-;-;1;-;-;-;-;4;-;-;-;5
"120013 Bujari";-;-;-;-;-;-;-;-;-;-;1;1;2
"120020 Cruzeiro do Sul";-;1;-;1;-;2;1;-;-;1;-;-;6
"120025 Epitaciolândia";-;-;-;-;-;1;-;-;-;-;1;-;2
"120030 Feijó";-;-;1;2;-;-;-;-;-;-;1;-;4
"120033 Mâncio Lima";-;-;-;-;-;-;-;-;-;-;-;1;1
"120034 Manoel Urbano";-;1;1;-;-;-;-;-;-;1;-;2;5
"120080 Porto Acre";-;-;-;-;-;-;-;-;1;-;-;-;1
"120040 Rio Branco";1;4;2;1;2;1;5;1;6;3;3;2;31
"120050 Sena Madureira";-;-;2;-;-;-;-;1;-;-;-;1;4
"120060 Tarauacá";-;-;1;-;-;-;-;1;1;-;-;1;4
"120070 Xapuri";1;-;-;-;-;-;-;1;-;1;1;-;4
"130002 Alvarães";1;-;-;-;-;-;-;-;-;-;-;-;1
"130006 Amaturá";-;1;-;1;1;-;-;-;-;1;-;-;4
"130014 Apuí";-;-;-;-;-;1;-;1;-;-;-;-;2
"130020 Atalaia do Norte";-;-;-;-;-;1;-;-;-;-;2;1;4
"130040 Barcelos";-;-;-;-;1;-;-;1;-;-;-;-;2
