"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"110001 Alta Floresta D'Oeste";-;-;-;-;-;1;-;-;-;-;2;-;3
"110034 Alvorada D'Oeste";-;-;-;-;-;-;-;-;-;-;1;-;1
"110002 Ariquemes";-;-;1;1;-;-;-;1;1;1;-;-;5
"110045 Buritis";-;-;-;-;-;1;-;-;-;-;-;-;1
"110003 Cabixi";-;-;-;-;-;-;-;1;-;-;1;-;2
"110004 Cacoal";1;-;1;1;-;-;-;1;1;1;-;-;6
"110070 Campo Novo de Rondônia";1;-;-;-;-;-;-;-;-;-;-;-;1
"110080 Candeias do Jamari";2;-;-;-;-;1;1;-;-;1;-;-;5
"110005 Cerejeiras";-;1;1;-;-;-;-;-;-;-;-;-;2
"110006 Colorado do Oeste";-;-;-;-;-;1;-;1;-;-;-;-;2
"110008 Costa Marques";-;-;-;-;-;-;1;-;-;-;-;-;1
"110010 Guajará-Mirim";-;2;-;-;-;-;1;3;1;1;-;2;10
"110110 Itapuã do Oeste";1;-;-;-;-;-;-;-;-;-;-;-;1
"110011 Jaru";-;-;-;-;-;1;-;-;1;-;-;-;2
"110012 Ji-Paraná";-;-;-;-;-;-;-;1;-;-;-;-;1
"110120 Ministro Andreazza";-;1;-;-;-;-;-;-;-;1;-;-;2
"110033 Nova Mamoré";-;-;1;-;-;-;-;1;-;-;-;1;3
"110018 Pimenta Bueno";-;-;-;-;-;-;1;-;-;-;-;-;1
"110146 Pimenteiras do Oeste";-;1;-;-;-;-;-;-;-;-;-;-;1
"110020 Porto Velho";6;2;2;5;5;1;4;4;2;4;5;1;41
"110028 Rolim de Moura";2;2;-;-;-;1;-;-;-;-;-;-;5
"110029 Santa Luzia D'Oeste";-;-;-;-;-;1;1;-;-;-;-;-;2
"110148 São Felipe D'Oeste";-;-;-;-;-;-;-;-;1;-;1;-;2
"110032 São Miguel do Guaporé";-;-;1;-;-;-;-;-;-;-;-;-;1
"110150 Seringueiras";-;-;-;1;-;-;-;-;-;-;-;1;2
"110160 Theobroma";-;1;-;-;-;-;-;-;1;-;-;-;2
"110030 Vilhena";-;-;1;-;-;-;-;2;-;1;-;-;4
"120010 Brasiléia";-;-;1;-;-;-;-;-;-;-;-;-;1
"120013 Bujari";-;1;-;-;-;-;-;-;-;-;-;-;1
"120020 Cruzeiro do Sul";-;-;-;1;-;-;-;1;-;-;-;-;2
"120025 Epitaciolândia";-;1;-;-;-;-;-;-;-;-;-;-;1
"120030 Feijó";1;2;-;1;1;-;-;1;-;-;-;-;6
"120032 Jordão";-;1;-;-;-;-;-;-;-;-;-;-;1
"120033 Mâncio Lima";-;-;-;-;-;-;-;-;-;1;-;-;1
"120034 Manoel Urbano";-;-;-;-;-;-;-;-;-;-;-;2;2
"120038 Plácido de Castro";-;-;1;-;-;-;-;-;-;-;-;-;1
