"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"110001 Alta Floresta D'Oeste";-;-;-;-;-;-;1;-;-;-;-;1;2
"110037 Alto Alegre dos Parecis";-;-;-;-;-;-;2;1;-;-;-;-;3
"110040 Alto Paraíso";-;-;-;1;-;-;-;-;-;-;-;-;1
"110002 Ariquemes";-;-;-;-;1;-;1;-;-;-;-;-;2
"110045 Buritis";2;-;-;-;-;-;-;-;-;-;-;-;2
"110003 Cabixi";-;-;-;-;-;1;-;-;-;-;-;-;1
"110004 Cacoal";1;1;1;-;-;1;-;-;-;1;-;1;6
"110080 Candeias do Jamari";-;-;-;1;-;-;-;-;-;-;-;-;1
"110090 Castanheiras";-;-;-;-;-;-;1;-;-;-;-;-;1
"110008 Costa Marques";1;-;-;-;-;-;-;-;-;-;-;1;2
"110009 Espigão D'Oeste";-;-;-;-;-;-;-;-;-;-;-;2;2
"110010 Guajará-Mirim";-;-;-;-;-;-;-;-;-;2;-;1;3
"110012 Ji-Paraná";1;1;-;1;3;1;-;1;2;-;-;-;10
"110013 Machadinho D'Oeste";-;1;-;1;-;-;-;1;2;1;-;-;6
"110130 Mirante da Serra";-;-;1;-;-;-;-;-;-;-;-;-;1
"110140 Monte Negro";-;-;1;-;-;-;-;-;-;-;-;-;1
"110015 Ouro Preto do Oeste";-;1;1;-;-;-;-;-;-;-;2;-;4
"110018 Pimenta Bueno";-;-;-;-;-;-;-;2;-;1;-;-;3
"110020 Porto Velho";2;1;3;2;2;2;2;-;3;1;1;2;21
"110028 Rolim de Moura";-;-;2;-;1;-;1;-;1;1;-;-;6
"110148 São Felipe D'Oeste";-;-;-;-;-;-;-;-;-;1;-;-;1
"110032 São Miguel do Guaporé";-;-;-;-;1;1;-;-;-;-;-;-;2
"110150 Seringueiras";-;-;-;-;-;-;-;1;-;-;-;-;1
"110170 Urupá";-;-;-;-;-;-;-;-;-;-;1;-;1
"110030 Vilhena";-;-;-;-;-;-;-;-;-;-;1;1;2
"120020 Cruzeiro do Sul";-;2;-;-;1;1;-;1;-;1;1;-;7
"120039 Porto Walter";-;-;-;-;-;1;-;-;-;-;-;-;1
"120040 Rio Branco";1;1;2;5;-;2;-;2;-;2;2;3;20
"120050 Sena Madureira";-;1;-;-;-;-;-;-;-;-;-;-;1
"120060 Tarauacá";-;-;1;-;-;-;-;-;1;-;-;-;2
"130006 Amaturá";-;-;-;-;-;-;-;-;-;-;-;1;1
"130010 Anori";1;-;-;-;-;-;-;-;-;-;-;-;1
"130020 Atalaia do Norte";-;-;-;-;1;-;-;-;-;-;-;-;1
"130030 Autazes";1;-;-;-;-;-;-;-;-;-;-;-;1
"130040 Barcelos";-;-;-;-;-;1;1;-;-;-;-;-;2
"130060 Benjamin Constant";-;-;-;-;-;1;-;-;-;-;2;-;3
"130070 Boca do Acre";-;-;-;-;-;1;-;-;-;-;-;-;1
"130080 Borba";-;-;-;-;-;-;-;-;1;-;-;-;1
"130100 Carauari";-;-;-;-;-;-;-;-;-;-;-;1;1
"130115 Careiro da Várzea";-;-;-;-;-;-;-;-;-;-;-;1;1
"130120 Coari";-;-;1;-;-;-;1;-;-;-;-;-;2
"130140 Eirunepé";-;-;-;1;-;-;-;-;-;-;-;-;1
"130180 Ipixuna";-;-;-;-;-;-;-;-;1;-;-;-;1
"130185 Iranduba";-;-;-;-;1;-;-;-;-;-;-;-;1
"130190 Itacoatiara";-;-;-;1;-;-;-;-;-;-;-;-;1
"130195 Itamarati";-;-;-;-;-;-;-;1;-;-;-;-;1
"130240 Lábrea";-;-;-;-;-;-;-;-;-;-;-;1;1
"130250 Manacapuru";-;1;-;-;-;-;-;-;-;-;2;-;3
"130255 Manaquiri";-;-;-;-;-;-;-;1;-;-;-;-;1
"130260 Manaus";2;5;8;4;6;7;6;7;6;4;7;6;68
"130290 Maués";-;-;1;1;-;-;-;-;-;-;-;-;2
"130340 Parintins";-;1;-;-;1;1;-;-;-;-;2;-;5
"130353 Presidente Figueiredo";1;-;-;-;-;1;-;-;-;-;-;-;2
"130356 Rio Preto da Eva";-;-;-;-;1;-;1;-;-;-;-;-;2
"130360 Santa Isabel do Rio Negro";1;-;2;1;2;-;-;1;-;-;-;2;9
"130370 Santo Antônio do Içá";-;-;-;-;1;-;-;-;-;-;-;-;1
"130380 São Gabriel da Cachoeira";2;2;1;-;1;-;1;2;-;-;-;1;10
"130390 São Paulo de Olivença";-;-;-;-;1;1;1;-;-;-;-;-;3
"130406 Tabatinga";1;-;2;2;4;2;2;2;2;-;1;1;19
"130410 Tapauá";-;-;-;-;-;-;-;-;-;-;-;1;1
"130420 Tefé";-;1;-;1;-;-;1;-;-;-;1;1;5
"140005 Alto Alegre";-;-;-;-;1;-;-;-;-;1;-;-;2
"140002 Amajari";-;-;-;-;1;-;-;1;-;-;-;-;2
"140010 Boa Vista";1;-;3;2;2;3;1;3;1;2;2;-;20
"140017 Cantá";-;1;-;1;-;-;-;-;1;1;-;-;4
"140020 Caracaraí";-;-;-;-;-;-;1;-;-;-;-;-;1
"140023 Caroebe";-;-;-;-;-;-;-;1;-;-;-;-;1
"140030 Mucajaí";-;-;-;-;-;-;-;-;-;1;-;-;1
"140047 Rorainópolis";-;1;-;-;-;-;-;-;-;-;-;-;1
"150010 Abaetetuba";-;1;1;-;-;2;-;-;-;-;-;-;4
"150030 Afuá";-;1;-;-;-;-;-;-;-;-;1;-;2
"150034 Água Azul do Norte";1;-;-;-;-;-;-;-;-;-;-;-;1
"150040 Alenquer";-;-;-;-;-;1;-;-;-;-;-;-;1
"150050 Almeirim";-;-;1;-;-;-;-;-;-;-;-;1;2
"150060 Altamira";-;1;-;1;-;-;2;-;1;-;-;-;5
"150080 Ananindeua";1;-;1;-;1;1;1;2;1;-;-;-;8
"150085 Anapu";1;-;-;-;-;-;-;-;-;-;-;-;1
"150095 Aurora do Pará";-;-;-;-;1;-;-;-;-;-;-;-;1
"150130 Barcarena";-;-;-;-;1;-;-;-;1;-;-;1;3
"150140 Belém";3;1;3;4;4;-;3;-;2;-;3;-;23
"150150 Benevides";1;-;-;-;-;-;-;-;1;-;-;1;3
"150157 Bom Jesus do Tocantins";-;-;-;-;-;1;-;-;-;-;-;-;1
"150180 Breves";-;-;-;-;-;-;-;1;-;-;-;-;1
"150200 Cachoeira do Arari";-;-;-;-;-;-;1;-;-;-;-;-;1
"150210 Cametá";-;-;1;-;-;-;-;2;-;1;-;1;5
"150220 Capanema";-;-;-;-;1;-;-;-;-;-;-;-;1
"150230 Capitão Poço";-;-;-;-;-;-;-;1;-;-;-;-;1
"150240 Castanhal";1;-;-;-;1;-;1;1;-;-;-;1;5
"150250 Chaves";1;-;-;-;-;-;-;-;-;-;-;-;1
"150270 Conceição do Araguaia";-;-;-;1;-;-;-;-;-;-;1;-;2
"150277 Curionópolis";1;-;-;-;-;-;1;-;-;-;-;-;2
"150290 Curuçá";-;-;-;-;-;-;1;-;-;-;-;-;1
"150293 Dom Eliseu";-;-;-;-;-;-;-;-;-;1;-;-;1
"150309 Goianésia do Pará";-;-;-;-;-;-;-;-;-;1;-;1;2
"150320 Igarapé-Açu";-;-;-;-;-;-;-;-;-;1;-;-;1
"150345 Ipixuna do Pará";-;-;-;-;-;-;1;-;-;-;-;-;1
"150350 Irituia";-;-;-;-;-;-;-;-;-;1;-;-;1
"150360 Itaituba";-;-;2;-;1;-;1;2;1;-;-;-;7
"150370 Itupiranga";-;-;-;-;-;-;-;-;-;1;-;-;1
"150380 Jacundá";-;-;-;-;-;-;1;-;-;-;-;-;1
"150405 Mãe do Rio";-;-;1;-;-;-;-;-;-;-;-;-;1
"150420 Marabá";-;1;1;4;-;1;1;2;3;-;-;1;14
"150442 Marituba";1;1;-;-;-;1;-;-;1;-;-;-;4
