"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"150140 Belém";3;2;6;5;2;-;5;4;3;1;5;3;39
"150150 Benevides";1;-;-;-;-;-;-;-;1;-;-;-;2
"150157 Bom Jesus do Tocantins";-;-;-;-;-;-;-;1;-;-;-;-;1
"150170 Bragança";-;-;-;-;-;-;-;-;-;-;-;1;1
"150175 Brejo Grande do Araguaia";-;-;-;-;-;-;-;-;-;1;-;-;1
"150178 Breu Branco";-;-;-;-;-;-;-;-;1;-;1;-;2
"150180 Breves";-;1;-;-;-;-;-;-;1;-;-;-;2
"150200 Cachoeira do Arari";-;-;-;-;-;-;1;-;-;-;-;-;1
"150210 Cametá";-;-;1;2;-;-;-;1;-;-;-;1;5
"150230 Capitão Poço";-;-;-;1;-;1;-;-;-;-;1;-;3
"150240 Castanhal";-;3;-;-;-;-;-;-;-;-;1;1;5
"150276 Cumaru do Norte";-;-;1;-;-;-;-;-;-;-;1;-;2
"150277 Curionópolis";-;-;2;-;-;-;-;-;-;-;-;-;2
"150290 Curuçá";-;-;-;-;-;-;-;-;-;1;-;-;1
"150293 Dom Eliseu";-;-;1;-;-;-;-;-;-;-;-;-;1
"150295 Eldorado do Carajás";-;-;-;-;1;-;1;-;-;-;-;-;2
"150304 Floresta do Araguaia";-;-;1;1;-;-;-;-;-;-;-;-;2
"150310 Gurupá";-;-;-;-;1;-;-;-;-;-;-;-;1
"150320 Igarapé-Açu";-;-;1;-;-;-;-;-;-;-;-;-;1
"150340 Inhangapi";-;1;-;-;1;-;-;-;-;-;-;-;2
"150345 Ipixuna do Pará";-;-;-;-;-;-;-;-;-;-;1;-;1
"150360 Itaituba";-;-;2;-;-;-;1;-;1;2;1;1;8
"150370 Itupiranga";-;-;1;-;-;-;-;-;-;-;-;-;1
"150380 Jacundá";-;-;-;-;-;-;1;-;-;-;-;-;1
"150420 Marabá";-;-;4;-;-;2;-;-;1;-;-;-;7
"150442 Marituba";-;-;-;-;-;-;1;-;-;-;-;-;1
"150470 Moju";-;-;1;-;1;1;-;1;-;-;-;-;4
"150480 Monte Alegre";-;-;-;-;1;-;1;-;-;1;-;-;3
"150495 Nova Esperança do Piriá";-;-;-;-;-;-;-;-;1;-;-;-;1
"150506 Novo Repartimento";-;-;1;1;-;-;-;-;1;-;-;-;3
"150520 Oeiras do Pará";-;1;-;-;-;-;-;-;-;-;-;-;1
"150530 Oriximiná";-;-;-;1;-;-;-;-;-;-;1;-;2
"150543 Ourilândia do Norte";-;-;-;-;-;-;-;-;-;-;1;-;1
"150549 Palestina do Pará";-;-;-;-;-;1;1;-;-;-;-;-;2
"150550 Paragominas";-;-;-;-;-;-;-;-;-;1;-;-;1
"150553 Parauapebas";-;1;-;-;-;-;1;-;-;-;-;2;4
"150580 Portel";-;-;-;-;-;-;-;-;1;1;-;-;2
"150600 Prainha";-;-;-;-;-;-;-;1;-;-;-;-;1
"150610 Primavera";-;-;-;-;-;-;1;-;-;-;-;-;1
"150616 Rio Maria";-;-;-;-;-;-;1;-;-;-;-;2;3
"150618 Rondon do Pará";-;1;-;-;-;-;-;-;-;-;1;-;2
"150619 Rurópolis";-;-;-;-;-;-;-;-;-;-;1;-;1
"150635 Santa Bárbara do Pará";-;-;-;-;-;-;-;-;-;1;-;-;1
"150650 Santa Izabel do Pará";1;-;-;-;-;-;-;-;-;-;-;-;1
"150655 Santa Luzia do Pará";-;-;-;-;-;-;-;-;1;-;-;-;1
"150660 Santa Maria do Pará";-;-;1;-;1;-;-;-;-;-;-;-;2
"150670 Santana do Araguaia";-;-;-;1;1;-;-;-;-;-;-;-;2
"150680 Santarém";-;-;-;-;-;-;-;-;-;2;-;-;2
"150700 Santo Antônio do Tauá";-;-;-;-;1;-;1;-;-;-;-;-;2
"150710 São Caetano de Odivelas";-;-;-;-;-;-;-;-;-;-;2;-;2
"150720 São Domingos do Capim";-;-;1;-;-;-;-;-;-;-;1;-;2
"150730 São Félix do Xingu";-;1;3;1;-;1;-;-;-;-;-;-;6
"150740 São Francisco do Pará";-;-;1;-;-;-;-;-;-;-;-;-;1
"150745 São Geraldo do Araguaia";1;-;-;-;-;-;-;-;-;-;-;-;1
"150795 Tailândia";1;-;-;-;-;-;1;-;-;-;-;-;2
"150800 Tomé-Açu";-;1;-;-;-;-;-;-;-;-;-;-;1
"150808 Tucumã";-;-;-;-;-;-;-;-;-;1;-;-;1
"150810 Tucuruí";-;-;-;-;1;-;-;2;-;-;1;-;4
"150820 Vigia";-;-;1;-;-;-;-;-;-;1;-;-;2
"150840 Xinguara";-;-;-;-;1;-;-;-;-;-;-;1;2
"150000 Município ignorado - PA";-;-;-;-;-;-;-;1;-;-;-;-;1
"160010 Amapá";-;-;-;-;-;-;1;-;1;-;-;-;2
"160020 Calçoene";-;-;-;1;-;-;1;-;-;-;-;-;2
"160027 Laranjal do Jari";-;-;1;-;-;-;-;-;-;-;-;-;1
"160030 Macapá";6;-;1;1;-;1;-;2;1;2;3;2;19
"160050 Oiapoque";1;-;-;-;-;-;1;-;-;-;-;-;2
"160060 Santana";1;1;-;-;-;-;1;-;-;-;1;-;4
"170035 Aliança do Tocantins";-;-;-;-;-;1;1;-;-;-;-;-;2
"170200 Araguaçu";-;-;-;1;-;-;-;-;-;1;-;-;2
"170210 Araguaína";1;-;1;-;1;-;-;1;2;-;3;1;10
"170255 Augustinópolis";-;-;1;-;-;-;-;-;-;-;-;-;1
"170270 Aurora do Tocantins";-;-;-;-;-;-;1;-;-;-;-;-;1
"170310 Barrolândia";1;-;-;-;-;-;-;-;-;-;-;-;1
"170384 Campos Lindos";-;-;1;-;-;-;-;-;-;-;-;-;1
"170386 Cariri do Tocantins";-;-;-;-;-;-;-;-;-;-;-;1;1
"170388 Carmolândia";1;-;-;-;-;-;-;-;-;-;-;-;1
"170550 Colinas do Tocantins";-;-;-;1;-;-;-;-;1;-;-;-;2
"171670 Colméia";-;-;-;-;-;-;1;-;-;-;-;-;1
"170610 Cristalândia";-;-;1;-;-;-;-;-;-;-;-;-;1
"170650 Darcinópolis";-;-;-;-;-;-;-;-;1;-;-;-;1
"170700 Dianópolis";-;1;-;-;-;-;-;1;-;-;-;1;3
"170720 Dois Irmãos do Tocantins";-;-;-;-;-;-;-;-;-;1;-;-;1
"170765 Figueirópolis";-;-;-;-;-;1;1;-;-;-;-;-;2
"170820 Formoso do Araguaia";-;-;-;-;-;-;-;-;-;1;-;1;2
"170930 Guaraí";-;-;-;-;-;1;-;1;-;-;-;-;2
"170950 Gurupi";-;1;-;3;-;1;-;-;-;-;-;-;5
"171050 Itacajá";-;-;-;-;-;-;-;-;-;-;-;1;1
"171070 Itaguatins";-;-;-;-;-;-;1;-;1;-;-;-;2
"171200 Lajeado";-;-;-;-;-;-;-;-;-;-;1;-;1
"171270 Mateiros";-;1;-;-;-;-;-;-;-;-;-;-;1
"171330 Miranorte";-;-;-;-;-;1;-;-;-;-;-;-;1
"171420 Natividade";-;-;-;1;-;-;-;-;-;-;-;-;1
"171500 Nova Rosalândia";-;-;1;-;-;-;-;-;-;-;-;-;1
"171515 Novo Alegre";-;-;-;-;-;-;-;1;-;-;-;-;1
"171525 Novo Jardim";-;-;-;-;1;-;-;-;-;-;-;-;1
"172100 Palmas";1;1;1;2;1;1;1;1;1;3;1;-;14
"171380 Palmeiras do Tocantins";-;-;-;-;-;-;-;-;-;-;1;-;1
"171610 Paraíso do Tocantins";1;-;-;1;-;-;-;1;-;-;-;-;3
"171620 Paranã";-;1;-;-;-;-;-;-;-;-;-;-;1
"171700 Pindorama do Tocantins";-;-;-;-;-;-;-;1;-;-;-;-;1
"171750 Pium";-;-;-;-;-;-;1;-;-;-;1;-;2
"171790 Ponte Alta do Tocantins";-;-;-;-;-;-;-;1;-;-;-;-;1
"171820 Porto Nacional";-;1;-;-;-;1;1;-;-;-;-;-;3
"171845 Pugmil";-;1;-;-;-;-;-;-;-;-;-;-;1
"171870 Rio dos Bois";1;-;-;-;-;-;-;-;-;-;-;-;1
"171880 Sampaio";-;1;-;-;-;-;-;-;-;-;-;-;1
"171900 Santa Tereza do Tocantins";-;-;-;-;-;-;1;-;-;-;-;-;1
"172000 Santa Terezinha do Tocantins";-;-;-;-;-;-;-;-;-;-;1;-;1
"172030 São Sebastião do Tocantins";-;-;-;-;1;-;-;-;-;-;-;-;1
"172049 São Valério";-;-;-;-;-;-;-;-;1;-;-;-;1
"172090 Taguatinga";-;-;-;-;-;-;-;-;1;-;-;-;1
"172110 Tocantínia";-;1;-;-;-;-;-;-;-;-;-;-;1
"172120 Tocantinópolis";-;-;-;-;1;-;-;-;-;-;-;-;1
"172208 Wanderlândia";-;-;-;-;-;-;-;-;-;-;-;1;1
"210005 Açailândia";-;1;-;-;1;1;-;-;-;-;-;-;3
"210050 Alto Parnaíba";-;1;-;-;-;-;-;-;-;-;-;-;1
"210060 Amarante do Maranhão";1;-;-;-;-;-;-;-;1;-;-;-;2
"210070 Anajatuba";-;-;-;-;-;-;-;-;1;-;-;-;1
"210080 Anapurus";-;-;-;-;1;-;-;-;-;-;-;-;1
"210083 Apicum-Açu";1;-;-;-;-;-;-;-;-;-;-;-;1
"210087 Araguanã";-;1;-;-;-;-;-;-;-;-;-;-;1
"210090 Araioses";-;-;-;-;-;1;-;-;-;-;-;-;1
"210095 Arame";-;-;-;-;-;1;-;-;-;-;1;-;2
"210100 Arari";-;-;-;-;-;-;-;-;-;2;-;-;2
"210120 Bacabal";-;-;1;-;1;1;1;2;-;-;-;2;8
"210140 Balsas";-;1;-;-;-;-;-;1;-;-;-;1;3
"210160 Barra do Corda";-;-;-;1;1;1;-;-;-;-;1;1;5
"210193 Bernardo do Mearim";1;-;-;-;-;-;-;-;-;-;-;-;1
"210203 Bom Jesus das Selvas";-;-;-;-;-;-;-;-;-;1;-;-;1
"210210 Brejo";-;-;-;-;-;-;1;-;-;-;-;-;1
"210215 Brejo de Areia";-;1;-;-;-;-;-;-;-;-;-;-;1
"210230 Buriti Bravo";-;-;1;1;-;-;-;-;-;-;-;-;2
"210232 Buriticupu";-;-;-;-;-;-;-;-;1;-;-;-;1
"210250 Cajari";-;-;-;-;-;-;-;-;-;1;-;-;1
"210280 Carolina";-;-;-;1;-;-;-;-;-;-;-;-;1
"210300 Caxias";1;-;-;1;-;1;-;-;-;2;1;2;8
"210317 Centro Novo do Maranhão";-;-;-;-;1;-;-;-;-;1;-;-;2
"210320 Chapadinha";-;-;-;-;-;-;-;-;-;1;-;1;2
"210330 Codó";-;1;-;-;1;-;1;-;-;2;-;1;6
"210340 Coelho Neto";-;1;1;-;-;-;-;1;-;-;1;-;4
"210350 Colinas";-;1;-;1;1;-;-;-;-;-;-;-;3
"210360 Coroatá";-;-;-;-;-;-;-;-;-;-;-;1;1
"210375 Davinópolis";-;-;1;-;1;-;-;-;-;-;-;-;2
"210380 Dom Pedro";-;-;-;-;-;-;-;-;-;-;1;-;1
"210400 Esperantinópolis";-;-;-;-;-;-;1;-;-;-;-;-;1
"210405 Estreito";-;-;1;-;-;-;-;-;-;-;-;-;1
"210420 Fortuna";-;-;-;-;-;1;-;-;-;-;-;-;1
"210460 Governador Eugênio Barros";1;-;-;-;-;-;-;-;-;-;-;-;1
"210480 Grajaú";1;-;-;-;1;-;-;-;-;1;-;-;3
"210515 Igarapé do Meio";-;-;-;-;-;-;-;-;-;-;1;-;1
"210520 Igarapé Grande";-;-;-;-;-;-;1;-;-;-;-;-;1
"210530 Imperatriz";-;-;-;3;1;1;2;1;-;1;-;1;10
"210540 Itapecuru Mirim";-;-;-;1;-;-;-;1;-;-;-;-;2
"210542 Itinga do Maranhão";-;-;-;-;-;-;-;-;-;-;1;-;1
"210547 Jenipapo dos Vieiras";-;-;-;-;-;-;-;-;-;-;1;-;1
"210560 Joselândia";1;-;-;-;-;-;-;-;-;-;-;-;1
"210570 Lago da Pedra";2;-;1;1;-;-;-;-;1;-;-;-;5
"210590 Lago Verde";-;-;-;-;-;-;-;1;-;-;-;-;1
"210598 Lajeado Novo";-;-;1;-;-;-;-;-;-;-;-;-;1
"210620 Luís Domingues";-;-;-;1;-;-;-;-;-;-;-;-;1
"210630 Magalhães de Almeida";-;-;-;-;1;-;-;-;-;-;-;-;1
"210637 Maranhãozinho";-;-;-;-;1;-;-;-;-;-;-;-;1
"210660 Matões";-;-;-;-;-;-;-;1;-;-;-;-;1
"210670 Mirador";-;-;-;-;-;1;-;-;-;-;-;-;1
"210675 Miranda do Norte";-;-;1;-;-;-;1;-;-;-;-;-;2
"210720 Nina Rodrigues";-;-;-;-;-;-;-;-;-;-;-;1;1
"210750 Paço do Lumiar";1;1;1;1;1;-;-;-;-;-;-;1;6
"210770 Paraibano";-;-;-;-;-;-;-;-;-;-;1;-;1
"210780 Parnarama";-;-;-;-;-;-;-;-;-;1;1;-;2
"210790 Passagem Franca";-;-;-;-;1;-;-;-;-;-;-;-;1
"210810 Paulo Ramos";-;-;-;-;1;-;-;-;-;-;-;-;1
"210820 Pedreiras";-;-;2;-;-;-;-;-;-;-;-;1;3
"210840 Peri Mirim";-;-;-;-;-;-;-;-;-;-;1;-;1
"210860 Pinheiro";-;-;-;-;-;-;-;-;-;1;-;1;2
"210890 Poção de Pedras";-;-;-;-;-;-;-;-;-;-;1;-;1
"210900 Porto Franco";-;-;-;-;-;-;1;-;-;-;-;-;1
"210910 Presidente Dutra";-;-;-;-;-;-;-;-;-;-;1;-;1
"210960 Rosário";-;-;-;-;-;-;-;-;-;1;-;-;1
"210970 Sambaíba";-;-;-;-;-;-;1;-;-;-;-;-;1
"210980 Santa Helena";-;-;-;-;-;-;-;1;-;-;-;-;1
"210990 Santa Inês";-;-;-;-;-;-;-;1;1;-;-;1;3
"211000 Santa Luzia";-;-;1;-;-;-;-;-;-;-;-;-;1
"211020 Santa Rita";-;-;1;-;-;-;-;-;-;-;-;-;1
"211023 Santana do Maranhão";-;-;-;-;-;-;-;-;-;-;-;1;1
"211060 São Bernardo";-;-;-;-;-;-;-;-;-;1;-;-;1
"211070 São Domingos do Maranhão";-;-;-;-;-;-;-;-;-;1;-;1;2
"211085 São Francisco do Brejão";-;-;-;-;1;-;-;-;-;-;-;-;1
"211110 São João dos Patos";-;-;-;-;-;-;-;1;-;-;-;-;1
"211120 São José de Ribamar";-;-;-;1;-;-;-;-;-;-;3;-;4
"211125 São José dos Basílios";-;-;-;-;-;1;-;-;-;-;-;-;1
"211130 São Luís";-;3;2;3;3;3;5;3;3;3;2;2;32
"211140 São Luís Gonzaga do Maranhão";-;-;-;-;-;-;-;-;1;-;-;-;1
"211150 São Mateus do Maranhão";-;-;-;-;1;-;1;-;1;1;-;-;4
"211167 São Roberto";-;-;-;-;1;-;-;-;-;-;1;-;2
"211176 Senador La Rocque";-;-;-;-;-;-;-;-;-;-;-;1;1
"211180 Sítio Novo";-;1;-;-;-;-;-;-;-;-;-;-;1
"211190 Sucupira do Norte";-;-;-;1;-;-;-;1;-;-;-;-;2
"211220 Timon";2;-;-;-;-;1;1;1;-;1;1;-;7
"211223 Trizidela do Vale";-;-;-;-;-;-;1;-;-;-;-;-;1
"211230 Tuntum";-;-;1;-;-;-;-;-;-;-;-;-;1
"211240 Turiaçu";-;-;1;-;-;-;1;-;-;-;-;-;2
"211260 Urbano Santos";-;-;-;1;-;-;-;-;-;-;-;-;1
"211270 Vargem Grande";2;-;-;-;1;-;-;-;-;-;-;-;3
"211280 Viana";-;-;-;-;1;-;-;-;-;-;-;-;1
"211285 Vila Nova dos Martírios";-;-;1;-;-;-;-;-;-;-;-;-;1
"210000 Município ignorado - MA";-;-;-;-;-;-;1;-;-;-;-;-;1
"220005 Acauã";-;-;-;-;1;1;-;-;2;-;-;-;4
"220020 Água Branca";-;-;-;-;1;-;-;-;2;-;-;-;3
"220030 Alto Longá";-;-;-;-;-;-;-;-;1;-;-;-;1
"220040 Altos";-;-;-;-;-;-;-;-;1;-;-;-;1
"220050 Amarante";-;-;-;-;-;1;-;-;-;-;1;-;2
"220060 Angical do Piauí";-;-;1;-;-;-;1;-;-;-;-;-;2
"220070 Anísio de Abreu";1;-;-;-;-;-;-;-;-;-;-;-;1
"220080 Antônio Almeida";-;-;-;-;-;-;-;-;-;-;1;-;1
"220100 Arraial";-;-;1;-;-;-;-;-;-;-;-;-;1
"220105 Assunção do Piauí";-;-;-;-;1;-;-;-;1;-;-;-;2
"220110 Avelino Lopes";-;-;-;-;-;-;-;1;-;-;-;-;1
"220120 Barras";-;-;-;-;-;-;-;-;-;1;-;-;1
"220150 Batalha";-;-;1;-;1;-;-;-;-;-;1;-;3
"220157 Belém do Piauí";-;-;-;-;1;-;-;-;-;-;-;-;1
"220160 Beneditinos";-;-;-;-;1;-;-;-;-;-;-;-;1
"220170 Bertolínia";1;-;-;-;-;-;-;-;-;-;-;-;1
"220190 Bom Jesus";1;-;1;-;-;-;-;1;1;-;-;-;4
"220192 Bonfim do Piauí";-;1;-;-;-;-;-;-;-;-;-;-;1
"220196 Brasileira";-;-;-;-;-;-;-;1;-;-;-;-;1
"220198 Brejo do Piauí";-;-;-;1;-;-;-;-;-;-;-;-;1
"220205 Cabeceiras do Piauí";-;-;-;-;1;-;-;-;-;-;-;-;1
"220210 Campinas do Piauí";-;-;-;-;1;-;-;-;-;-;-;-;1
"220213 Campo Grande do Piauí";-;-;-;-;-;-;-;1;-;-;-;-;1
"220220 Campo Maior";1;1;-;-;-;-;-;1;-;-;-;-;3
"220230 Canto do Buriti";-;-;-;1;-;-;-;-;-;-;-;-;1
"220260 Castelo do Piauí";-;-;-;-;-;1;1;-;-;-;-;1;3
"220270 Cocal";1;-;-;1;-;-;-;-;-;1;-;-;3
"220271 Cocal de Telha";-;-;-;-;1;-;-;-;-;-;-;-;1
"220280 Conceição do Canindé";-;-;-;-;-;-;-;-;-;1;-;-;1
"220290 Corrente";-;-;-;-;-;-;-;1;1;-;-;-;2
"220320 Curimatá";-;1;-;-;-;-;-;1;1;-;-;-;3
"220327 Curral Novo do Piauí";-;-;-;-;1;-;-;-;-;-;-;-;1
"220350 Elesbão Veloso";-;-;-;-;-;-;-;-;-;-;1;-;1
"220370 Esperantina";-;1;-;-;-;-;-;-;-;-;-;-;1
"220380 Flores do Piauí";-;-;-;-;-;-;-;-;1;-;-;-;1
"220390 Floriano";-;-;-;-;-;-;-;2;2;-;-;-;4
"220450 Guadalupe";-;-;-;-;-;-;-;-;-;1;-;-;1
"220455 Guaribas";-;-;-;1;-;-;-;1;-;-;-;-;2
"220470 Inhuma";1;-;1;-;-;-;-;-;-;-;1;-;3
"220490 Isaías Coelho";-;1;-;-;-;-;-;-;-;-;-;-;1
"220500 Itainópolis";-;-;-;-;-;-;1;-;-;-;-;-;1
"220510 Itaueira";-;-;-;-;1;1;-;-;-;-;-;-;2
"220515 Jacobina do Piauí";-;-;-;-;1;-;-;-;-;-;-;-;1
"220530 Jerumenha";-;-;-;-;-;-;1;-;-;-;-;-;1
"220550 José de Freitas";2;-;-;-;-;-;-;-;-;-;-;-;2
"220556 Lagoa do Barro do Piauí";-;1;-;-;-;-;-;-;-;-;-;-;1
"220554 Lagoinha do Piauí";-;-;-;-;1;-;-;-;-;-;-;-;1
"220560 Landri Sales";-;-;-;-;-;-;-;-;-;-;-;1;1
"220570 Luís Correia";-;3;-;-;1;-;-;-;1;-;-;-;5
"220580 Luzilândia";1;-;-;-;-;-;-;-;1;-;1;-;3
"220590 Manoel Emídio";-;-;-;1;-;-;-;-;-;-;-;-;1
"220595 Marcolândia";-;1;-;-;-;-;-;-;-;-;-;-;1
"220600 Marcos Parente";-;-;-;-;-;-;-;-;-;1;-;-;1
"220635 Milton Brandão";-;-;-;-;-;-;-;-;-;-;1;-;1
"220660 Monte Alegre do Piauí";-;-;-;-;-;-;-;1;-;-;-;-;1
"220665 Morro Cabeça no Tempo";-;-;-;1;-;-;-;-;-;-;-;-;1
"220667 Morro do Chapéu do Piauí";-;-;-;-;-;1;-;-;-;-;-;-;1
"220795 Nova Santa Rita";1;-;-;-;-;-;-;-;-;-;-;-;1
"220700 Oeiras";-;-;-;1;-;1;-;-;2;-;-;1;5
"220720 Padre Marcos";1;-;-;-;-;1;-;-;-;-;-;-;2
"220770 Parnaíba";1;-;-;1;1;1;-;-;1;-;1;1;7
"220775 Passagem Franca do Piauí";-;-;-;1;-;-;-;-;-;-;-;-;1
"220780 Paulistana";-;-;-;-;1;-;-;-;-;-;-;-;1
"220790 Pedro II";-;-;-;-;-;-;-;-;-;-;1;1;2
"220800 Picos";1;1;1;1;2;-;-;-;1;-;2;1;10
"220820 Pio IX";1;-;-;-;-;-;-;1;-;-;-;-;2
"220840 Piripiri";1;-;-;-;-;-;-;-;-;-;-;-;1
"220915 Santa Cruz dos Milagres";-;-;-;-;-;-;-;-;-;1;-;-;1
"220937 Santa Rosa do Piauí";-;-;-;-;-;-;-;-;-;1;-;-;1
"220940 Santo Antônio de Lisboa";-;-;1;-;-;-;-;-;-;-;-;-;1
"220950 Santo Inácio do Piauí";2;-;-;-;-;-;-;-;-;-;-;-;2
"221020 São José do Piauí";-;1;-;-;-;-;-;-;-;-;-;-;1
"221030 São Julião";-;-;-;-;-;-;-;1;1;-;1;-;3
"221040 São Miguel do Tapuio";1;1;-;-;2;1;-;-;-;-;-;-;5
"221050 São Pedro do Piauí";1;-;-;-;-;-;-;-;-;-;-;-;1
