"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"110001 Alta Floresta D'Oeste";1;1;-;2;-;-;-;-;-;1;-;-;5
"110040 Alto Paraíso";-;-;-;-;-;-;1;-;-;-;-;-;1
"110002 Ariquemes";-;2;-;-;-;-;-;1;2;2;1;-;8
"110045 Buritis";-;-;-;1;-;-;-;-;-;-;-;-;1
"110004 Cacoal";-;1;1;-;1;-;1;-;-;-;-;-;4
"110080 Candeias do Jamari";-;-;-;-;-;-;-;-;-;-;-;1;1
"110094 Cujubim";-;1;-;-;-;-;-;-;-;-;-;-;1
"110010 Guajará-Mirim";-;-;-;-;-;-;-;-;-;1;-;-;1
"110011 Jaru";-;-;-;-;-;-;-;-;-;-;-;1;1
"110012 Ji-Paraná";1;2;1;-;2;1;-;-;1;1;2;1;12
"110013 Machadinho D'Oeste";-;-;-;1;-;-;-;-;-;-;-;-;1
"110130 Mirante da Serra";1;-;-;-;1;-;-;-;-;-;-;-;2
"110014 Nova Brasilândia D'Oeste";-;1;-;-;-;-;1;-;-;-;-;1;3
"110033 Nova Mamoré";-;-;-;-;-;-;-;1;-;-;-;-;1
"110015 Ouro Preto do Oeste";-;-;1;-;1;-;-;1;1;1;-;1;6
"110020 Porto Velho";2;1;2;1;1;1;3;1;2;-;2;1;17
"110025 Presidente Médici";-;-;1;-;-;-;-;-;-;-;-;-;1
"110028 Rolim de Moura";-;-;-;-;-;-;-;-;1;-;-;-;1
"110149 São Francisco do Guaporé";-;-;-;1;-;-;-;-;-;-;1;-;2
"110150 Seringueiras";-;-;-;-;-;-;-;-;1;-;-;-;1
"110030 Vilhena";-;-;1;2;1;-;-;1;-;1;-;-;6
"120005 Assis Brasil";-;-;-;-;-;-;-;-;-;-;-;1;1
"120020 Cruzeiro do Sul";-;-;-;-;-;1;-;-;-;1;2;-;4
"120030 Feijó";-;-;-;-;1;1;1;-;-;-;-;-;3
"120034 Manoel Urbano";-;-;-;-;1;-;-;-;-;-;-;-;1
"120038 Plácido de Castro";-;-;-;-;-;-;-;1;-;-;-;-;1
"120040 Rio Branco";3;2;1;1;-;1;2;3;1;2;1;1;18
"120050 Sena Madureira";-;-;-;-;-;-;-;-;-;1;1;-;2
"120060 Tarauacá";1;-;-;-;-;1;-;-;-;-;-;1;3
"130002 Alvarães";1;1;-;-;-;-;-;-;-;-;-;-;2
"130020 Atalaia do Norte";-;-;-;-;-;1;-;-;-;-;-;-;1
"130050 Barreirinha";-;-;-;1;-;-;-;-;-;-;-;-;1
"130060 Benjamin Constant";-;-;-;1;-;1;1;-;-;-;-;1;4
"130068 Boa Vista do Ramos";-;-;-;-;-;-;-;-;1;-;-;-;1
"130115 Careiro da Várzea";1;-;-;1;-;-;-;-;-;-;-;-;2
"130130 Codajás";-;-;-;-;-;-;-;-;-;-;1;-;1
"130140 Eirunepé";-;-;-;-;-;-;-;-;-;1;-;-;1
"130150 Envira";-;-;-;-;-;1;-;1;-;-;-;-;2
"130170 Humaitá";-;-;-;-;1;-;-;-;-;-;-;-;1
"130190 Itacoatiara";-;-;-;-;-;-;-;-;-;-;1;-;1
"130260 Manaus";7;6;8;10;10;13;7;3;11;7;4;6;92
"130310 Nova Olinda do Norte";-;-;-;-;-;-;1;-;-;-;-;-;1
"130350 Pauini";-;-;-;-;1;-;-;-;-;-;-;-;1
"130356 Rio Preto da Eva";1;-;-;-;-;-;-;-;-;-;1;-;2
"130360 Santa Isabel do Rio Negro";-;-;-;-;-;-;-;1;3;-;-;-;4
"130370 Santo Antônio do Içá";1;-;-;-;-;1;-;-;1;-;-;-;3
"130380 São Gabriel da Cachoeira";2;1;1;-;1;1;-;1;-;1;1;-;9
"130406 Tabatinga";2;1;1;-;-;-;-;1;1;5;3;-;14
"130420 Tefé";1;-;-;-;-;-;-;-;-;-;2;-;3
"130426 Uarini";-;-;-;-;-;-;-;-;-;1;-;-;1
"130430 Urucará";-;-;1;-;-;-;-;-;-;-;-;-;1
"140002 Amajari";-;1;-;1;-;-;-;-;-;-;-;-;2
"140010 Boa Vista";2;2;2;1;-;2;-;3;2;-;1;1;16
"140015 Bonfim";-;-;-;-;1;1;1;-;-;-;-;-;3
"140017 Cantá";-;-;-;-;-;-;-;-;-;-;1;1;2
"140020 Caracaraí";-;-;-;-;-;-;1;-;-;-;-;-;1
"140030 Mucajaí";-;-;1;-;-;-;1;-;-;-;1;-;3
"140040 Normandia";-;-;-;-;-;-;-;-;-;1;-;-;1
"140045 Pacaraima";-;-;-;-;-;-;-;-;-;-;1;-;1
"140047 Rorainópolis";-;-;1;-;1;-;-;-;-;-;-;-;2
"150010 Abaetetuba";-;1;-;1;-;-;-;-;-;-;-;-;2
"150030 Afuá";-;-;-;-;-;1;-;-;-;-;-;-;1
"150034 Água Azul do Norte";-;-;1;-;-;-;-;-;-;-;-;-;1
"150050 Almeirim";-;-;-;-;-;-;-;-;-;-;-;1;1
"150060 Altamira";-;-;-;-;-;-;-;-;1;1;1;-;3
"150070 Anajás";1;-;-;-;-;-;-;-;-;-;-;-;1
"150080 Ananindeua";2;-;3;-;1;1;3;-;1;1;2;-;14
"150130 Barcarena";-;-;-;-;-;-;1;-;-;-;-;1;2
"150140 Belém";6;1;3;4;3;2;4;1;5;2;2;2;35
"150170 Bragança";-;1;-;1;-;2;-;-;-;-;-;1;5
"150172 Brasil Novo";-;-;-;-;-;-;-;-;-;1;-;-;1
"150175 Brejo Grande do Araguaia";1;-;-;-;-;-;-;-;-;-;-;-;1
"150180 Breves";3;-;-;1;2;-;-;-;-;1;-;-;7
"150190 Bujaru";-;-;-;-;-;1;-;-;-;-;-;-;1
"150195 Cachoeira do Piriá";-;-;-;-;1;-;-;-;-;-;-;-;1
"150210 Cametá";1;-;-;1;-;-;-;-;-;1;1;-;4
"150215 Canaã dos Carajás";1;-;-;1;-;-;-;-;-;-;1;-;3
"150220 Capanema";-;-;-;-;-;1;1;-;-;-;-;-;2
"150240 Castanhal";-;1;-;-;-;1;-;1;4;-;1;1;9
"150260 Colares";-;-;-;-;-;-;-;-;-;-;1;-;1
"150270 Conceição do Araguaia";-;-;-;1;-;1;-;-;-;1;-;-;3
"150277 Curionópolis";-;-;1;-;-;-;-;-;-;-;1;-;2
"150280 Curralinho";-;-;-;-;-;-;-;1;-;-;-;-;1
"150293 Dom Eliseu";-;-;-;-;-;1;-;-;-;-;1;-;2
"150295 Eldorado do Carajás";-;-;-;-;-;-;-;-;-;-;1;-;1
"150307 Garrafão do Norte";1;-;-;-;-;-;-;-;-;-;-;-;1
"150309 Goianésia do Pará";-;-;-;-;1;-;-;-;-;1;-;-;2
"150310 Gurupá";-;-;-;-;1;-;-;-;-;-;-;-;1
"150350 Irituia";-;-;-;-;-;1;2;-;-;-;-;-;3
"150360 Itaituba";-;-;-;1;-;-;-;-;-;-;-;1;2
"150370 Itupiranga";-;1;-;-;-;-;-;1;-;-;2;-;4
"150380 Jacundá";-;-;2;1;-;-;-;-;-;-;-;1;4
"150405 Mãe do Rio";-;-;-;-;-;1;-;-;2;-;1;-;4
"150420 Marabá";1;-;-;-;1;-;-;1;1;1;-;1;6
"150442 Marituba";-;-;-;-;2;-;-;-;-;1;-;-;3
"150460 Mocajuba";-;-;-;-;-;-;1;-;-;-;-;-;1
"150480 Monte Alegre";-;-;-;-;-;-;1;-;-;-;-;-;1
"150495 Nova Esperança do Piriá";-;-;-;1;-;-;-;-;-;-;-;-;1
"150497 Nova Ipixuna";-;-;-;-;-;-;-;-;-;-;1;-;1
"150500 Nova Timboteua";1;-;-;-;-;-;-;-;-;-;-;-;1
"150506 Novo Repartimento";1;-;-;-;-;-;-;-;1;-;-;-;2
"150540 Ourém";-;-;-;-;1;-;-;-;-;-;1;-;2
"150543 Ourilândia do Norte";-;-;-;1;-;1;-;-;-;-;-;-;2
"150548 Pacajá";-;1;-;-;-;-;-;-;-;1;-;-;2
"150550 Paragominas";1;1;1;-;1;-;-;1;-;-;-;-;5
"150553 Parauapebas";1;-;-;1;-;2;-;-;-;2;3;1;10
"150613 Redenção";-;-;-;-;-;1;-;-;-;1;-;-;2
"150616 Rio Maria";-;-;-;-;-;-;-;-;1;-;-;-;1
"150618 Rondon do Pará";1;-;1;-;-;2;1;-;1;-;1;-;7
"150620 Salinópolis";-;-;-;-;-;-;-;-;-;-;1;-;1
"150650 Santa Izabel do Pará";1;-;-;-;-;-;1;-;-;-;-;-;2
"150655 Santa Luzia do Pará";-;-;1;-;-;-;-;-;-;-;-;-;1
"150658 Santa Maria das Barreiras";-;-;-;-;-;-;-;-;-;-;1;-;1
"150660 Santa Maria do Pará";-;-;-;-;-;-;-;-;-;-;1;-;1
"150670 Santana do Araguaia";-;-;-;-;-;-;-;-;-;-;-;1;1
"150680 Santarém";2;5;1;1;2;1;1;-;2;1;-;1;17
"150700 Santo Antônio do Tauá";-;-;-;-;-;1;-;-;-;-;-;-;1
"150720 São Domingos do Capim";-;-;-;-;-;-;1;-;-;-;-;-;1
"150730 São Félix do Xingu";-;1;2;-;-;-;-;-;-;-;2;-;5
"150745 São Geraldo do Araguaia";-;-;-;-;-;-;1;-;1;-;-;-;2
"150760 São Miguel do Guamá";-;-;-;-;1;-;-;-;-;-;-;-;1
"150780 Senador José Porfírio";-;-;-;-;-;-;1;-;-;-;-;-;1
"150795 Tailândia";-;-;-;-;-;-;-;-;-;-;-;1;1
"150796 Terra Alta";-;-;1;-;-;-;-;-;-;-;1;-;2
"150800 Tomé-Açu";-;-;-;1;-;-;-;-;-;-;-;-;1
"150810 Tucuruí";1;-;-;1;-;-;-;-;2;-;-;-;4
"150830 Viseu";-;-;-;-;-;-;-;1;-;-;-;-;1
"150840 Xinguara";-;-;-;-;-;-;-;-;-;1;-;-;1
"160010 Amapá";-;-;-;-;-;-;1;-;1;-;-;-;2
"160027 Laranjal do Jari";-;-;-;3;-;1;5;-;-;-;-;-;9
"160030 Macapá";2;2;1;-;-;1;2;1;4;1;1;-;15
"160060 Santana";2;-;-;-;-;-;-;1;1;-;1;-;5
"170030 Aguiarnópolis";-;-;-;-;-;-;-;-;-;-;-;1;1
"170070 Alvorada";-;1;-;-;-;-;-;-;-;-;-;-;1
"170100 Ananás";-;-;-;-;1;-;-;-;-;-;-;-;1
"170130 Aragominas";-;-;-;-;-;-;-;-;-;-;-;1;1
"170200 Araguaçu";-;-;1;-;-;-;-;-;-;-;-;-;1
"170210 Araguaína";2;-;-;1;1;1;-;-;1;1;-;-;7
"170215 Araguanã";-;-;-;-;-;-;1;-;-;-;-;-;1
"170220 Araguatins";-;-;-;-;-;-;-;-;-;-;-;1;1
"170360 Brasilândia do Tocantins";-;-;-;1;-;-;-;-;-;-;-;-;1
"170370 Brejinho de Nazaré";-;-;1;-;-;-;-;-;-;-;-;-;1
"170384 Campos Lindos";-;-;-;-;-;1;-;-;-;-;1;-;2
"170550 Colinas do Tocantins";-;-;1;1;-;1;-;-;-;-;-;-;3
"170560 Conceição do Tocantins";1;-;-;-;-;-;-;-;-;-;-;-;1
"170610 Cristalândia";-;-;-;1;-;-;-;-;-;-;-;1;2
"170650 Darcinópolis";-;-;-;-;-;-;1;-;-;-;-;-;1
"170720 Dois Irmãos do Tocantins";-;-;1;-;-;-;-;-;-;-;-;-;1
"170730 Dueré";-;-;1;-;-;-;1;-;-;-;-;1;3
"170900 Goiatins";-;-;-;-;-;1;-;-;-;-;-;-;1
"170930 Guaraí";-;-;1;-;1;-;1;-;-;-;-;-;3
"170950 Gurupi";1;4;-;1;-;-;2;-;-;-;-;1;9
"171050 Itacajá";-;-;-;-;-;-;-;-;-;1;-;1;2
"171090 Itapiratins";-;-;-;-;-;-;1;-;-;-;-;-;1
"171150 Jaú do Tocantins";-;-;1;-;-;-;-;-;-;-;-;-;1
"171190 Lagoa da Confusão";-;-;-;-;-;-;-;1;-;-;-;-;1
"171195 Lagoa do Tocantins";-;-;-;1;-;-;-;-;-;-;-;-;1
"171320 Miracema do Tocantins";-;-;-;-;-;-;-;-;-;-;-;1;1
"171330 Miranorte";-;-;-;-;-;-;-;1;-;-;-;-;1
"171360 Monte do Carmo";1;-;-;-;-;-;-;-;-;-;-;-;1
"171430 Nazaré";-;-;-;-;-;-;-;-;-;-;1;-;1
"171488 Nova Olinda";-;1;-;-;-;-;-;-;-;-;-;-;1
"172100 Palmas";-;-;-;1;1;1;1;2;-;1;1;3;11
"171610 Paraíso do Tocantins";-;-;1;-;-;-;-;-;-;1;-;-;2
"171620 Paranã";-;1;-;-;-;-;-;-;-;-;-;-;1
"171650 Pedro Afonso";-;1;-;-;-;-;-;-;-;-;-;-;1
"171660 Peixe";-;-;-;-;-;-;1;-;-;-;-;-;1
"171720 Piraquê";-;-;1;-;-;-;-;-;-;-;-;-;1
"171780 Ponte Alta do Bom Jesus";-;-;-;-;1;-;-;-;-;-;-;-;1
"171820 Porto Nacional";-;-;-;-;-;-;-;1;1;-;-;-;2
"171880 Sampaio";-;-;1;-;-;-;-;-;-;-;-;-;1
"171886 Santa Fé do Araguaia";-;-;-;-;-;-;-;-;-;-;1;-;1
"172000 Santa Terezinha do Tocantins";-;-;-;-;-;-;-;-;-;-;1;-;1
"172049 São Valério";-;-;-;-;-;-;-;-;-;1;-;-;1
"172080 Sítio Novo do Tocantins";-;-;-;1;-;-;-;-;-;-;-;-;1
"172090 Taguatinga";-;-;1;-;-;-;-;-;-;-;-;-;1
"172097 Talismã";-;-;-;-;-;1;-;-;-;-;-;-;1
"172120 Tocantinópolis";-;-;-;1;-;-;-;-;-;-;-;-;1
"172208 Wanderlândia";-;1;-;-;-;-;-;-;-;-;-;-;1
"172210 Xambioá";-;-;1;-;-;-;-;-;-;-;-;-;1
