"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"110001 Alta Floresta D'Oeste";-;-;2;-;-;-;-;-;-;-;-;-;2
"110037 Alto Alegre dos Parecis";-;1;-;-;-;-;-;-;1;-;-;-;2
"110034 Alvorada D'Oeste";-;-;-;-;1;-;-;-;-;-;-;-;1
"110002 Ariquemes";1;1;-;-;1;1;1;-;1;-;-;-;6
"110045 Buritis";1;-;-;-;1;-;-;-;-;1;1;-;4
"110003 Cabixi";-;-;1;-;-;-;-;-;-;-;-;-;1
"110060 Cacaulândia";1;-;-;-;-;-;-;-;-;-;-;-;1
"110004 Cacoal";1;1;-;1;-;-;-;1;-;1;4;-;9
"110080 Candeias do Jamari";-;-;1;-;-;-;1;1;-;-;1;-;4
"110090 Castanheiras";-;1;-;-;-;-;-;-;-;-;-;-;1
"110005 Cerejeiras";-;-;-;-;-;1;-;-;-;1;-;-;2
"110009 Espigão D'Oeste";-;-;-;-;-;-;-;1;-;-;-;-;1
"110100 Governador Jorge Teixeira";-;-;1;-;-;-;-;-;-;-;-;-;1
"110010 Guajará-Mirim";-;-;-;-;-;-;-;-;1;-;-;-;1
"110110 Itapuã do Oeste";-;-;-;-;-;-;1;-;-;-;-;-;1
"110011 Jaru";-;-;-;-;1;-;-;-;-;-;-;-;1
"110012 Ji-Paraná";1;-;-;-;-;-;1;1;2;-;1;1;7
"110013 Machadinho D'Oeste";-;-;-;-;-;1;-;-;-;-;-;-;1
"110014 Nova Brasilândia D'Oeste";-;-;-;-;-;-;-;1;-;-;1;1;3
"110143 Nova União";-;1;-;-;-;-;-;-;-;-;-;-;1
"110015 Ouro Preto do Oeste";-;-;-;-;-;-;-;-;-;1;-;1;2
"110018 Pimenta Bueno";-;-;1;2;-;-;-;-;-;-;-;1;4
"110020 Porto Velho";2;4;4;1;2;3;3;3;2;1;1;3;29
"110025 Presidente Médici";-;-;-;-;1;-;-;-;-;-;-;-;1
"110028 Rolim de Moura";1;2;1;-;-;-;-;1;-;-;-;-;5
"110150 Seringueiras";1;-;-;-;-;-;-;-;1;1;-;-;3
"110170 Urupá";-;-;-;1;-;-;-;-;-;2;-;-;3
"110180 Vale do Paraíso";-;-;-;-;1;-;-;-;-;-;-;-;1
"110030 Vilhena";-;1;-;-;-;1;1;1;-;-;-;-;4
"110000 Município ignorado - RO";-;-;-;-;-;-;-;-;-;-;-;1;1
"120001 Acrelândia";1;-;-;-;-;-;-;-;-;-;-;-;1
"120020 Cruzeiro do Sul";1;-;2;3;-;-;2;-;1;1;1;-;11
"120025 Epitaciolândia";-;-;-;-;-;1;-;-;-;-;-;-;1
"120030 Feijó";-;-;-;-;-;-;-;-;-;-;1;-;1
"120032 Jordão";-;-;-;-;-;-;-;-;-;-;1;-;1
"120033 Mâncio Lima";-;-;-;-;-;1;-;-;-;-;-;-;1
"120034 Manoel Urbano";-;2;1;1;-;-;-;-;-;-;-;-;4
"120038 Plácido de Castro";-;-;-;-;-;-;1;-;-;-;-;-;1
"120080 Porto Acre";-;-;-;-;2;1;1;-;-;-;-;-;4
"120039 Porto Walter";-;-;-;-;-;1;-;-;-;-;-;-;1
"120040 Rio Branco";1;-;3;3;1;1;-;1;2;1;4;2;19
"120042 Rodrigues Alves";-;-;-;-;1;-;-;-;-;-;-;-;1
"120050 Sena Madureira";-;-;-;-;-;-;1;-;-;1;-;-;2
"120045 Senador Guiomard";-;-;1;-;-;-;-;-;-;-;-;-;1
"120060 Tarauacá";-;-;1;2;-;1;-;-;-;-;1;-;5
"120070 Xapuri";-;-;1;1;-;-;-;-;-;-;-;-;2
"130002 Alvarães";-;-;-;-;-;-;1;-;-;-;-;1;2
"130006 Amaturá";-;-;-;1;-;-;-;2;-;-;-;-;3
"130014 Apuí";-;-;-;-;-;-;-;1;-;-;-;1;2
"130020 Atalaia do Norte";1;-;-;-;-;1;-;-;-;-;-;-;2
"130030 Autazes";1;-;-;-;-;-;-;-;1;-;1;1;4
"130050 Barreirinha";1;-;-;-;-;-;-;-;-;-;-;-;1
"130060 Benjamin Constant";-;-;3;1;-;-;2;-;-;-;1;1;8
"130080 Borba";-;-;1;-;-;-;-;-;-;1;-;1;3
"130100 Carauari";-;-;-;-;-;1;1;-;-;1;-;-;3
"130120 Coari";-;1;-;-;-;-;-;-;-;-;1;-;2
"130130 Codajás";-;-;-;-;-;-;-;1;-;-;-;-;1
"130140 Eirunepé";-;1;1;-;-;1;-;-;2;1;-;-;6
"130150 Envira";-;-;-;-;-;-;-;-;-;-;-;1;1
"130165 Guajará";-;-;-;-;-;-;-;-;-;-;-;1;1
"130170 Humaitá";-;1;-;1;-;1;-;-;-;-;-;1;4
"130180 Ipixuna";-;-;-;-;-;-;-;-;1;-;-;-;1
"130185 Iranduba";-;-;-;-;2;-;-;-;2;-;-;-;4
