"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"110001 Alta Floresta D'Oeste";-;-;-;-;-;-;-;-;-;1;-;-;1
"110037 Alto Alegre dos Parecis";-;-;-;-;-;1;-;-;-;1;-;-;2
"110040 Alto Paraíso";-;1;1;-;-;-;-;-;-;-;-;-;2
"110034 Alvorada D'Oeste";1;-;-;-;-;-;-;-;-;-;1;-;2
"110002 Ariquemes";-;1;-;-;-;-;-;-;-;1;-;-;2
"110045 Buritis";-;-;-;-;-;-;1;-;-;-;-;-;1
"110003 Cabixi";-;-;-;-;-;-;1;-;-;-;-;-;1
"110004 Cacoal";-;2;-;1;-;1;-;1;-;3;-;-;8
"110080 Candeias do Jamari";1;-;-;-;-;-;-;-;-;-;-;-;1
"110090 Castanheiras";-;-;-;1;-;-;-;-;-;-;-;-;1
"110005 Cerejeiras";-;-;-;1;-;-;-;-;-;-;-;-;1
"110092 Chupinguaia";-;-;-;-;-;1;-;-;-;-;-;-;1
"110006 Colorado do Oeste";-;1;-;-;-;-;-;-;-;-;-;-;1
"110008 Costa Marques";1;-;-;-;-;-;-;-;-;1;1;1;4
"110009 Espigão D'Oeste";1;-;-;-;-;-;1;-;-;-;-;-;2
"110100 Governador Jorge Teixeira";-;-;-;-;-;1;-;-;-;1;-;-;2
"110010 Guajará-Mirim";1;-;2;-;1;-;-;-;1;1;-;-;6
"110012 Ji-Paraná";-;1;-;1;1;-;2;-;-;-;-;-;5
"110013 Machadinho D'Oeste";-;-;-;1;1;1;-;1;1;-;-;-;5
"110130 Mirante da Serra";-;-;-;-;-;-;1;-;1;-;-;-;2
"110143 Nova União";-;-;-;-;-;-;-;2;-;-;-;-;2
"110050 Novo Horizonte do Oeste";-;-;-;-;-;-;-;-;-;1;-;1;2
"110015 Ouro Preto do Oeste";1;1;-;-;-;-;-;-;-;1;-;-;3
"110145 Parecis";-;-;-;-;-;-;-;-;-;1;-;-;1
"110018 Pimenta Bueno";-;3;1;-;-;-;-;-;-;-;-;-;4
"110020 Porto Velho";3;3;4;4;5;3;3;4;4;2;1;3;39
"110025 Presidente Médici";-;1;-;-;-;-;1;-;-;-;-;-;2
"110028 Rolim de Moura";1;-;-;-;-;-;1;1;-;1;-;-;4
"110148 São Felipe D'Oeste";-;-;-;-;1;-;-;-;-;-;-;-;1
"110149 São Francisco do Guaporé";-;-;1;-;-;-;-;-;-;1;-;-;2
"110032 São Miguel do Guaporé";-;-;-;-;-;-;-;-;-;1;-;-;1
"110150 Seringueiras";-;-;1;-;-;-;-;-;1;-;-;-;2
"110155 Teixeirópolis";-;-;1;-;-;-;-;-;-;-;-;-;1
"110160 Theobroma";1;-;-;-;-;-;-;-;-;-;-;-;1
"110030 Vilhena";-;1;-;1;-;2;1;-;2;1;2;-;10
"120010 Brasiléia";-;-;-;-;1;-;-;-;-;-;-;-;1
"120020 Cruzeiro do Sul";-;-;1;2;-;-;-;-;2;-;1;-;6
"120025 Epitaciolândia";-;1;-;1;-;-;-;-;-;-;-;-;2
"120030 Feijó";1;-;-;-;-;1;-;-;-;-;1;-;3
"120033 Mâncio Lima";-;-;-;-;-;1;-;1;-;1;-;-;3
"120034 Manoel Urbano";-;-;-;-;-;-;-;-;-;-;1;-;1
"120035 Marechal Thaumaturgo";1;-;2;1;-;-;1;-;-;-;-;-;5
"120038 Plácido de Castro";-;-;-;-;-;-;-;-;-;1;-;-;1
"120080 Porto Acre";-;-;-;-;-;-;-;-;1;-;-;-;1
"120040 Rio Branco";3;4;3;3;-;1;2;3;2;2;3;5;31
"120050 Sena Madureira";-;-;-;1;-;-;-;-;-;-;-;1;2
"120045 Senador Guiomard";-;-;-;-;-;1;-;-;-;-;-;-;1
"120060 Tarauacá";-;-;-;-;-;-;-;1;-;-;-;-;1
"120070 Xapuri";-;-;-;-;-;1;-;-;-;-;-;-;1
"130006 Amaturá";-;-;-;-;-;-;1;-;-;-;-;-;1
"130008 Anamã";-;-;-;-;-;-;-;1;-;-;-;-;1
"130014 Apuí";-;-;-;-;-;-;1;-;-;-;-;-;1
"130040 Barcelos";1;-;-;-;-;-;-;-;1;-;-;-;2
"130060 Benjamin Constant";1;1;3;-;1;-;-;-;1;1;1;1;10
"130068 Boa Vista do Ramos";-;1;1;-;-;-;-;-;-;-;-;-;2
"130070 Boca do Acre";-;-;-;-;-;1;-;-;-;-;-;-;1
"130083 Caapiranga";-;-;-;-;-;-;1;1;-;-;-;-;2
"130100 Carauari";-;-;-;-;-;-;-;1;-;-;-;2;3
"130110 Careiro";-;-;-;-;-;1;-;-;-;-;-;-;1
"130120 Coari";1;-;1;-;-;-;3;-;1;-;-;-;6
"130130 Codajás";-;-;-;-;-;-;-;-;-;-;-;1;1
"130140 Eirunepé";-;-;-;3;1;-;-;1;-;-;-;3;8
"130150 Envira";-;-;-;1;2;1;2;1;-;-;-;-;7
"130170 Humaitá";-;-;-;-;1;-;-;-;1;-;-;-;2
"130180 Ipixuna";-;-;-;-;1;-;-;-;-;-;-;-;1
"130185 Iranduba";-;1;-;-;-;-;-;-;1;-;1;1;4
"130190 Itacoatiara";-;-;2;-;-;-;-;-;-;1;-;1;4
"130195 Itamarati";1;-;-;-;-;-;-;-;-;-;-;-;1
"130220 Juruá";1;-;-;-;-;-;-;-;-;-;-;-;1
"130230 Jutaí";-;-;1;-;1;-;-;-;-;-;-;1;3
"130250 Manacapuru";-;-;-;-;-;-;1;-;-;2;-;-;3
