"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"110001 Alta Floresta D'Oeste";-;-;-;-;-;1;-;-;-;-;-;-;1
"110040 Alto Paraíso";-;-;-;-;-;-;-;-;1;-;-;-;1
"110034 Alvorada D'Oeste";-;-;-;-;-;1;-;-;-;-;-;-;1
"110002 Ariquemes";-;-;-;-;1;1;-;2;-;-;-;-;4
"110045 Buritis";-;-;1;-;-;-;-;1;-;-;-;-;2
"110004 Cacoal";-;-;-;-;-;-;-;-;1;-;-;-;1
"110080 Candeias do Jamari";-;-;-;1;-;-;-;-;-;-;-;-;1
"110008 Costa Marques";-;-;-;-;1;-;-;-;1;-;1;-;3
"110009 Espigão D'Oeste";1;-;-;-;-;1;-;1;-;-;-;-;3
"110010 Guajará-Mirim";-;-;1;-;-;-;-;-;2;-;-;1;4
"110011 Jaru";-;-;-;-;-;-;-;1;-;1;-;2;4
"110012 Ji-Paraná";-;-;-;-;-;-;1;-;-;-;1;-;2
"110013 Machadinho D'Oeste";-;-;-;-;-;-;-;1;1;1;-;-;3
"110140 Monte Negro";-;-;-;-;-;-;-;-;-;-;-;1;1
"110015 Ouro Preto do Oeste";-;-;-;1;-;-;-;-;-;-;-;1;2
"110018 Pimenta Bueno";-;1;-;-;-;-;-;-;-;-;-;-;1
"110020 Porto Velho";4;2;5;4;4;3;2;1;-;3;1;1;30
"110025 Presidente Médici";-;-;-;-;1;-;-;-;-;-;1;-;2
"110028 Rolim de Moura";-;-;-;-;-;-;-;-;1;1;-;-;2
"110149 São Francisco do Guaporé";-;-;2;-;-;-;-;-;-;-;-;1;3
"110032 São Miguel do Guaporé";-;-;-;-;-;1;-;-;-;-;-;-;1
"110175 Vale do Anari";-;-;-;-;-;-;-;-;-;1;-;1;2
"110030 Vilhena";-;-;-;1;-;-;-;-;1;-;1;1;4
"120017 Capixaba";-;-;-;-;-;-;1;-;-;-;-;-;1
"120020 Cruzeiro do Sul";1;-;-;-;-;-;1;-;1;1;1;-;5
"120025 Epitaciolândia";-;-;-;-;-;1;-;-;-;-;-;-;1
"120030 Feijó";-;1;-;-;-;-;-;-;-;-;-;-;1
"120033 Mâncio Lima";-;-;-;-;-;-;-;1;-;-;1;-;2
"120038 Plácido de Castro";-;-;-;-;-;-;-;-;1;-;1;-;2
"120080 Porto Acre";-;-;-;-;-;-;1;-;-;-;-;-;1
"120040 Rio Branco";3;2;2;-;2;-;2;1;1;-;1;2;16
"120042 Rodrigues Alves";-;-;-;-;-;1;-;-;-;-;-;-;1
"120050 Sena Madureira";-;-;-;-;-;-;-;-;-;-;-;1;1
"120045 Senador Guiomard";-;-;-;-;-;-;1;-;-;1;-;-;2
"120060 Tarauacá";1;-;-;2;1;-;1;-;1;1;-;1;8
"130006 Amaturá";-;-;-;-;-;-;3;-;-;-;-;-;3
"130020 Atalaia do Norte";2;-;-;-;1;-;-;-;-;-;-;-;3
"130030 Autazes";-;1;-;-;-;-;1;-;-;-;-;-;2
"130040 Barcelos";-;-;-;-;-;-;-;-;-;1;2;-;3
"130050 Barreirinha";-;-;1;-;-;-;-;-;-;-;-;-;1
"130060 Benjamin Constant";-;-;1;-;-;1;-;-;-;1;-;-;3
"130063 Beruri";1;-;-;-;-;-;-;-;-;-;-;-;1
"130068 Boa Vista do Ramos";1;-;-;-;-;-;-;-;-;-;-;-;1
"130070 Boca do Acre";-;-;-;1;-;-;-;-;-;1;-;1;3
"130080 Borba";-;-;-;-;1;-;-;-;-;-;-;-;1
"130100 Carauari";1;-;-;-;-;-;-;-;-;-;-;-;1
"130115 Careiro da Várzea";-;-;-;1;-;-;-;-;-;1;-;-;2
"130120 Coari";-;-;-;-;-;1;-;-;-;-;-;-;1
"130140 Eirunepé";-;-;-;-;-;-;-;-;1;-;-;-;1
"130150 Envira";-;-;-;1;-;-;-;-;1;-;-;-;2
"130160 Fonte Boa";1;-;-;-;-;1;-;-;-;-;-;-;2
"130180 Ipixuna";-;-;-;1;-;-;-;-;-;-;-;-;1
"130185 Iranduba";-;-;-;1;-;-;-;-;-;-;-;-;1
"130190 Itacoatiara";-;-;-;-;-;-;-;1;-;-;-;-;1
"130250 Manacapuru";-;-;-;1;-;-;-;-;-;1;-;-;2
"130260 Manaus";8;6;9;8;5;9;10;8;7;6;10;6;92
"130290 Maués";1;-;-;-;-;-;-;-;-;-;-;-;1
"130310 Nova Olinda do Norte";1;-;-;-;-;-;-;-;-;-;-;-;1
"130320 Novo Airão";-;-;-;-;-;-;-;-;-;-;1;-;1
"130340 Parintins";-;-;1;-;-;1;1;-;-;1;-;-;4
"130353 Presidente Figueiredo";1;-;-;-;-;-;2;-;-;-;-;-;3
"130356 Rio Preto da Eva";1;-;-;-;-;1;-;-;-;-;-;-;2
"130360 Santa Isabel do Rio Negro";-;-;-;-;-;1;-;-;-;-;1;-;2
"130380 São Gabriel da Cachoeira";-;4;1;1;1;2;2;1;2;2;1;1;18
"130390 São Paulo de Olivença";-;-;1;-;-;-;-;1;-;2;1;1;6
"130406 Tabatinga";-;2;1;4;2;1;2;1;-;1;-;1;15
"130420 Tefé";-;-;-;1;-;1;1;-;-;2;-;-;5
"130430 Urucará";-;-;-;1;-;-;1;-;-;-;1;-;3
"140005 Alto Alegre";-;-;-;-;-;-;-;-;1;-;1;-;2
"140010 Boa Vista";-;2;2;3;3;1;3;-;2;1;1;4;22
"140015 Bonfim";-;-;-;-;-;-;-;-;-;-;1;-;1
"140017 Cantá";-;-;-;-;1;1;-;-;-;-;-;1;3
"140020 Caracaraí";-;-;-;-;1;-;-;-;-;-;-;-;1
"140030 Mucajaí";-;-;-;-;1;-;-;-;-;-;-;-;1
"140040 Normandia";1;-;-;-;-;-;-;-;-;-;1;-;2
"140045 Pacaraima";-;-;-;-;1;-;-;-;-;-;-;-;1
"140047 Rorainópolis";-;-;-;1;-;-;-;-;-;-;-;-;1
"150010 Abaetetuba";1;-;-;2;-;-;1;-;1;-;-;-;5
"150013 Abel Figueiredo";-;-;-;-;-;-;-;-;-;1;-;-;1
"150020 Acará";-;-;-;1;-;-;-;-;-;-;1;-;2
"150034 Água Azul do Norte";-;1;-;-;-;-;-;-;-;1;-;-;2
"150050 Almeirim";-;-;-;-;1;-;-;-;1;-;-;-;2
"150060 Altamira";-;-;-;-;1;2;-;-;-;-;-;1;4
"150080 Ananindeua";-;1;-;4;-;1;3;2;3;3;1;-;18
"150095 Aurora do Pará";1;-;-;-;1;-;-;-;-;-;-;-;2
"150110 Bagre";-;-;-;-;-;-;-;-;1;-;-;-;1
"150120 Baião";1;-;-;-;-;-;-;-;-;-;-;-;1
"150130 Barcarena";-;-;-;-;-;-;-;-;1;-;-;-;1
"150140 Belém";2;5;5;5;5;4;2;2;3;5;2;2;42
"150145 Belterra";-;-;-;-;-;-;-;-;-;1;1;-;2
"150150 Benevides";-;-;-;2;-;1;-;-;-;-;-;-;3
"150175 Brejo Grande do Araguaia";-;1;-;-;-;-;-;-;-;-;-;-;1
"150180 Breves";1;-;-;-;1;1;1;-;-;-;1;-;5
"150210 Cametá";2;-;1;-;-;1;-;-;-;1;-;-;5
"150215 Canaã dos Carajás";-;-;-;-;1;-;-;-;-;-;-;-;1
"150220 Capanema";-;-;-;-;-;-;1;-;-;-;-;-;1
