"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"110001 Alta Floresta D'Oeste";-;-;-;-;-;-;-;-;-;1;-;2;3
"110037 Alto Alegre dos Parecis";-;-;-;-;-;-;1;1;-;-;1;-;3
"110040 Alto Paraíso";1;-;-;-;-;-;-;-;-;-;-;-;1
"110002 Ariquemes";1;1;-;1;-;-;1;-;2;2;-;1;9
"110004 Cacoal";-;-;-;1;-;1;-;1;-;-;-;1;4
"110080 Candeias do Jamari";-;-;1;-;1;-;-;-;-;-;-;-;2
"110005 Cerejeiras";-;-;1;-;-;-;-;-;1;-;-;-;2
"110007 Corumbiara";1;-;-;-;-;-;-;-;-;-;-;-;1
"110008 Costa Marques";1;-;-;1;-;-;-;-;-;-;1;-;3
"110010 Guajará-Mirim";-;-;-;-;-;-;-;2;2;-;-;-;4
"110011 Jaru";-;-;-;-;-;-;-;-;-;1;-;-;1
"110013 Machadinho D'Oeste";-;1;-;-;-;-;-;-;-;-;-;1;2
"110014 Nova Brasilândia D'Oeste";-;-;-;-;-;-;-;-;-;-;2;-;2
"110033 Nova Mamoré";-;-;-;-;-;-;-;-;-;1;1;-;2
"110015 Ouro Preto do Oeste";-;-;-;-;-;-;-;-;1;-;-;-;1
"110020 Porto Velho";1;1;4;-;2;2;2;1;3;3;3;-;22
"110025 Presidente Médici";1;-;-;-;-;-;-;-;-;-;-;-;1
"110028 Rolim de Moura";1;-;-;1;-;-;-;2;-;-;-;-;4
"110029 Santa Luzia D'Oeste";-;-;-;-;-;1;-;-;-;-;-;-;1
"110149 São Francisco do Guaporé";-;2;-;-;-;-;-;-;-;-;-;-;2
"110155 Teixeirópolis";-;-;-;-;-;-;-;-;-;-;-;1;1
"110175 Vale do Anari";-;-;-;-;-;1;-;-;-;-;-;-;1
"110030 Vilhena";-;-;-;-;-;-;-;-;1;-;-;-;1
"120010 Brasiléia";1;-;-;-;-;-;1;-;-;-;-;-;2
"120020 Cruzeiro do Sul";-;2;-;1;-;-;-;1;1;-;-;-;5
"120030 Feijó";-;-;1;-;-;-;-;-;-;-;1;-;2
"120032 Jordão";-;-;-;1;1;-;-;-;-;-;-;-;2
"120034 Manoel Urbano";-;-;-;-;-;-;-;-;-;-;1;1;2
"120038 Plácido de Castro";-;-;-;1;-;-;-;-;-;-;-;-;1
"120080 Porto Acre";1;-;-;-;-;-;-;-;-;-;-;1;2
"120040 Rio Branco";1;3;2;4;2;3;1;1;2;1;1;1;22
"120045 Senador Guiomard";1;-;-;-;-;-;-;-;-;-;-;-;1
"120060 Tarauacá";-;1;-;1;-;-;-;1;-;-;1;-;4
"130008 Anamã";-;-;-;-;-;1;-;-;-;-;-;-;1
"130014 Apuí";-;-;-;-;-;-;-;-;-;-;1;-;1
"130020 Atalaia do Norte";-;-;1;1;-;-;1;-;-;-;-;-;3
"130030 Autazes";-;-;-;-;-;-;-;-;-;-;1;-;1
"130040 Barcelos";-;-;-;1;-;-;-;-;-;-;-;-;1
"130060 Benjamin Constant";-;1;1;-;-;-;-;-;-;-;1;-;3
"130070 Boca do Acre";-;-;1;-;-;1;-;-;-;-;-;-;2
"130080 Borba";-;-;-;1;-;-;-;-;-;-;-;-;1
"130100 Carauari";-;-;-;-;1;1;-;-;-;-;-;-;2
"130120 Coari";1;-;-;-;-;-;-;-;1;-;-;-;2
"130130 Codajás";-;-;-;-;1;-;-;-;1;-;-;-;2
"130140 Eirunepé";-;-;1;-;-;-;-;-;-;-;-;-;1
"130150 Envira";-;-;-;-;-;-;1;-;-;-;-;-;1
"130165 Guajará";-;-;-;-;-;1;-;-;-;1;-;-;2
"130170 Humaitá";-;-;-;1;-;-;1;-;-;-;-;-;2
"130185 Iranduba";-;-;1;-;-;-;-;-;-;-;-;-;1
"130190 Itacoatiara";-;-;-;-;1;-;-;-;-;-;1;-;2
"130210 Japurá";-;-;-;-;-;1;-;-;-;-;-;-;1
"130230 Jutaí";-;-;-;-;-;-;-;-;-;-;1;-;1
"130240 Lábrea";1;-;-;-;-;-;-;-;-;-;-;-;1
"130250 Manacapuru";-;-;-;-;1;-;-;-;-;-;-;-;1
"130260 Manaus";9;7;12;6;4;6;11;5;6;9;10;7;92
"130280 Maraã";-;-;1;-;-;-;1;-;-;1;-;-;3
"130290 Maués";-;-;-;-;-;-;1;-;-;-;-;-;1
"130310 Nova Olinda do Norte";-;-;-;-;-;-;-;-;-;1;-;-;1
"130330 Novo Aripuanã";1;-;-;-;-;-;-;-;-;-;-;-;1
"130340 Parintins";-;1;-;-;1;-;-;-;2;1;1;-;6
"130353 Presidente Figueiredo";-;-;-;-;-;1;-;-;-;-;-;-;1
"130356 Rio Preto da Eva";-;-;-;1;-;-;1;-;-;-;-;1;3
"130380 São Gabriel da Cachoeira";1;1;4;-;3;1;-;2;3;3;1;2;21
"130390 São Paulo de Olivença";1;2;1;1;1;-;1;1;2;-;-;2;12
"130406 Tabatinga";2;-;-;1;-;-;-;1;-;-;2;1;7
"130420 Tefé";-;1;-;-;-;-;-;-;1;1;-;1;4
"130430 Urucará";-;-;1;-;-;-;-;-;-;-;-;-;1
"140005 Alto Alegre";-;1;-;1;-;-;-;-;-;-;-;-;2
"140010 Boa Vista";2;2;3;1;2;2;5;2;2;2;-;1;24
"140015 Bonfim";-;-;1;-;2;-;-;-;1;-;-;-;4
"140017 Cantá";-;-;1;-;-;-;-;-;-;-;-;-;1
"140023 Caroebe";-;-;-;-;-;1;-;-;-;-;-;-;1
"140030 Mucajaí";-;-;-;-;-;-;-;-;-;-;2;-;2
"140045 Pacaraima";-;-;1;-;-;-;-;-;-;-;-;-;1
"140047 Rorainópolis";-;-;1;-;-;-;-;-;1;-;-;-;2
"140060 São Luiz";-;-;-;-;-;-;-;1;-;-;-;-;1
"150010 Abaetetuba";-;-;-;-;-;1;-;-;-;-;-;-;1
"150020 Acará";-;-;-;-;1;1;-;-;-;-;1;1;4
"150030 Afuá";-;-;-;-;-;-;-;-;1;-;-;-;1
"150040 Alenquer";-;-;-;1;-;-;-;1;1;-;-;-;3
"150050 Almeirim";-;-;-;1;-;-;-;1;-;1;-;-;3
"150060 Altamira";-;1;-;-;-;-;-;-;-;-;-;-;1
"150080 Ananindeua";-;-;-;-;-;2;-;1;-;-;2;-;5
"150085 Anapu";-;-;-;-;-;-;-;1;1;-;-;-;2
"150095 Aurora do Pará";-;-;-;-;-;-;1;-;-;-;-;-;1
"150100 Aveiro";-;1;-;-;-;-;-;-;-;-;-;-;1
"150120 Baião";-;-;-;1;-;-;-;-;-;-;-;1;2
"150130 Barcarena";-;-;-;-;-;1;-;-;-;-;-;-;1
"150140 Belém";1;4;-;3;5;1;2;2;4;1;7;4;34
"150178 Breu Branco";-;-;1;-;1;1;-;-;-;-;-;-;3
"150180 Breves";-;-;-;-;2;-;-;-;-;-;-;-;2
"150195 Cachoeira do Piriá";1;-;-;-;-;-;-;-;-;-;-;1;2
"150210 Cametá";-;-;-;2;1;-;-;-;-;1;-;-;4
"150215 Canaã dos Carajás";-;1;-;-;-;-;-;-;-;-;1;-;2
"150230 Capitão Poço";-;-;-;-;-;-;1;-;-;-;-;-;1
"150240 Castanhal";1;-;-;-;-;1;-;-;-;-;-;1;3
"150270 Conceição do Araguaia";1;-;-;-;-;-;1;-;-;1;1;-;4
"150275 Concórdia do Pará";-;-;-;-;-;-;-;-;1;-;-;1;2
"150293 Dom Eliseu";-;1;-;-;-;-;-;-;-;-;-;1;2
"150304 Floresta do Araguaia";-;-;-;-;-;-;-;-;-;-;1;-;1
"150309 Goianésia do Pará";-;-;-;-;1;1;-;-;-;-;-;-;2
"150310 Gurupá";-;-;1;-;-;-;-;-;-;-;-;-;1
"150320 Igarapé-Açu";-;1;-;-;-;-;-;-;-;-;-;-;1
"150330 Igarapé-Miri";-;-;-;-;1;-;-;1;-;-;1;-;3
"150350 Irituia";1;-;-;-;-;-;-;-;-;-;-;-;1
"150360 Itaituba";1;-;-;1;-;1;-;1;-;-;-;-;4
"150370 Itupiranga";-;1;-;-;-;-;1;-;-;1;1;-;4
"150380 Jacundá";1;-;-;-;-;-;-;-;-;-;-;-;1
"150405 Mãe do Rio";-;-;-;-;1;1;-;-;-;-;-;-;2
"150420 Marabá";1;1;2;2;1;-;2;1;1;-;1;2;14
"150430 Maracanã";-;-;-;1;-;-;-;-;-;-;-;-;1
"150442 Marituba";-;-;-;-;-;1;-;-;-;-;-;-;1
"150445 Medicilândia";-;-;1;-;-;-;1;-;-;1;1;-;4
"150460 Mocajuba";-;-;-;-;-;1;-;-;-;-;-;-;1
"150470 Moju";-;-;2;2;2;5;2;-;-;1;-;-;14
"150495 Nova Esperança do Piriá";-;-;1;-;-;-;-;-;-;-;-;-;1
"150500 Nova Timboteua";-;1;-;-;-;-;-;-;-;1;-;-;2
"150503 Novo Progresso";1;-;-;-;-;-;-;2;-;-;-;-;3
"150506 Novo Repartimento";-;-;-;1;-;-;-;1;1;-;-;-;3
"150510 Óbidos";-;-;-;-;1;1;-;-;-;-;-;-;2
"150520 Oeiras do Pará";-;-;-;-;-;-;-;-;-;1;-;-;1
"150530 Oriximiná";-;-;-;-;-;-;-;-;-;-;-;1;1
"150543 Ourilândia do Norte";-;-;-;-;-;-;1;-;-;-;-;-;1
"150548 Pacajá";-;-;-;-;-;-;-;-;-;-;1;-;1
"150550 Paragominas";-;-;1;-;-;-;-;-;1;-;-;-;2
"150553 Parauapebas";-;1;-;1;2;1;1;1;4;3;1;3;18
"150565 Placas";-;-;-;-;-;-;-;-;1;-;-;-;1
"150570 Ponta de Pedras";1;-;-;-;-;-;-;-;-;-;-;-;1
"150580 Portel";-;-;1;1;-;-;-;-;-;-;-;-;2
"150600 Prainha";-;-;1;-;-;-;-;-;-;2;-;-;3
"150610 Primavera";-;-;-;-;-;-;-;-;-;-;-;1;1
"150613 Redenção";-;-;1;-;-;1;1;-;2;-;-;-;5
"150616 Rio Maria";-;-;-;-;-;-;-;-;-;1;-;-;1
"150618 Rondon do Pará";-;1;-;-;-;-;-;-;-;-;-;1;2
"150650 Santa Izabel do Pará";-;-;-;-;-;-;-;1;-;1;-;-;2
"150658 Santa Maria das Barreiras";-;-;-;-;-;-;2;-;-;-;-;1;3
"150680 Santarém";2;2;-;2;3;1;3;-;-;-;-;1;14
"150700 Santo Antônio do Tauá";-;-;-;1;-;-;-;-;-;-;-;-;1
"150715 São Domingos do Araguaia";-;-;-;-;-;-;-;-;-;-;-;1;1
"150720 São Domingos do Capim";-;-;1;-;-;-;-;-;-;-;-;-;1
"150730 São Félix do Xingu";-;-;-;-;-;-;-;-;-;-;1;-;1
"150740 São Francisco do Pará";-;-;-;-;1;-;-;-;-;-;-;-;1
"150745 São Geraldo do Araguaia";-;-;-;-;-;-;-;-;-;2;1;-;3
"150750 São João do Araguaia";-;-;-;-;-;-;-;1;-;-;-;-;1
"150760 São Miguel do Guamá";-;1;-;-;-;-;-;-;-;-;-;-;1
"150795 Tailândia";-;-;-;1;1;-;-;-;-;-;1;-;3
"150800 Tomé-Açu";-;-;-;-;1;-;-;-;-;-;-;-;1
"150808 Tucumã";-;-;-;-;-;-;1;-;-;-;-;-;1
"150810 Tucuruí";-;1;1;-;1;-;1;-;-;-;-;2;6
"150812 Ulianópolis";-;1;-;-;-;-;-;1;-;-;-;-;2
"150815 Uruará";-;-;1;-;-;-;-;-;-;-;-;-;1
"150820 Vigia";-;-;-;-;-;-;1;1;-;-;-;-;2
