"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"110001 Alta Floresta D'Oeste";1;1;-;-;-;-;-;-;-;-;-;-;2
"110037 Alto Alegre dos Parecis";-;-;-;-;-;-;1;-;-;-;-;-;1
"110034 Alvorada D'Oeste";-;1;-;-;-;-;-;-;-;1;-;-;2
"110002 Ariquemes";1;-;1;-;-;-;-;-;-;-;-;-;2
"110003 Cabixi";-;1;-;-;-;-;-;-;-;-;-;-;1
"110004 Cacoal";-;-;-;-;-;-;-;-;-;1;-;-;1
"110080 Candeias do Jamari";1;-;-;-;1;-;1;-;-;-;-;-;3
"110008 Costa Marques";-;-;1;-;1;-;-;-;-;-;-;-;2
"110009 Espigão D'Oeste";-;-;-;-;-;1;-;1;1;-;-;1;4
"110100 Governador Jorge Teixeira";-;-;-;-;-;-;-;-;-;-;-;1;1
"110010 Guajará-Mirim";-;-;-;-;-;-;-;-;-;-;-;2;2
"110011 Jaru";-;-;-;-;-;-;-;-;-;1;-;-;1
"110012 Ji-Paraná";-;-;-;-;-;-;-;1;1;-;-;-;2
"110120 Ministro Andreazza";-;-;1;-;-;-;1;-;-;-;-;-;2
"110130 Mirante da Serra";-;-;-;-;-;-;-;-;1;-;-;-;1
"110014 Nova Brasilândia D'Oeste";-;-;-;2;-;-;-;-;-;1;-;1;4
"110015 Ouro Preto do Oeste";-;-;-;-;-;-;-;-;-;3;1;-;4
"110018 Pimenta Bueno";2;1;-;-;-;-;-;-;-;-;-;-;3
"110020 Porto Velho";2;2;4;2;2;2;2;3;1;5;-;6;31
"110025 Presidente Médici";-;-;1;-;-;-;-;-;-;-;-;-;1
"110028 Rolim de Moura";-;-;-;-;-;-;1;-;-;-;-;-;1
"110149 São Francisco do Guaporé";-;2;-;-;-;-;-;-;-;-;-;-;2
"110032 São Miguel do Guaporé";-;1;-;-;-;1;-;-;-;-;-;-;2
"110170 Urupá";1;-;-;-;-;-;-;-;-;-;-;1;2
"110180 Vale do Paraíso";-;-;-;-;-;-;-;-;-;-;1;-;1
"110030 Vilhena";-;-;2;1;1;1;2;-;1;-;-;-;8
"120010 Brasiléia";-;-;-;-;-;-;1;-;-;1;1;-;3
"120017 Capixaba";-;-;-;-;-;-;-;1;-;-;-;-;1
