"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"110001 Alta Floresta D'Oeste";-;-;-;-;2;1;-;-;-;1;-;4
"110037 Alto Alegre dos Parecis";-;-;-;-;-;-;1;1;-;-;-;2
"110040 Alto Paraíso";-;2;-;1;4;1;1;2;1;2;1;15
"110034 Alvorada D'Oeste";-;-;-;1;-;-;-;1;-;-;1;3
"110002 Ariquemes";5;17;9;8;25;13;8;11;19;20;22;157
"110045 Buritis";-;1;1;2;6;3;-;3;8;-;-;24
"110003 Cabixi";-;-;-;-;-;-;-;-;-;-;1;1
"110060 Cacaulândia";1;-;-;-;-;-;-;-;-;-;-;1
"110004 Cacoal";2;8;1;3;1;5;5;1;5;2;4;37
"110070 Campo Novo de Rondônia";-;1;2;-;2;-;1;1;-;-;1;8
"110080 Candeias do Jamari";4;7;4;6;3;11;7;8;5;7;5;67
"110005 Cerejeiras";2;1;1;-;1;1;1;-;-;1;1;9
"110092 Chupinguaia";-;-;-;-;-;-;1;-;-;-;-;1
"110006 Colorado do Oeste";-;2;-;-;-;-;-;-;1;-;-;3
"110008 Costa Marques";1;1;1;1;1;3;1;2;4;2;-;17
"110094 Cujubim";-;-;-;-;1;2;1;1;-;-;3;8
"110009 Espigão D'Oeste";1;3;-;-;-;2;1;-;-;1;-;8
"110010 Guajará-Mirim";4;2;8;10;5;7;4;17;6;14;6;83
"110110 Itapuã do Oeste";2;-;-;-;3;-;-;2;1;1;-;9
"110011 Jaru";1;-;1;2;9;2;4;2;1;6;2;30
"110012 Ji-Paraná";8;9;11;11;9;7;10;12;15;14;6;112
"110013 Machadinho D'Oeste";-;5;4;3;3;2;1;-;-;1;1;20
"110130 Mirante da Serra";-;-;-;-;-;-;2;-;2;-;1;5
"110140 Monte Negro";1;1;6;1;-;-;6;1;2;-;-;18
"110014 Nova Brasilândia D'Oeste";3;-;-;-;-;-;1;-;1;1;1;7
"110033 Nova Mamoré";1;-;-;3;1;2;3;-;-;3;2;15
"110143 Nova União";-;-;-;-;-;1;-;-;-;-;-;1
"110050 Novo Horizonte do Oeste";1;1;-;-;-;-;-;-;-;-;-;2
"110015 Ouro Preto do Oeste";1;2;1;3;4;8;3;2;4;1;1;30
"110018 Pimenta Bueno";3;3;1;2;1;1;3;1;2;1;6;24
"110020 Porto Velho";85;170;172;208;274;248;302;304;346;379;294;2782
"110025 Presidente Médici";1;3;1;-;-;-;2;3;9;1;5;25
"110147 Primavera de Rondônia";1;-;-;-;-;-;-;-;-;-;1;2
"110026 Rio Crespo";-;-;-;-;-;-;-;2;1;-;1;4
"110028 Rolim de Moura";5;5;2;1;3;-;7;7;7;4;2;43
"110149 São Francisco do Guaporé";-;-;-;-;-;-;1;1;-;-;-;2
"110032 São Miguel do Guaporé";-;-;1;-;1;-;-;-;-;-;-;2
