"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"110001 Alta Floresta D'Oeste";-;-;-;-;-;-;-;1;-;-;-;1
"110034 Alvorada D'Oeste";-;-;1;-;-;-;-;-;-;-;-;1
"110003 Cabixi";-;1;-;-;-;-;-;-;-;-;-;1
"110004 Cacoal";1;-;-;-;2;1;2;3;1;1;-;11
"110080 Candeias do Jamari";-;-;-;-;-;-;-;2;-;-;-;2
"110005 Cerejeiras";-;-;-;1;-;-;-;-;-;-;1;2
"110092 Chupinguaia";-;-;-;1;-;-;-;-;-;-;-;1
"110006 Colorado do Oeste";-;1;-;-;-;2;-;-;-;-;-;3
"110008 Costa Marques";-;-;-;-;-;1;-;-;-;-;1;2
"110009 Espigão D'Oeste";-;-;-;-;-;-;-;-;-;-;2;2
"110010 Guajará-Mirim";-;-;-;-;-;-;-;-;1;1;-;2
"110011 Jaru";-;-;-;-;-;1;-;2;1;2;-;6
"110012 Ji-Paraná";1;3;3;2;1;1;2;2;4;2;-;21
"110013 Machadinho D'Oeste";-;-;-;-;-;-;1;-;-;-;-;1
"110015 Ouro Preto do Oeste";-;1;-;-;-;-;1;1;-;-;1;4
"110145 Parecis";2;-;-;-;-;-;-;-;-;-;-;2
"110018 Pimenta Bueno";-;-;-;-;-;2;1;-;-;2;2;7
"110020 Porto Velho";-;1;2;2;3;3;4;-;2;1;1;19
"110025 Presidente Médici";-;-;-;1;-;-;-;-;-;2;-;3
"110028 Rolim de Moura";-;-;-;-;-;-;-;1;-;1;-;2
"110029 Santa Luzia D'Oeste";-;-;1;-;-;-;-;-;-;-;-;1
"110148 São Felipe D'Oeste";-;-;-;-;-;-;-;-;1;-;-;1
"110149 São Francisco do Guaporé";-;1;-;-;-;-;-;-;4;-;-;5
"110150 Seringueiras";-;-;-;-;-;-;-;-;1;-;-;1
"110155 Teixeirópolis";-;-;-;-;-;-;-;1;-;-;2;3
"110180 Vale do Paraíso";-;-;-;-;1;-;-;-;-;-;-;1
"110030 Vilhena";5;3;3;2;2;1;2;-;3;1;2;24
"120010 Brasiléia";-;-;-;-;-;-;-;-;1;-;-;1
"120020 Cruzeiro do Sul";-;-;-;-;-;1;-;-;-;-;-;1
"120040 Rio Branco";-;1;2;7;1;2;3;2;1;-;1;20
"120050 Sena Madureira";-;-;-;-;1;-;-;1;-;-;-;2
"120070 Xapuri";-;-;-;1;1;-;1;-;-;-;-;3
"130040 Barcelos";-;-;-;-;-;-;1;1;-;-;-;2
"130070 Boca do Acre";-;-;-;1;-;-;1;-;-;-;-;2
"130100 Carauari";1;-;-;-;-;-;-;-;-;-;-;1
"130130 Codajás";-;-;-;-;-;-;-;-;-;-;1;1
"130240 Lábrea";-;-;-;-;-;-;1;1;-;-;-;2
"130250 Manacapuru";-;-;-;-;-;1;-;-;-;-;-;1
"130260 Manaus";2;7;4;1;3;5;10;9;9;4;7;61
"130340 Parintins";-;-;-;-;-;-;-;-;1;-;1;2
"130353 Presidente Figueiredo";1;-;-;-;-;-;-;-;-;-;-;1
"130390 São Paulo de Olivença";-;-;-;-;1;-;-;-;-;-;-;1
"130420 Tefé";-;-;-;-;-;-;-;-;-;-;1;1
"140010 Boa Vista";-;2;2;-;-;1;2;7;-;-;1;15
"140045 Pacaraima";-;1;-;-;-;-;-;-;-;-;-;1
"150010 Abaetetuba";-;-;-;-;-;-;-;1;-;-;-;1
"150040 Alenquer";1;1;-;-;-;-;-;-;-;-;-;2
"150060 Altamira";1;-;-;-;-;1;-;1;-;-;-;3
