"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"110001 Alta Floresta D'Oeste";-;-;-;-;1;-;-;4;1;1;2;9
"110037 Alto Alegre dos Parecis";-;-;1;-;-;1;-;1;1;-;-;4
"110040 Alto Paraíso";-;-;-;-;1;-;-;1;-;-;-;2
"110034 Alvorada D'Oeste";-;-;-;1;-;-;-;3;-;2;-;6
"110002 Ariquemes";-;-;1;3;2;6;15;13;3;10;3;56
"110045 Buritis";-;-;-;-;-;1;-;1;-;1;1;4
"110003 Cabixi";-;-;-;-;-;-;-;-;1;-;-;1
"110004 Cacoal";-;-;-;1;1;5;1;3;4;5;12;32
"110070 Campo Novo de Rondônia";-;-;-;-;-;1;-;1;-;-;-;2
"110080 Candeias do Jamari";-;-;-;-;-;2;1;1;1;-;-;5
"110090 Castanheiras";-;-;-;-;-;-;1;-;-;-;-;1
"110006 Colorado do Oeste";-;-;-;-;-;-;-;-;1;1;-;2
"110007 Corumbiara";-;-;-;-;-;-;-;-;1;-;-;1
"110008 Costa Marques";-;-;-;-;-;-;-;-;-;-;1;1
"110094 Cujubim";-;-;-;-;-;-;1;2;1;2;2;8
"110009 Espigão D'Oeste";-;-;-;-;-;1;-;2;1;-;3;7
"110100 Governador Jorge Teixeira";-;-;-;-;-;-;1;-;-;-;-;1
"110010 Guajará-Mirim";-;-;-;-;-;2;1;-;1;-;3;7
"110110 Itapuã do Oeste";-;-;-;-;-;-;1;-;-;-;1;2
"110011 Jaru";-;-;4;1;9;6;2;1;1;4;3;31
"110012 Ji-Paraná";-;-;-;2;-;1;2;5;6;-;6;22
"110013 Machadinho D'Oeste";-;-;-;-;-;1;-;-;-;5;2;8
"110120 Ministro Andreazza";-;-;-;-;-;-;1;-;-;-;-;1
"110130 Mirante da Serra";1;-;-;-;-;-;-;1;-;-;-;2
"110140 Monte Negro";-;-;-;-;-;-;2;-;1;3;3;9
"110014 Nova Brasilândia D'Oeste";-;-;-;-;-;-;-;-;1;-;-;1
"110033 Nova Mamoré";-;-;-;-;-;2;-;1;-;-;1;4
"110050 Novo Horizonte do Oeste";-;-;-;-;-;4;10;4;8;1;1;28
"110015 Ouro Preto do Oeste";2;3;3;4;-;7;4;2;4;2;9;40
"110145 Parecis";-;-;1;3;-;1;2;3;-;2;-;12
"110018 Pimenta Bueno";-;-;-;-;-;1;1;8;4;8;16;38
"110146 Pimenteiras do Oeste";-;-;-;-;-;-;-;-;-;1;-;1
"110020 Porto Velho";-;-;2;2;5;31;17;22;25;33;24;161
"110025 Presidente Médici";-;-;-;-;-;-;1;1;1;-;3;6
"110147 Primavera de Rondônia";-;-;-;-;-;1;1;1;-;-;1;4
"110028 Rolim de Moura";-;-;-;-;1;2;-;1;5;3;2;14
"110029 Santa Luzia D'Oeste";-;-;-;-;-;-;-;-;-;1;-;1
"110149 São Francisco do Guaporé";-;-;-;-;-;1;1;3;4;2;1;12
"110032 São Miguel do Guaporé";-;-;-;-;-;-;-;1;-;2;4;7
"110155 Teixeirópolis";-;1;-;-;-;-;-;-;-;-;-;1
"110160 Theobroma";-;-;1;-;1;-;-;-;1;-;-;3
"110170 Urupá";-;-;-;-;-;-;-;-;-;-;1;1
"110175 Vale do Anari";-;-;-;-;-;-;-;-;1;-;-;1
"110180 Vale do Paraíso";-;-;-;-;-;1;-;-;-;-;1;2
"110030 Vilhena";-;-;-;-;1;1;-;2;3;-;1;8
"120001 Acrelândia";-;-;1;-;1;-;-;-;-;-;-;2
"120005 Assis Brasil";-;1;1;-;-;-;-;1;-;-;-;3
"120010 Brasiléia";-;-;-;-;-;1;3;-;-;1;-;5
"120013 Bujari";-;-;-;-;-;-;-;1;-;-;-;1
"120017 Capixaba";-;-;-;1;-;-;-;-;-;-;-;1
"120020 Cruzeiro do Sul";5;1;-;-;-;-;-;1;1;1;3;12
"120025 Epitaciolândia";-;-;-;-;-;-;-;1;-;-;1;2
"120030 Feijó";-;1;-;-;5;-;-;-;-;-;-;6
"120032 Jordão";-;-;-;1;-;-;-;-;-;-;-;1
"120033 Mâncio Lima";-;-;-;1;-;-;-;-;-;-;1;2
"120034 Manoel Urbano";-;-;-;-;-;-;1;-;-;-;-;1
"120035 Marechal Thaumaturgo";-;-;1;-;-;-;3;-;-;-;-;4
"120038 Plácido de Castro";-;-;-;-;-;-;1;-;1;2;-;4
"120080 Porto Acre";-;-;-;-;-;-;1;1;1;-;-;3
"120039 Porto Walter";-;-;-;-;-;-;-;-;-;2;-;2
"120040 Rio Branco";6;-;2;1;14;5;19;29;14;6;17;113
"120042 Rodrigues Alves";2;-;-;-;-;-;1;-;-;-;-;3
"120043 Santa Rosa do Purus";-;-;-;2;-;-;1;-;1;-;-;4
"120050 Sena Madureira";-;-;-;-;-;-;1;1;2;1;2;7
"120045 Senador Guiomard";-;2;2;1;-;1;-;5;3;-;-;14
