"Município";"2007/Fev";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"Total"
"412535 São Jorge do Patrocínio";-;-;-;-;-;-;-;-;1;1;2;7;3;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25
"412540 São José da Boa Vista";-;-;-;-;-;-;-;1;-;1;1;-;2;2;1;-;-;-;1;-;-;-;-;-;1;-;1;1;1;2;-;-;1;-;-;-;1;-;2;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33
"412545 São José das Palmeiras";-;-;-;-;-;-;-;-;-;1;4;4;-;4;5;4;1;2;1;1;2;4;1;-;-;1;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;48
"412550 São José dos Pinhais";-;-;-;-;-;1;1;2;4;5;4;6;2;1;3;5;1;6;7;1;6;4;4;2;2;5;7;2;2;4;5;3;3;-;2;3;5;3;4;3;8;6;3;3;4;6;7;3;3;5;2;4;6;3;5;4;5;4;3;2;6;4;5;7;4;4;1;3;10;8;13;5;5;5;5;3;6;6;3;3;4;3;7;3;5;9;3;4;7;4;2;5;9;6;5;10;3;4;4;3;9;5;6;7;11;6;3;5;6;5;4;8;13;9;3;11;9;3;10;3;1;4;3;7;6;7;2;1;2;3;3;6;4;5;6;4;5;8;4;5;2;3;3;5;3;7;5;4;5;2;4;4;5;5;3;1;-;2;695
"412555 São Manoel do Paraná";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"412560 São Mateus do Sul";-;-;-;-;-;-;-;-;3;3;-;-;1;3;2;2;1;-;3;2;6;7;7;3;5;5;6;8;-;5;8;8;4;4;6;5;3;9;1;5;-;3;1;-;-;3;1;2;2;2;3;3;4;5;4;1;-;1;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;1;-;2;1;1;2;2;2;1;2;1;1;3;2;1;-;-;1;-;3;-;1;-;1;-;-;1;-;2;1;1;3;2;-;1;1;-;1;2;-;-;-;1;-;-;1;1;-;-;1;3;2;3;4;-;-;1;-;-;3;-;-;2;-;-;2;1;-;2;1;5;1;2;2;1;1;3;-;2;2;2;-;256
"412570 São Miguel do Iguaçu";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;2;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;1;-;1;1;2;-;-;1;-;-;-;-;-;-;-;-;-;2;2;1;1;1;-;1;-;-;-;-;-;-;-;-;3;-;-;-;-;-;2;1;1;-;-;-;1;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;1;-;1;1;-;-;-;-;1;-;-;-;-;1;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;1;-;-;-;-;-;-;53
"412575 São Pedro do Iguaçu";-;-;-;-;-;-;-;-;1;-;1;2;1;-;1;-;-;1;-;1;1;1;-;-;-;1;1;-;-;-;1;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;28
"412580 São Pedro do Ivaí";-;-;-;-;-;-;-;1;-;-;1;1;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;2;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;1;1;-;-;1;-;-;-;1;-;1;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;1;-;35
"412590 São Pedro do Paraná";-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"412600 São Sebastião da Amoreira";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;10
"412610 São Tomé";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;14
"412620 Sapopema";-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;1;-;-;-;-;1;1;-;-;-;-;1;-;1;-;-;1;1;-;-;-;-;-;1;-;-;-;-;2;-;-;1;1;-;1;-;2;-;-;1;-;-;1;1;1;-;1;1;2;-;-;2;-;2;-;2;-;-;1;2;1;1;-;-;-;-;-;1;-;-;-;-;2;-;1;1;2;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;53
"412625 Sarandi";-;-;-;-;-;1;1;12;47;46;49;58;1;3;4;14;5;7;7;9;2;4;10;6;5;2;7;13;13;4;6;-;-;1;-;-;-;-;1;-;-;1;-;2;-;-;1;-;1;2;-;-;-;-;-;-;2;-;2;2;2;-;-;1;1;1;-;-;-;-;-;-;-;1;1;2;-;1;1;1;-;1;1;1;2;-;1;-;-;1;1;3;-;3;2;-;-;1;2;2;2;6;1;3;2;2;4;2;1;-;1;1;2;5;7;3;1;6;3;-;3;-;2;3;-;1;1;1;1;5;-;-;1;1;2;3;2;1;3;3;1;3;3;-;1;5;2;-;3;2;2;1;2;2;-;-;1;-;497
"412627 Saudade do Iguaçu";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;11
"412630 Sengés";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;1;-;1;-;-;-;1;-;-;-;-;-;1;1;-;1;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;1;1;1;-;-;-;-;-;1;1;-;-;1;1;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2;1;-;1;-;1;-;-;-;-;-;-;-;2;-;1;42
"412635 Serranópolis do Iguaçu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"412640 Sertaneja";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;1;-;2;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;19
"412650 Sertanópolis";-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;1;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;1;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;3;-;-;1;-;-;2;1;-;2;-;1;2;-;-;1;-;-;-;-;-;1;-;1;1;-;-;-;-;1;-;-;1;-;-;1;-;1;2;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2;-;-;-;-;-;48
"412660 Siqueira Campos";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;1;2;-;-;1;-;1;-;2;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;33
"412665 Sulina";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;1;1;3;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;2;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"412667 Tamarana";-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;1;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;-;-;-;-;-;-;-;-;-;1;-;1;-;2;-;1;1;1;1;-;1;-;1;2;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;1;-;-;-;-;1;1;-;2;1;-;-;-;-;1;2;-;1;-;-;1;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;44
"412670 Tamboara";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;16
"412680 Tapejara";-;-;-;-;-;-;-;-;2;1;-;-;1;1;4;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;1;1;-;1;1;-;1;-;1;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;37
"412690 Tapira";-;-;-;-;-;-;-;1;-;-;1;1;1;-;1;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"412700 Teixeira Soares";-;-;-;-;-;-;-;-;4;1;2;-;-;-;2;-;1;2;1;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;2;-;-;-;2;-;-;1;3;-;2;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37
"412710 Telêmaco Borba";-;-;-;-;-;-;-;2;6;5;3;1;4;4;2;7;4;8;3;6;11;6;9;8;4;5;7;13;12;10;7;6;4;3;5;2;5;5;6;6;13;14;7;8;11;10;8;9;6;11;8;12;12;12;11;10;10;8;9;8;11;8;13;10;10;6;9;19;16;18;18;14;19;18;24;15;24;25;23;19;24;18;13;23;17;14;16;15;13;14;19;14;28;19;22;18;29;28;26;30;25;21;26;15;19;15;15;18;17;20;15;13;2;2;-;-;-;-;3;4;-;1;1;-;3;1;2;3;1;1;4;4;3;5;2;1;2;2;3;-;2;3;1;2;1;3;2;1;1;-;-;4;2;-;-;4;1;1;1402
"412720 Terra Boa";-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;1;1;-;-;2;-;-;2;-;-;1;-;-;-;1;-;1;1;-;-;-;2;4;4;3;-;2;1;-;3;1;-;2;2;-;-;1;-;1;-;-;1;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;3;-;-;1;2;1;2;1;1;-;-;1;-;-;1;-;-;-;1;1;2;-;-;-;-;2;1;1;-;1;-;-;1;1;1;1;-;-;-;2;1;1;1;1;1;2;-;-;-;1;-;-;1;-;-;1;-;1;1;2;1;-;1;1;1;-;2;1;-;-;-;-;1;-;-;-;-;-;-;96
"412730 Terra Rica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;1;1;1;-;-;-;1;-;-;-;1;2;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;1;1;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2;-;1;1;-;-;1;-;1;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;2;1;1;-;-;-;1;-;-;-;-;-;1;-;-;42
"412740 Terra Roxa";-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;16
"412750 Tibagi";-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;1;-;-;-;2;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;1;3;-;-;-;-;1;-;-;1;-;1;1;-;2;-;-;-;-;-;1;-;1;2;1;-;2;1;1;-;2;1;-;1;-;-;1;4;1;4;1;-;-;1;1;3;2;1;-;2;-;1;-;3;1;-;1;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;1;-;1;-;-;-;-;-;1;1;-;-;-;1;77
"412760 Tijucas do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;2;1;-;-;1;-;1;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;1;-;2;-;1;1;1;-;1;-;-;-;2;-;-;2;-;-;-;-;-;2;-;2;4;-;-;1;1;1;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;1;-;-;-;3;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;53
"412770 Toledo";-;-;-;-;-;-;1;-;3;-;2;-;-;-;2;1;-;1;1;1;1;1;-;1;2;-;-;1;-;-;-;1;1;-;-;-;-;2;1;1;2;2;2;-;-;2;-;-;1;2;-;1;-;-;2;2;1;-;-;4;10;4;-;2;1;3;1;2;1;-;-;-;1;1;1;1;2;2;1;-;2;1;1;1;-;2;1;1;-;1;-;1;1;1;-;-;1;1;-;-;1;1;-;-;-;1;-;-;4;1;1;2;-;1;1;-;3;-;2;-;1;-;-;2;-;-;4;-;-;3;2;-;-;1;1;-;2;1;-;-;1;1;1;2;-;-;3;1;-;4;5;3;1;-;-;1;-;-;151
"412780 Tomazina";-;-;-;-;-;1;-;-;-;-;1;-;-;1;3;1;-;-;1;2;2;6;3;4;-;2;1;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;2;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;49
"412785 Três Barras do Paraná";-;-;-;-;-;-;-;-;-;-;3;-;1;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;1;-;2;-;-;1;-;-;1;1;-;-;-;1;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;2;-;-;1;2;-;1;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35
"412788 Tunas do Paraná";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"412790 Tuneiras do Oeste";-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;-;-;-;-;-;1;-;23
"412795 Tupãssi";-;-;-;-;-;-;-;-;2;1;-;-;-;-;2;-;1;-;1;-;1;-;-;1;-;-;-;2;1;-;1;-;2;3;2;1;4;1;-;2;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;1;1;-;1;-;-;1;1;-;1;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;1;1;-;-;1;1;1;1;-;3;1;-;4;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;63
