 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Município e Capítulo CID-10
Período:2017
"Município";"Cap 01";"Cap 02";"Cap 03";"Cap 04";"Cap 05";"Cap 06";"Cap 07";"Cap 08";"Cap 09";"Cap 10";"Cap 11";"Cap 12";"Cap 13";"Cap 14";"Cap 15";"Cap 16";"Cap 17";"Cap 18";"Cap 19";"Cap 21";"Total"
"120030 Feijó";23;30;4;5;10;7;2;1;34;38;57;14;12;20;152;7;2;9;78;6;511
"120032 Jordão";8;3;-;1;3;2;1;-;1;5;7;8;2;6;47;7;-;2;16;3;122
"120033 Mâncio Lima";81;26;3;13;-;15;-;1;44;56;79;36;13;80;313;6;4;12;51;9;842
"120034 Manoel Urbano";72;7;9;10;11;-;-;-;25;65;31;28;32;70;159;4;2;1;59;126;711
"120035 Marechal Thaumaturgo";21;12;2;3;-;3;1;1;7;12;28;6;5;17;188;5;1;1;39;3;355
"120038 Plácido de Castro";92;31;4;11;25;8;-;3;36;163;81;46;8;241;154;9;6;18;64;7;1007
"120080 Porto Acre";30;29;8;6;15;4;1;1;33;19;35;1;2;34;240;16;9;4;69;4;560
"120039 Porto Walter";43;9;7;1;-;5;1;-;17;58;34;37;8;83;248;2;-;3;74;2;632
"120040 Rio Branco";908;1026;92;188;1070;177;48;7;1134;839;1882;156;230;1405;8287;601;221;255;1964;207;20697
"120042 Rodrigues Alves";59;26;2;5;1;8;4;1;31;33;48;44;8;36;297;8;1;5;61;2;680
"120043 Santa Rosa do Purus";38;-;-;3;-;-;-;-;3;30;9;6;1;12;24;6;-;1;13;1;147
"120050 Sena Madureira";569;33;69;49;42;13;-;16;180;348;236;165;61;270;809;48;9;15;254;6;3192
"120045 Senador Guiomard";75;28;7;18;11;7;-;-;49;171;64;43;9;160;199;22;5;22;79;6;975
"120060 Tarauacá";148;39;15;29;34;28;5;3;133;305;224;48;20;145;982;5;4;37;268;3;2475
"120070 Xapuri";123;24;15;29;11;13;2;11;66;207;79;53;19;115;305;15;6;45;116;9;1263
"130002 Alvarães";25;12;8;22;1;5;-;-;21;53;98;29;5;56;389;12;-;6;78;10;830
"130006 Amaturá";21;3;-;5;-;2;-;-;5;21;18;3;1;25;65;-;-;1;9;-;179
"130008 Anamã";43;15;2;14;-;-;1;-;9;38;30;11;-;60;156;1;1;-;24;1;406
"130010 Anori";31;15;4;10;-;17;1;-;17;23;39;6;1;58;114;-;2;-;12;-;350
"130014 Apuí";93;17;4;20;4;7;3;4;53;95;81;29;20;140;270;3;3;2;153;7;1008
"130020 Atalaia do Norte";33;1;4;3;-;3;1;2;6;67;16;15;2;58;253;5;2;2;27;-;500
"130030 Autazes";32;19;2;12;-;17;-;-;34;50;82;19;2;62;408;11;2;14;68;4;838
"130040 Barcelos";83;5;9;23;6;5;-;1;37;99;128;34;5;81;376;3;15;2;64;7;983
"130050 Barreirinha";58;14;4;22;-;6;1;3;32;87;91;45;7;39;506;33;2;26;110;2;1088
"130060 Benjamin Constant";28;16;8;12;-;1;-;1;11;67;50;52;3;43;495;6;2;4;22;2;823
"130063 Beruri";58;6;4;20;-;4;2;-;21;35;36;14;-;63;333;5;1;3;38;-;643
"130068 Boa Vista do Ramos";37;24;1;9;-;4;-;2;16;28;16;4;2;44;11;1;2;8;26;-;235
"130070 Boca do Acre";166;36;18;17;14;10;-;3;69;135;102;53;6;154;751;19;9;10;148;17;1737
"130080 Borba";163;44;5;60;-;5;1;5;99;188;124;79;12;221;572;48;8;15;141;1;1791
"130083 Caapiranga";32;2;4;7;-;2;-;3;3;43;23;21;1;59;132;-;-;3;36;-;371
"130090 Canutama";82;3;1;6;-;1;1;-;28;48;26;4;5;64;170;7;1;2;18;2;469
"130100 Carauari";34;34;10;30;-;17;-;-;47;59;106;29;4;101;364;5;-;6;67;-;913
"130110 Careiro";45;42;4;22;-;97;1;-;101;67;130;16;7;32;43;12;-;23;329;7;978
"130115 Careiro da Várzea";18;16;-;3;-;8;-;4;20;20;33;4;1;13;17;2;4;1;38;3;205
"130120 Coari";142;44;7;36;8;12;3;4;69;219;186;118;11;239;1837;46;8;18;222;33;3262
"130130 Codajás";118;19;8;11;1;4;-;-;86;171;56;68;4;95;494;6;1;6;38;1;1187
"130140 Eirunepé";74;23;11;18;-;1;3;1;30;115;91;30;15;101;513;6;1;3;127;2;1165
"130150 Envira";136;13;4;6;1;9;-;1;57;40;68;7;8;139;406;3;-;1;25;1;925
"130160 Fonte Boa";102;42;18;50;-;3;-;-;41;114;164;2;3;102;637;5;2;83;47;1;1416
"130165 Guajará";44;4;2;7;-;10;3;2;29;31;29;21;4;35;257;6;1;-;50;-;535
"130170 Humaitá";148;129;8;21;11;21;14;2;107;333;234;92;21;194;1156;37;17;16;177;33;2771
"130180 Ipixuna";96;11;18;16;9;9;3;-;40;101;191;44;6;145;349;2;2;4;71;-;1117
"130185 Iranduba";204;77;5;46;-;38;8;8;80;294;512;66;14;158;270;1;7;14;140;13;1955
"130190 Itacoatiara";329;75;50;98;-;41;11;7;207;512;314;111;15;412;2386;30;11;44;323;12;4988
"130195 Itamarati";1;2;1;-;-;-;-;-;3;5;4;-;1;1;6;1;-;3;6;-;34
"130200 Itapiranga";71;3;-;4;-;2;-;-;13;2;6;3;1;6;73;2;1;1;14;-;202
"130210 Japurá";54;1;1;3;-;-;-;-;5;20;10;3;1;30;78;-;-;2;7;-;215
"130220 Juruá";29;1;-;1;-;3;-;-;5;2;20;2;-;20;187;2;1;1;9;2;285
"130230 Jutaí";93;31;10;64;-;6;-;-;38;99;79;1;2;62;456;2;1;1;67;-;1012
"130240 Lábrea";17;17;5;8;-;4;-;1;23;8;27;4;6;24;38;2;1;5;86;7;283
"130250 Manacapuru";316;135;23;84;-;48;8;5;149;579;614;97;55;405;2272;11;23;64;453;25;5366
"130255 Manaquiri";25;5;1;14;-;9;-;-;24;36;26;23;1;41;89;1;1;6;25;-;327
"130260 Manaus";7108;4224;521;2224;608;2087;683;155;6555;9785;11771;2187;764;6551;39285;3280;946;973;8343;1462;109512
"130270 Manicoré";59;19;8;27;2;3;-;2;42;74;78;28;7;100;479;16;7;6;124;5;1086
"130280 Maraã";13;6;2;2;2;2;-;-;8;11;10;3;-;33;116;3;-;1;17;1;230
"130290 Maués";202;233;14;68;5;19;-;5;138;290;266;188;33;211;1404;42;13;19;226;23;3399
"130300 Nhamundá";54;10;2;9;-;6;-;-;20;30;46;17;10;56;240;12;1;16;59;11;599
"130310 Nova Olinda do Norte";35;14;6;12;-;3;-;-;15;23;31;9;-;21;67;3;2;5;54;-;300
"130320 Novo Airão";25;16;2;7;-;8;1;1;27;35;36;7;1;32;191;3;3;1;29;1;426
"130330 Novo Aripuanã";42;19;3;9;-;4;-;-;15;29;30;7;3;52;24;4;-;-;34;-;275
"130340 Parintins";194;118;55;92;1;25;5;2;259;529;503;121;37;420;2657;201;44;219;662;44;6188
"130350 Pauini";15;5;-;-;5;3;-;-;9;9;13;3;1;7;4;2;2;3;19;1;101
"130353 Presidente Figueiredo";120;37;21;26;-;11;-;3;54;172;186;110;11;154;300;7;5;4;85;11;1317
"130356 Rio Preto da Eva";92;32;6;13;-;12;2;-;56;115;112;25;-;109;121;4;2;6;81;20;808
"130360 Santa Isabel do Rio Negro";6;8;1;1;-;1;-;-;6;18;35;14;-;26;97;2;1;1;14;-;231
"130370 Santo Antônio do Içá";109;25;11;16;2;3;1;6;16;85;137;68;7;152;716;8;2;19;93;6;1482
"130380 São Gabriel da Cachoeira";73;35;9;30;1;17;2;5;49;84;108;61;12;62;715;6;6;30;130;8;1443
"130390 São Paulo de Olivença";13;10;12;9;-;6;-;1;19;66;99;27;1;43;409;5;4;3;23;1;751
"130395 São Sebastião do Uatumã";27;5;2;2;-;2;1;1;12;36;32;15;3;28;133;2;-;-;29;-;330
"130400 Silves";79;4;2;6;-;1;1;-;9;36;9;6;3;45;171;-;-;12;21;-;405
"130406 Tabatinga";30;46;22;21;-;11;-;-;94;93;214;46;12;67;302;8;8;9;260;2;1245
"130410 Tapauá";97;3;6;17;1;7;-;-;20;51;87;31;5;96;43;3;-;6;33;1;507
"130420 Tefé";155;77;30;74;9;14;4;5;130;318;352;105;24;212;2169;111;11;45;309;84;4238
"130423 Tonantins";12;6;1;2;-;2;-;-;2;7;18;2;-;8;53;1;-;2;19;1;136
"130426 Uarini";27;4;8;3;-;5;-;1;24;37;62;23;-;60;278;5;1;1;69;1;609
"130430 Urucará";54;12;-;6;-;4;-;2;16;23;15;3;-;40;119;1;-;1;28;-;324
"130440 Urucurituba";11;7;1;6;-;-;-;-;6;22;15;5;-;13;53;-;2;-;20;1;162
"140005 Alto Alegre";78;34;5;20;5;5;-;2;25;243;59;78;12;56;224;34;7;12;146;78;1123
"140002 Amajari";33;12;4;15;4;5;-;1;14;91;40;19;1;17;201;35;2;4;62;52;612
"140010 Boa Vista";1085;1234;212;405;309;309;65;34;1304;2008;2702;799;591;1681;9406;1267;235;361;2999;3545;30551
"140015 Bonfim";55;16;3;18;-;4;-;1;20;88;39;50;5;31;442;59;5;10;68;87;1001
"140017 Cantá";49;41;4;27;4;13;2;3;39;74;80;48;17;50;406;42;4;11;91;130;1135
"140020 Caracaraí";51;29;6;18;5;6;4;3;35;110;64;34;9;52;405;48;6;6;89;102;1082
"140023 Caroebe";48;14;6;40;4;2;3;1;48;73;67;41;4;100;210;11;2;8;60;128;870
"140028 Iracema";14;11;-;4;-;3;-;-;13;33;33;14;1;26;167;19;-;2;36;41;417
"140030 Mucajaí";72;22;3;32;9;7;-;5;36;122;69;109;16;84;372;37;7;13;97;125;1237
"140040 Normandia";59;9;6;14;4;8;1;-;8;111;41;71;10;54;440;21;5;10;55;60;987
"140045 Pacaraima";74;24;15;25;2;4;1;2;30;118;55;52;17;99;636;88;6;11;81;128;1468
"140047 Rorainópolis";133;64;10;40;2;5;4;4;41;247;199;134;20;140;673;56;11;52;174;155;2164
"140050 São João da Baliza";59;9;7;25;2;3;-;3;13;70;51;32;9;100;139;10;1;21;22;40;616
"140060 São Luiz";34;14;1;14;1;1;1;3;15;95;18;25;5;32;99;13;4;15;31;40;461
"140070 Uiramutã";49;2;4;4;5;16;-;1;14;75;20;45;11;15;253;34;5;6;82;57;698
"150010 Abaetetuba";1105;676;117;78;39;50;32;9;391;1261;1105;315;116;1105;2595;231;59;280;928;250;10742
"150013 Abel Figueiredo";188;9;7;13;2;5;3;8;23;103;66;8;6;38;149;9;3;4;55;-;699
"150020 Acará";437;82;15;54;26;23;10;1;114;247;279;72;38;231;968;67;15;25;406;78;3188
"150030 Afuá";369;9;3;15;-;4;-;7;38;380;49;72;9;148;855;33;2;7;102;2;2104
"150034 Água Azul do Norte";469;10;33;81;2;3;-;11;63;305;102;44;4;402;230;9;2;1;155;12;1938
"150040 Alenquer";177;64;12;13;-;11;1;-;65;84;82;18;11;79;215;10;9;7;177;9;1044
"150050 Almeirim";146;64;10;30;3;4;-;2;93;135;179;19;23;218;630;4;5;7;183;5;1760
"150060 Altamira";809;289;142;354;6;81;2;4;437;857;617;97;95;677;1800;74;47;119;1370;67;7944
"150070 Anajás";119;17;6;14;2;10;1;1;52;190;100;40;11;138;660;14;4;9;218;1;1607
"150080 Ananindeua";3932;854;120;563;447;140;98;19;2005;3664;4425;290;382;2054;7105;1043;87;711;3373;647;31959
"150085 Anapu";262;27;4;119;6;25;-;-;53;148;90;32;7;126;591;11;6;15;254;12;1788
"150090 Augusto Corrêa";1101;60;22;95;31;37;3;7;210;677;363;91;73;443;826;107;15;61;229;10;4461
"150095 Aurora do Pará";241;17;9;97;2;18;5;1;177;285;125;31;12;219;453;27;1;4;178;40;1942
"150100 Aveiro";13;6;-;1;-;-;-;-;9;9;16;7;-;8;51;6;1;-;19;-;146
"150110 Bagre";41;15;11;12;4;5;1;2;34;38;62;18;7;31;126;28;4;6;67;6;518
"150120 Baião";515;57;45;35;3;14;6;5;111;297;160;106;19;239;547;15;13;8;181;30;2406
"150125 Bannach";54;5;1;14;-;4;-;1;19;54;31;10;3;29;53;4;1;6;54;2;345
"150130 Barcarena";528;266;56;92;37;23;18;3;214;842;592;120;56;425;2365;173;21;25;900;246;7002
"150140 Belém";7611;3171;168;817;1047;618;567;62;4392;8248;6394;4806;914;2978;18018;2059;334;943;7593;2096;72836
"150145 Belterra";147;32;8;26;-;10;-;5;34;58;94;39;10;67;210;18;7;5;131;3;904
"150150 Benevides";157;91;6;22;39;11;8;1;149;180;264;22;19;87;1021;131;10;32;378;80;2708
"150157 Bom Jesus do Tocantins";318;20;18;33;14;16;6;3;110;167;115;12;11;106;218;10;5;5;114;3;1304
"150160 Bonito";39;31;6;5;5;4;2;1;13;21;81;26;8;32;183;11;3;9;70;22;572
"150170 Bragança";2103;334;44;147;168;185;11;11;562;1632;1231;212;106;1140;2275;366;33;287;812;66;11725
"150172 Brasil Novo";268;20;16;34;1;18;-;3;93;400;206;6;11;374;468;16;8;13;235;12;2202
"150175 Brejo Grande do Araguaia";168;6;1;9;1;4;3;-;62;181;49;2;10;37;63;4;3;-;18;2;623
"150178 Breu Branco";170;26;15;31;4;6;1;-;45;122;137;31;7;102;726;9;10;3;195;16;1656
"150180 Breves";879;149;169;133;56;38;3;16;342;923;581;261;98;458;2515;226;24;67;660;12;7610
"150190 Bujaru";791;38;8;95;11;2;2;-;59;409;136;20;8;327;438;57;6;4;190;48;2649
"150200 Cachoeira do Arari";122;14;1;15;2;10;1;6;76;115;154;66;15;204;273;14;4;3;139;20;1254
"150195 Cachoeira do Piriá";37;5;2;3;8;3;1;-;14;33;42;25;7;22;245;7;8;12;98;28;600
"150210 Cametá";858;304;131;78;27;23;14;4;294;1204;668;306;122;511;2952;235;36;72;480;64;8383
"150215 Canaã dos Carajás";112;54;23;38;7;14;4;1;115;131;164;31;19;115;982;19;19;10;286;83;2227
"150220 Capanema";415;110;47;49;40;43;5;5;182;438;541;231;65;370;879;73;15;123;403;89;4123
"150230 Capitão Poço";698;60;3;64;21;22;3;1;142;924;324;47;43;265;704;38;12;65;673;77;4186
"150240 Castanhal";572;372;59;110;42;40;26;8;663;1170;831;549;102;629;3156;648;29;103;1674;518;11301
"150250 Chaves";46;5;1;2;2;3;-;-;8;34;14;3;3;8;155;7;2;1;31;4;329
"150260 Colares";33;8;-;-;6;4;4;-;19;18;39;4;4;13;149;14;2;2;85;19;423
"150270 Conceição do Araguaia";551;105;7;80;4;73;-;-;430;724;403;20;79;601;351;24;13;10;148;58;3681
"150275 Concórdia do Pará";194;31;10;29;7;15;2;2;46;122;56;52;14;115;537;49;6;6;168;33;1494
"150276 Cumaru do Norte";82;7;7;16;-;3;-;43;51;145;89;7;1;120;176;9;4;18;71;1;850
"150277 Curionópolis";219;3;7;52;5;13;3;-;80;149;63;22;8;88;237;11;4;5;84;5;1058
"150280 Curralinho";409;17;17;23;1;23;2;-;121;288;147;47;16;197;742;39;7;15;182;6;2299
"150285 Curuá";25;25;2;2;-;5;-;-;8;9;14;-;4;13;46;1;5;3;27;1;190
"150290 Curuçá";297;45;82;43;13;8;2;1;68;219;127;42;7;169;520;71;8;19;221;77;2039
"150293 Dom Eliseu";496;76;12;87;6;23;5;3;162;309;209;67;47;201;695;26;9;12;280;113;2838
"150295 Eldorado do Carajás";442;28;75;330;5;33;1;9;126;363;151;4;4;150;386;16;7;7;163;51;2351
"150300 Faro";85;2;-;14;-;1;-;-;29;38;35;2;2;35;149;5;-;8;41;1;447
"150304 Floresta do Araguaia";377;24;7;14;6;20;-;1;100;192;95;9;17;126;379;7;7;2;126;5;1514
"150307 Garrafão do Norte";118;22;1;7;11;5;2;1;43;188;119;20;12;59;281;13;6;22;241;47;1218
"150309 Goianésia do Pará";406;54;19;77;10;3;-;1;57;206;223;30;7;185;409;10;4;-;117;85;1903
"150310 Gurupá";198;24;12;20;7;12;4;1;69;326;151;39;13;349;774;21;4;80;280;3;2387
"150320 Igarapé-Açu";174;72;35;24;15;6;-;1;70;280;133;111;9;130;576;78;11;16;305;85;2131
"150330 Igarapé-Miri";1187;116;60;391;20;34;5;26;374;1486;733;485;332;912;1017;51;12;31;512;51;7835
"150340 Inhangapi";30;12;1;5;1;3;-;-;25;47;28;39;5;35;190;23;2;9;88;20;563
"150345 Ipixuna do Pará";498;76;22;55;8;19;3;32;233;509;311;161;34;449;688;27;9;29;351;39;3553
"150350 Irituia";440;42;7;89;14;8;7;-;258;394;236;31;23;143;385;37;6;9;319;65;2513
"150360 Itaituba";649;143;91;182;-;23;4;3;360;895;694;70;22;302;1935;272;22;27;891;1;6586
"150370 Itupiranga";203;62;11;32;6;11;11;2;106;216;226;36;8;183;788;25;10;15;152;16;2119
"150375 Jacareacanga";118;12;14;36;-;4;-;1;38;91;40;40;13;96;192;5;3;5;124;2;834
"150380 Jacundá";323;128;33;153;-;16;8;-;147;241;167;19;14;202;799;12;18;7;196;14;2497
"150390 Juruti";46;67;1;27;-;18;-;1;55;84;146;31;13;103;1052;8;9;154;147;15;1977
"150400 Limoeiro do Ajuru";445;39;14;26;1;5;3;4;54;612;83;14;7;190;393;23;2;14;86;8;2023
"150405 Mãe do Rio";490;47;24;87;13;13;14;5;198;401;202;54;47;247;634;33;5;14;304;59;2891
"150410 Magalhães Barata";22;8;-;1;2;-;-;-;8;25;36;7;4;19;77;9;1;1;61;20;301
"150420 Marabá";350;241;53;140;106;97;143;8;557;794;1124;219;102;450;5656;408;93;140;1142;169;11992
"150430 Maracanã";172;28;6;38;6;7;1;-;75;169;116;74;21;119;423;59;3;3;180;44;1544
"150440 Marapanim";68;26;2;20;11;1;7;1;44;54;72;20;2;40;266;56;3;15;125;38;871
"150442 Marituba";711;198;54;71;72;42;19;8;315;750;653;93;68;348;1893;280;33;77;922;276;6883
"150445 Medicilândia";276;48;26;41;2;41;2;-;113;163;213;12;12;241;483;8;7;9;255;9;1961
"150450 Melgaço";320;9;9;15;5;3;1;-;52;180;169;39;24;104;414;23;4;14;162;5;1552
"150460 Mocajuba";393;27;26;26;15;7;6;1;90;591;82;17;6;51;505;15;5;5;132;22;2022
"150470 Moju";758;115;60;39;16;19;11;3;110;390;203;74;40;258;1181;117;10;32;504;70;4010
"150475 Mojuí dos Campos";30;33;2;1;-;2;-;-;21;8;45;9;10;12;89;18;8;-;65;7;360
"150480 Monte Alegre";359;99;25;45;2;12;3;4;150;271;336;70;40;316;1362;99;17;32;389;8;3639
"150490 Muaná";506;28;31;51;6;21;6;1;104;455;312;107;36;208;788;39;7;20;320;45;3091
"150495 Nova Esperança do Piriá";354;34;1;14;7;6;1;1;35;267;96;43;8;97;416;12;4;8;182;31;1617
"150497 Nova Ipixuna";13;5;-;7;1;6;6;-;11;24;28;3;2;17;181;17;7;5;38;6;377
"150500 Nova Timboteua";22;14;2;4;6;5;1;-;24;31;63;33;9;26;157;18;3;11;74;31;534
"150503 Novo Progresso";129;67;6;62;1;29;-;6;112;219;246;43;17;212;579;26;4;9;367;8;2142
"150506 Novo Repartimento";333;78;23;37;6;6;14;7;69;483;182;87;19;378;602;14;6;6;299;14;2663
"150510 Óbidos";818;68;51;127;-;11;-;20;114;537;218;16;10;161;992;27;16;30;190;1;3407
"150520 Oeiras do Pará";226;36;12;14;1;6;5;-;54;209;152;71;10;132;679;25;6;7;167;17;1829
"150530 Oriximiná";524;78;45;41;1;24;1;4;264;460;466;46;20;263;1562;225;26;26;793;8;4877
"150540 Ourém";265;35;12;21;10;10;1;-;51;257;137;31;14;189;338;10;8;157;145;39;1730
"150543 Ourilândia do Norte";528;53;41;227;-;38;-;1;209;827;282;12;5;753;614;15;12;56;194;122;3989
"150548 Pacajá";351;27;20;46;9;24;5;12;108;215;115;18;29;136;661;12;9;18;304;14;2133
"150549 Palestina do Pará";117;3;2;25;4;2;2;-;31;81;57;6;2;42;76;4;3;15;35;2;509
"150550 Paragominas";413;201;40;46;15;37;15;7;371;490;859;129;201;631;1823;118;17;97;1174;170;6854
"150553 Parauapebas";462;235;81;173;144;83;118;11;405;554;594;128;124;437;3762;326;45;117;1491;173;9463
"150555 Pau D'Arco";65;9;3;40;1;9;-;-;28;114;30;12;4;69;140;8;2;2;74;1;611
"150560 Peixe-Boi";26;18;3;2;4;2;-;-;17;27;66;21;3;23;102;9;-;16;40;13;392
"150563 Piçarra";243;7;6;14;1;15;-;-;54;121;64;31;2;108;162;17;1;2;65;2;915
"150565 Placas";270;22;9;17;9;17;-;1;112;326;94;24;15;290;354;6;4;35;215;1;1821
"150570 Ponta de Pedras";470;31;17;33;14;10;3;1;96;191;108;27;10;114;369;22;6;6;173;27;1728
"150580 Portel";211;12;8;28;8;3;1;1;122;290;238;70;15;208;1190;23;6;36;321;10;2801
"150590 Porto de Moz";484;25;13;15;-;9;-;3;171;330;192;9;9;387;783;18;8;17;470;9;2952
