,Doenças,Correlação com suicidio,P value,Qtd Municipios
0,TRANSTORNOS_DE_HUMOR_[AFETIVOS],0.4228145738776644,6.807913498150254e-221,5113
1,TRANST_MENTAIS_E_COMPORTAMENTAIS_DEV_USO_DE_ÁLCOOL,0.4126523642296853,8.880539604691749e-209,5096
2,NEOPLASIA_MALIGNA_DE_TRAQUÉIA_BRÔNQUIOS_E_PULMÕES,0.4076274519210701,4.439102953242537e-201,5040
3,ARTROSE,0.4037734127527426,5.851281210870681e-187,4781
4,TRANST_DISCAIS_CERVIC_E_OUTR_TRANST_DISC_INTERVERT,0.39182309659269127,3.0674931990417943e-181,4947
5,TRANSTORNOS_DE_CONDUÇÃO_E_ARRITMIAS_CARDÍACAS,0.39149710183058345,1.5794126523484236e-195,5351
6,COLELITÍASE_E_COLECISTITE,0.3813511108130679,7.796044997868488e-186,5381
7,TRANST_MENTAIS_COMPORT_DEV_USO_OUTR_SUBST_PSICOAT,0.38075468028055676,1.343290138180113e-165,4805
8,NEOPLASIA_MALIGNA_DA_PELE,0.376218942600459,1.4875325103621047e-144,4297
9,OUTRAS_DOENÇAS_ISQUÊMICAS_DO_CORAÇÃO,0.37228483639063903,4.55224435310238e-176,5367
