"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"110001 Alta Floresta D'Oeste";-;-;-;-;-;-;1;1;-;-;-;2
"110002 Ariquemes";-;1;-;-;-;-;-;-;1;-;-;2
"110080 Candeias do Jamari";-;-;-;1;-;-;-;-;-;-;-;1
"110005 Cerejeiras";-;-;-;-;-;-;-;-;-;1;-;1
"110009 Espigão D'Oeste";-;-;1;-;-;-;2;1;1;3;1;9
"110110 Itapuã do Oeste";-;-;-;-;-;-;-;-;1;-;-;1
"110011 Jaru";-;-;-;-;1;-;-;5;2;3;1;12
"110012 Ji-Paraná";-;2;-;2;-;-;-;-;1;-;1;6
"110014 Nova Brasilândia D'Oeste";-;-;-;-;-;-;-;-;-;1;2;3
"110015 Ouro Preto do Oeste";-;-;-;1;-;-;-;-;-;-;-;1
"110018 Pimenta Bueno";-;-;-;-;-;-;-;-;1;1;-;2
"110020 Porto Velho";-;1;3;2;2;3;-;-;6;3;4;24
"110025 Presidente Médici";-;-;-;-;-;-;-;-;2;-;-;2
"110028 Rolim de Moura";-;-;-;-;-;-;-;2;-;-;-;2
"110032 São Miguel do Guaporé";-;-;1;-;-;-;-;-;-;-;-;1
"110170 Urupá";-;-;-;1;-;-;-;-;-;-;-;1
"110030 Vilhena";-;-;1;-;-;-;-;-;-;-;1;2
"120020 Cruzeiro do Sul";-;-;1;-;-;-;-;-;-;-;1;2
"120040 Rio Branco";-;-;-;-;-;-;2;2;5;11;10;30
"120045 Senador Guiomard";-;-;-;-;-;-;-;-;-;1;-;1
"130002 Alvarães";-;-;-;-;-;-;-;-;1;-;-;1
"130010 Anori";-;-;-;-;-;-;-;-;-;-;1;1
"130050 Barreirinha";-;-;-;-;-;-;-;1;-;-;-;1
"130070 Boca do Acre";-;-;-;-;-;1;-;-;-;-;-;1
"130170 Humaitá";-;-;-;-;-;-;1;-;-;-;-;1
"130190 Itacoatiara";1;-;-;5;-;-;-;-;1;3;-;10
"130240 Lábrea";-;-;-;-;-;-;-;1;-;-;-;1
"130250 Manacapuru";-;-;-;-;1;-;-;-;1;-;-;2
"130260 Manaus";9;12;27;75;37;23;23;20;10;11;6;253
"130290 Maués";-;-;-;-;-;-;-;-;-;1;-;1
"130320 Novo Airão";-;-;-;-;-;-;-;-;1;-;-;1
"130400 Silves";-;-;-;-;-;-;-;-;1;-;-;1
"130420 Tefé";-;-;-;-;-;-;-;-;-;-;1;1
"140010 Boa Vista";-;1;3;1;5;-;1;3;4;1;2;21
"140017 Cantá";-;-;-;-;1;-;-;-;-;-;-;1
"150010 Abaetetuba";1;-;1;-;1;-;-;-;-;-;-;3
